,geo_code,Income (F),Government Transfer (F)
265,35240904,36779,4080
266,35250030,31168,4944
267,35250031,35200,5792
268,35250032,31787,4208
269,35250033,45184,4208
270,35250034,32064,4656
271,35250035,31936,7408
272,35250036,40384,5104
273,35250037,33280,6160
274,35250038,33664,11360
275,35250039,25024,11808
276,35250040,20864,11704
277,35250041,24320,9408
278,35250042,0,0
279,35250043,39168,7792
280,35250044,36736,7264
281,35250045,25920,6000
282,35250046,31936,5312
283,35250047,30784,11360
284,35250048,38016,5296
285,35250049,39936,7216
286,35250050,38016,6464
287,35250051,40320,7792
288,35250052,31104,5952
289,35250053,53632,6736
290,35250054,29376,5136
291,35250055,33664,6496
292,35250056,0,0
293,35250059,42432,6128
294,35250060,36864,5552
295,35250061,41472,5424
296,35250062,42880,6832
297,35250064,33856,6128
298,35250065,36032,2696
299,35250066,49024,4816
300,35250067,31040,2928
301,35250070,35712,6376
302,35250073,32192,4208
303,35250074,27136,6280
304,35250075,27392,4240
305,35250077,20160,8080
306,35250078,36736,6088
307,35250079,28480,8608
308,35250080,23360,10848
309,35250081,23488,7152
310,35250082,0,0
311,35250083,17664,9600
312,35250084,21408,6416
313,35250085,26080,5088
314,35250086,33664,6928
315,35250087,26176,6064
316,35250088,29632,8480
317,35250089,29760,12992
318,35250093,33920,9312
319,35250094,27328,6480
320,35250095,29888,8224
321,35250096,25024,3852
322,35250097,22272,5712
323,35250098,0,0
324,35250099,28224,7600
325,35250100,37376,8912
326,35250101,41216,7088
327,35250102,46528,2952
328,35250105,40320,9952
329,35250106,33920,10608
330,35250107,38784,5520
331,35250108,30101,7328
332,35250109,35008,5440
333,35250110,33408,8384
334,35250111,27840,14624
335,35250112,23744,6448
336,35250113,26432,6768
337,35250114,29504,8048
338,35250115,28224,6504
339,35250116,31584,4720
340,35250117,36224,5232
341,35250118,25664,6688
342,35250119,27456,7152
343,35250120,29376,4520
344,35250121,25440,7104
345,35250122,29184,7216
346,35250123,34688,6296
347,35250124,30400,6944
348,35250125,29760,5408
349,35250126,21824,7600
350,35250127,32288,3000
351,35250128,30912,2136
352,35250129,34944,4240
353,35250130,37248,3992
354,35250133,14624,15605
355,35250134,31296,6800
356,35250135,37589,3336
357,35250136,27776,5984
358,35250137,33408,4976
359,35250144,45856,3368
360,35250145,40576,5952
361,35250146,40832,5904
362,35250147,37632,4352
363,35250148,35712,6592
364,35250149,39424,3152
365,35250150,34688,12800
366,35250151,36992,5808
367,35250152,38464,7840
368,35250153,39360,7920
369,35250156,34432,3336
370,35250158,45696,4976
371,35250159,38528,4512
372,35250160,43904,3176
373,35250161,51328,3851
374,35250162,40832,4496
375,35250163,38976,10080
376,35250164,30144,11760
377,35250172,30144,4504
378,35250173,39381,4072
379,35250175,29248,5200
380,35250176,33152,2984
381,35250177,31936,6416
382,35250178,30272,2608
383,35250179,31744,1964
384,35250180,32128,4944
385,35250181,29632,4448
386,35250183,0,0
387,35250184,35712,2072
388,35250185,32320,4160
389,35250186,21440,5840
390,35250188,37312,4960
391,35250189,35584,3688
392,35250190,24384,5648
393,35250191,29760,6416
394,35250192,38400,3540
395,35250193,30272,3880
396,35250194,35712,5035
397,35250196,36224,5328
398,35250197,30528,4056
399,35250199,31424,5784
400,35250200,30016,7376
401,35250201,26880,8288
402,35250202,23872,6880
403,35250203,21120,7888
404,35250204,17376,8768
405,35250205,0,0
406,35250206,27712,6056
407,35250207,29120,8736
408,35250208,35840,9312
409,35250209,25536,10848
410,35250210,31424,7088
411,35250211,14880,14784
412,35250212,31168,11296
413,35250213,31296,10624
414,35250216,27968,9120
415,35250217,24384,9440
416,35250218,21984,6976
417,35250221,22912,10208
418,35250222,35328,9152
419,35250223,33664,9728
420,35250224,17728,11008
421,35250225,29888,9504
422,35250226,25024,13536
423,35250227,23136,9120
424,35250230,22976,8416
425,35250231,22848,7216
426,35250232,18688,12928
427,35250233,20864,11168
428,35250234,21632,5808
429,35250238,20448,11232
430,35250239,18624,10528
431,35250240,18368,9520
432,35250241,18496,8224
433,35250242,0,0
434,35250243,25536,9888
435,35250248,27584,6192
436,35250249,21824,12608
437,35250250,38336,6192
438,35250251,22784,7120
439,35250254,33408,7760
440,35250255,30048,10400
441,35250256,28864,11424
442,35250257,24416,13472
443,35250258,27776,13776
444,35250259,29504,8336
445,35250260,25472,14048
446,35250261,21696,11808
447,35250262,25120,10880
448,35250263,33493,6608
449,35250264,31168,6656
450,35250265,32384,6736
451,35250266,28480,8992
452,35250267,29184,6128
453,35250269,43136,8544
454,35250270,36480,7696
455,35250271,29888,9568
456,35250272,27328,14368
457,35250273,27712,7664
458,35250274,29216,5616
459,35250275,30784,7488
460,35250276,28864,7008
461,35250277,27648,7056
462,35250278,30656,6136
463,35250279,26432,8864
464,35250280,27328,6112
465,35250281,21728,6736
466,35250282,28608,7280
467,35250283,27456,7256
468,35250284,26880,9952
469,35250285,32896,7504
470,35250286,29760,8768
471,35250287,38272,5144
472,35250288,28096,7408
473,35250289,28864,6808
474,35250290,25024,6032
475,35250291,28512,3160
476,35250293,30144,8928
477,35250294,30912,3896
478,35250295,29504,4432
479,35250296,37248,7099
480,35250297,26368,6920
481,35250298,36864,4528
482,35250299,24992,6816
483,35250300,36032,6176
484,35250302,39296,9344
485,35250303,25664,10208
486,35250304,32320,8816
487,35250305,26560,6736
488,35250306,31040,6384
489,35250307,27904,7488
490,35250308,33920,4464
491,35250309,27968,2264
492,35250310,37504,3416
493,35250311,28373,5664
494,35250312,28608,6096
495,35250313,29952,7144
496,35250315,31168,13877
497,35250316,40533,6320
498,35250317,33664,3848
499,35250318,0,0
500,35250319,19008,6448
501,35250320,28160,8416
502,35250321,24512,9344
503,35250322,28736,6608
504,35250323,26304,8480
505,35250324,14592,14667
506,35250326,21856,9760
507,35250327,20128,12128
508,35250328,29376,6160
509,35250329,23168,5312
510,35250330,25792,8336
511,35250331,17856,13328
512,35250332,28672,7184
513,35250333,28224,6832
514,35250334,26848,5184
515,35250335,28128,8608
516,35250336,26475,6688
517,35250337,29312,11296
518,35250338,22976,8960
519,35250339,37248,5392
520,35250340,28608,6096
521,35250341,25280,7088
522,35250342,25600,7056
523,35250343,34304,7200
524,35250344,37568,6800
525,35250345,37760,6096
526,35250346,35968,5904
527,35250347,30528,9568
528,35250348,40064,6976
529,35250349,28000,7472
530,35250350,19328,7584
531,35250351,27072,13264
532,35250352,31104,7072
533,35250353,24000,11472
534,35250354,35712,5048
535,35250355,36608,8688
536,35250356,31168,6368
537,35250357,36096,5536
538,35250358,32384,7776
539,35250359,30400,6752
540,35250360,30656,5104
541,35250361,34304,6256
542,35250362,30400,7088
543,35250363,39744,5440
544,35250364,0,0
