,geo_code,Income (F),Government Transfer (F)
1147,35260320,32064,5808
1148,35260321,21888,12128
1149,35260322,29888,8592
1150,35260323,27968,9728
1151,35260324,27968,9824
1152,35260325,21504,13824
1153,35260326,30912,6656
1154,35260327,24960,6832
1155,35260328,47744,6624
1156,35260330,33024,6160
1157,35260332,34347,4752
1158,35260333,25408,5744
1159,35260334,25536,4368
1160,35260335,37632,3984
1161,35260336,41472,4528
1162,35260337,25088,4848
1163,35260338,33536,4024
1164,35260339,31872,3212
1165,35260340,36864,5360
1166,35260341,31552,5568
1167,35260342,25152,5088
1168,35260734,38144,8720
1169,35260828,36480,10912
1170,35260829,32832,5552
1171,35260830,42624,3987
1172,35260831,28288,3580
1173,35260832,40128,4368
1174,35260833,41600,4092
