geo_code,,in labour force,not in labour force,employed,unemployed
35240446,female,115,160,105,10
35240446,male,120,145,115,0
35240447,female,235,80,225,15
35240447,male,190,70,185,10
35240448,female,170,75,155,10
35240448,male,190,50,190,0
35240449,female,90,20,90,0
35240449,male,105,10,95,10
35240450,female,155,80,140,15
35240450,male,190,75,170,20
35240451,female,220,50,200,15
35240451,male,170,50,170,0
35240452,female,120,55,110,10
35240452,male,125,20,125,0
35240453,female,130,85,120,0
35240453,male,170,35,165,0
35240455,female,130,270,115,15
35240455,male,105,155,95,10
35240459,female,70,80,65,0
35240459,male,110,40,105,10
35240460,female,105,85,100,10
35240460,male,135,60,125,10
35240461,female,130,60,125,0
35240461,male,115,60,110,10
35240462,female,80,125,80,10
35240462,male,75,70,70,10
35240463,female,155,140,150,10
35240463,male,185,90,170,15
35240464,female,85,65,80,0
35240464,male,80,25,80,0
35240465,female,240,180,235,10
35240465,male,190,90,180,10
35240466,female,215,120,215,0
35240466,male,225,70,205,15
35240467,female,130,175,130,0
35240467,male,135,115,120,10
35240468,female,170,50,160,10
35240468,male,180,55,175,0
35240469,female,180,95,180,0
35240469,male,125,45,120,0
35240470,female,140,85,140,0
35240470,male,165,70,165,0
35240471,female,120,65,110,0
35240471,male,130,65,130,0
35240472,female,205,150,200,0
35240472,male,180,85,175,10
35240473,female,140,65,125,10
35240473,male,130,50,115,15
35240474,female,155,115,150,0
35240474,male,160,100,160,0
35240475,female,190,75,190,10
35240475,male,225,70,215,10
35240476,female,145,85,140,10
35240476,male,170,70,160,10
35240477,female,160,115,155,0
35240477,male,170,65,165,0
35240478,female,115,45,105,10
35240478,male,115,30,105,0
35240479,female,80,120,75,0
35240479,male,60,70,55,10
35240480,female,195,165,190,10
35240480,male,170,135,160,10
35240481,female,100,110,100,0
35240481,male,125,50,115,10
35240482,female,210,135,205,10
35240482,male,215,80,195,20
35240483,female,160,90,155,0
35240483,male,155,55,145,10
35240484,female,355,110,330,25
35240484,male,340,85,320,20
35240485,female,95,80,80,10
35240485,male,95,60,85,10
35240486,female,170,85,150,20
35240486,male,195,65,190,0
35240487,female,55,40,55,0
35240487,male,70,35,65,10
35240488,female,445,85,430,15
35240488,male,460,75,440,25
35240489,female,135,85,120,15
35240489,male,130,80,120,10
35240490,female,65,50,55,10
35240490,male,80,35,70,15
35240491,female,160,75,140,20
35240491,male,190,65,180,10
35240492,female,180,95,175,10
35240492,male,175,45,170,10
35240493,female,115,265,115,0
35240493,male,105,175,100,0
35240494,female,145,65,130,10
35240494,male,165,50,150,20
35240495,female,145,135,130,15
35240495,male,155,125,150,10
35240496,female,100,95,95,10
35240496,male,135,60,120,20
35240497,female,150,75,145,10
35240497,male,160,60,145,10
35240498,female,85,100,85,0
35240498,male,85,50,80,0
35240499,female,105,35,95,10
35240499,male,65,40,65,0
35240501,female,80,35,80,0
35240501,male,70,15,75,0
35240503,female,130,80,120,10
35240503,male,170,50,155,10
35240504,female,140,65,135,0
35240504,male,130,55,130,0
35240505,female,160,90,150,10
35240505,male,140,70,125,15
35240506,female,115,65,105,10
35240506,male,145,65,130,15
35240507,female,140,80,135,0
35240507,male,145,95,120,25
35240508,female,175,95,160,20
35240508,male,205,70,210,0
35240509,female,180,80,170,15
35240509,male,135,55,135,0
35240512,female,90,75,90,0
35240512,male,80,55,70,10
35240513,female,135,80,130,0
35240513,male,125,55,120,0
35240516,female,165,110,155,10
35240516,male,190,80,180,20
35240517,female,125,80,115,0
35240517,male,170,45,165,10
35240518,female,195,95,200,0
35240518,male,215,70,200,15
35240519,female,100,55,100,0
35240519,male,120,40,115,10
35240520,female,220,125,210,10
35240520,male,205,95,195,10
35240521,female,155,105,145,10
35240521,male,170,85,145,15
35240522,female,95,70,90,0
35240522,male,110,70,100,15
35240523,female,105,115,105,0
35240523,male,120,65,110,10
35240524,female,135,120,135,0
35240524,male,110,120,105,0
35240525,female,185,80,170,15
35240525,male,160,70,155,0
35240526,female,65,55,70,0
35240526,male,85,30,75,10
35240528,female,120,30,115,0
35240528,male,145,35,145,0
35240529,female,140,40,140,10
35240529,male,155,40,125,25
35240530,female,155,60,140,10
35240530,male,175,30,165,10
35240531,female,155,40,150,10
35240531,male,135,50,130,0
35240532,female,410,115,385,25
35240532,male,365,105,345,30
35240533,female,125,20,110,20
35240533,male,135,30,135,0
35240534,female,135,35,115,15
35240534,male,190,35,160,20
35240535,female,115,45,115,0
35240535,male,160,80,155,0
35240536,female,205,140,200,10
35240536,male,235,85,220,10
35240537,female,225,45,225,0
35240537,male,170,55,170,0
35240538,female,370,120,340,30
35240538,male,315,95,290,30
35240539,female,275,120,250,25
35240539,male,305,60,280,25
35240540,female,140,70,130,10
35240540,male,120,50,110,10
35240541,female,120,50,105,15
