geo_code,,English_only,French_only,Neither English nor French
35240469,female,210,5,0
35240469,male,190,10,15
35240470,female,265,0,0
35240470,male,260,0,30
35240471,female,230,0,5
35240471,male,225,5,30
35240472,female,290,10,0
35240472,male,270,0,40
35240473,female,225,5,0
35240473,male,230,0,25
35240474,female,280,5,5
35240474,male,285,0,35
35240475,female,280,10,5
35240475,male,295,10,30
35240476,female,255,5,0
35240476,male,250,5,35
35240477,female,305,10,0
35240477,male,285,0,35
35240478,female,140,0,0
35240478,male,130,5,25
35240479,female,170,5,15
35240479,male,120,0,35
35240480,female,375,10,5
35240480,male,335,5,75
35240481,female,215,5,0
35240481,male,205,0,25
35240482,female,330,10,5
35240482,male,305,5,35
35240483,female,225,0,0
35240483,male,200,5,25
35240484,female,455,10,5
35240484,male,450,5,105
35240485,female,160,0,0
35240485,male,160,0,25
35240486,female,275,0,0
35240486,male,295,0,30
35240487,female,120,0,0
35240487,male,115,0,20
35240488,female,420,5,5
35240488,male,440,5,150
35240489,female,195,5,5
35240489,male,180,0,35
35240490,female,110,5,0
35240490,male,125,0,20
35240491,female,245,5,0
35240491,male,265,5,25
35240492,female,235,5,0
35240492,male,240,5,30
35240493,female,355,10,0
35240493,male,270,5,40
35240494,female,200,5,0
35240494,male,210,5,20
35240495,female,245,5,20
35240495,male,215,5,50
35240496,female,205,0,5
35240496,male,210,5,25
35240497,female,185,5,5
35240497,male,200,5,35
35240498,female,160,5,0
35240498,male,180,5,5
35240499,female,135,5,0
35240499,male,140,5,10
35240501,female,115,5,0
35240501,male,110,0,10
35240503,female,180,5,0
35240503,male,195,0,30
35240504,female,195,0,5
35240504,male,170,0,25
35240505,female,250,5,5
35240505,male,225,5,50
35240506,female,180,5,0
35240506,male,190,0,30
35240507,female,210,5,0
35240507,male,210,5,40
35240508,female,300,5,0
35240508,male,305,0,55
35240509,female,435,10,0
35240509,male,305,5,50
35240512,female,125,5,5
35240512,male,120,5,35
35240513,female,200,5,0
35240513,male,185,5,30
35240516,female,255,5,0
35240516,male,270,5,35
35240517,female,230,0,0
35240517,male,200,0,25
35240518,female,260,5,5
35240518,male,285,0,40
35240519,female,160,0,0
35240519,male,175,0,35
35240520,female,295,10,0
35240520,male,290,5,60
35240521,female,270,5,0
35240521,male,270,5,40
35240522,female,190,5,0
35240522,male,200,0,25
35240523,female,200,5,5
35240523,male,190,5,30
35240524,female,190,0,5
35240524,male,205,0,45
35240525,female,275,5,0
35240525,male,270,0,20
35240526,female,130,5,0
35240526,male,120,5,5
35240528,female,190,0,0
35240528,male,180,5,25
35240529,female,190,0,5
35240529,male,190,5,30
35240530,female,160,0,5
35240530,male,160,0,35
35240531,female,180,0,5
35240531,male,185,10,25
35240532,female,465,5,5
35240532,male,450,5,105
35240533,female,150,0,0
35240533,male,170,0,10
35240534,female,180,5,5
35240534,male,205,0,40
35240535,female,180,5,0
35240535,male,195,5,40
35240536,female,290,10,5
35240536,male,270,10,40
35240537,female,240,5,0
35240537,male,230,0,45
35240538,female,390,15,10
35240538,male,340,0,110
35240539,female,335,5,0
35240539,male,290,5,45
35240540,female,160,5,5
35240540,male,160,10,55
35240541,female,160,5,0
35240541,male,180,5,30
35240542,female,220,0,0
35240542,male,170,5,45
35240543,female,190,15,5
35240543,male,205,5,55
35240544,female,235,0,0
35240544,male,210,5,35
35240545,female,435,5,5
35240545,male,425,5,55
35240546,female,280,0,5
35240546,male,270,0,75
35240590,female,515,10,0
35240590,male,435,10,50
35240591,female,435,20,5
35240591,male,445,10,95
35240592,female,665,20,25
35240592,male,615,20,285
35240593,female,545,10,5
35240593,male,540,10,70
35240594,female,345,15,5
35240594,male,375,10,75
35240595,female,425,15,5
35240595,male,340,10,75
35240596,female,565,30,5
35240596,male,455,15,105
35240598,female,935,30,15
35240598,male,710,20,200
35240641,female,215,0,5
35240641,male,240,0,35
35240642,female,205,5,0
35240642,male,210,5,20
35240643,female,260,5,0
35240643,male,260,5,55
35240644,female,230,5,0
35240644,male,215,0,50
35240645,female,210,5,0
35240645,male,200,0,45
35240647,female,295,10,0
35240647,male,285,5,35
35240648,female,320,5,5
35240648,male,285,5,40
35240649,female,245,5,0
35240649,male,250,0,30
35240650,female,320,10,5
35240650,male,330,0,55
35240651,female,200,10,5
35240651,male,175,10,45
35240654,female,255,5,0
35240654,male,275,5,45
35240655,female,540,15,5
35240655,male,485,10,95
35240656,female,175,5,0
35240656,male,170,5,25
35240659,female,365,15,0
35240659,male,290,10,65
35240660,female,220,5,0
35240660,male,210,5,55
35240661,female,215,0,0
35240661,male,205,5,40
35240662,female,865,25,5
35240662,male,695,20,130
35240663,female,210,10,5
35240663,male,185,5,45
35240664,female,255,10,0
35240664,male,240,5,40
35240665,female,195,5,0
35240665,male,205,5,35
35240666,female,395,15,0
35240666,male,310,5,75
35240667,female,310,5,5
35240667,male,280,5,65
35240668,female,160,5,0
35240668,male,165,0,65
35240669,female,395,5,10
35240669,male,430,10,90
35240670,female,235,5,10
35240670,male,265,0,70
35240671,female,205,5,5
35240671,male,225,5,95
35240672,female,325,5,10
35240672,male,290,5,130
35240673,female,140,5,5
35240673,male,160,0,55
35240674,female,295,5,10
35240674,male,290,0,80
35240675,female,400,10,10
35240675,male,405,5,170
35240676,female,335,10,15
35240676,male,295,10,145
35240677,female,165,0,5
35240677,male,175,0,55
35240678,female,530,20,10
35240678,male,435,15,210
35240679,female,235,5,0
35240679,male,235,0,125
35240680,female,365,10,10
35240680,male,350,10,145
35240681,female,230,5,5
35240681,male,195,5,80
35240682,female,265,5,10
35240682,male,225,5,95
35240683,female,240,15,10
35240683,male,250,5,85
35240684,female,245,10,5
35240684,male,195,5,50
35240685,female,485,10,10
35240685,male,435,10,150
35240686,female,490,5,10
35240686,male,455,5,130
35240756,female,245,5,5
35240756,male,245,5,85
35240757,female,245,0,10
35240757,male,235,5,70
35240758,female,390,10,5
35240758,male,370,0,95
35240759,female,235,10,0
35240759,male,230,0,45
35240780,female,440,5,10
35240780,male,380,10,110
35240782,female,275,10,10
35240782,male,295,10,85
35240783,female,145,5,0
35240783,male,160,5,25
35240785,female,355,5,5
35240785,male,355,5,65
35240807,female,395,15,0
35240807,male,305,15,85
35240808,female,390,15,5
35240808,male,290,15,55
35240809,female,25,0,0
35240809,male,25,5,5
35240898,female,1010,25,20
35240898,male,1075,15,345
35240903,female,x,x,x
35240903,male,x,x,x
35240904,female,585,15,5
35240904,male,540,5,155
35250030,female,155,5,0
35250030,male,180,5,30
35250031,female,205,0,0
35250031,male,190,5,30
35250032,female,255,5,0
35250032,male,275,5,35
35250033,female,270,5,0
35250033,male,270,0,30
35250034,female,330,0,0
35250034,male,300,0,25
35250035,female,175,5,0
35250035,male,195,5,5
35250036,female,270,0,0
35250036,male,265,0,25
35250037,female,255,0,0
35250037,male,240,5,25
35250038,female,295,5,0
35250038,male,260,0,25
35250039,female,275,0,0
35250039,male,200,0,10
35250040,female,215,0,0
35250040,male,175,0,35
35250041,female,190,0,0
35250041,male,160,0,20
35250042,female,105,0,0
35250042,male,120,0,10
35250043,female,275,0,0
35250043,male,230,0,30
35250044,female,165,5,0
35250044,male,170,5,35
35250045,female,155,5,5
35250045,male,155,0,45
35250046,female,225,5,0
35250046,male,205,0,25
35250047,female,275,0,0
35250047,male,250,0,15
35250048,female,125,0,0
35250048,male,120,0,15
35250049,female,180,0,0
35250049,male,165,0,15
35250050,female,195,5,0
35250050,male,165,5,20
35250051,female,540,15,0
35250051,male,560,15,80
35250052,female,150,5,0
35250052,male,135,5,25
35250053,female,245,5,0
35250053,male,255,5,40
35250054,female,160,0,0
35250054,male,155,0,20
35250055,female,310,5,0
35250055,male,250,0,75
35250056,female,80,0,0
35250056,male,90,5,25
35250059,female,450,5,0
35250059,male,390,10,80
35250060,female,270,5,0
35250060,male,260,5,55
35250061,female,160,5,0
35250061,male,175,5,20
35250062,female,230,0,5
35250062,male,250,5,50
35250064,female,330,0,0
35250064,male,305,5,55
35250065,female,210,5,5
35250065,male,220,5,40
35250066,female,165,0,0
35250066,male,165,0,25
35250067,female,265,5,0
35250067,male,240,0,35
35250070,female,285,5,10
35250070,male,210,0,80
35250073,female,165,5,0
35250073,male,155,0,60
35250074,female,90,0,5
35250074,male,100,5,50
35250075,female,135,0,5
35250075,male,150,0,45
35250077,female,175,0,15
35250077,male,165,5,90
35250078,female,115,0,5
35250078,male,110,0,70
35250079,female,105,5,5
35250079,male,110,0,35
35250080,female,230,5,10
35250080,male,200,5,90
35250081,female,390,10,5
35250081,male,360,10,120
35250082,female,60,5,5
35250082,male,70,5,50
35250083,female,220,15,20
35250083,male,195,15,170
35250084,female,110,5,5
35250084,male,115,5,50
35250085,female,110,0,5
35250085,male,105,5,35
35250086,female,235,0,10
35250086,male,180,0,50
35250087,female,190,0,5
35250087,male,180,5,65
35250088,female,205,0,5
35250088,male,160,0,45
35250089,female,265,10,5
35250089,male,155,5,30
35250093,female,175,15,10
35250093,male,195,5,65
35250094,female,130,0,0
35250094,male,115,0,35
35250095,female,135,0,5
35250095,male,135,5,75
35250096,female,195,0,10
35250096,male,145,5,80
35250097,female,125,5,0
35250097,male,140,0,40
35250098,female,55,5,5
35250098,male,65,0,50
35250099,female,340,0,0
35250099,male,310,0,100
35250100,female,210,0,5
35250100,male,190,0,35
35250101,female,175,5,0
35250101,male,195,0,30
35250102,female,120,0,0
35250102,male,140,5,35
35250105,female,225,0,0
35250105,male,240,5,45
35250106,female,210,5,5
35250106,male,205,5,20
35250107,female,215,5,0
35250107,male,195,0,35
35250108,female,215,0,5
35250108,male,215,5,45
35250109,female,290,0,5
35250109,male,290,0,50
35250110,female,200,0,10
35250110,male,200,5,60
35250111,female,255,10,10
35250111,male,175,0,45
35250112,female,160,5,5
35250112,male,145,0,60
35250113,female,105,0,0
35250113,male,105,0,45
35250114,female,140,0,5
35250114,male,120,0,60
35250115,female,550,15,15
35250115,male,480,15,145
35250116,female,245,5,5
35250116,male,275,5,85
35250117,female,95,0,0
35250117,male,110,0,20
35250118,female,150,5,0
35250118,male,140,0,35
35250119,female,210,5,0
35250119,male,205,5,30
35250120,female,150,0,5
35250120,male,145,0,35
35250121,female,205,0,0
35250121,male,165,0,35
35250122,female,130,5,10
35250122,male,125,5,60
35250123,female,105,5,5
35250123,male,120,5,60
35250124,female,195,5,0
35250124,male,175,5,40
35250125,female,130,0,0
35250125,male,130,10,30
35250126,female,180,5,10
35250126,male,195,5,100
35250127,female,470,0,25
35250127,male,470,0,275
35250128,female,140,0,5
35250128,male,135,0,75
35250129,female,115,0,10
35250129,male,105,0,60
35250130,female,100,0,5
35250130,male,110,0,45
35250133,female,200,10,0
35250133,male,95,0,45
35250134,female,280,10,5
35250134,male,245,10,95
35250135,female,470,0,30
35250135,male,455,5,330
35250136,female,130,5,0
35250136,male,135,0,30
35250137,female,155,0,0
35250137,male,160,5,30
35250144,female,600,0,10
35250144,male,595,0,200
35250145,female,140,0,0
35250145,male,175,0,20
35250146,female,330,5,0
35250146,male,350,5,40
35250147,female,215,0,0
35250147,male,170,0,30
35250148,female,170,10,0
35250148,male,170,5,35
35250149,female,220,0,0
35250149,male,270,0,40
35250150,female,205,5,0
35250150,male,195,5,15
35250151,female,190,5,0
35250151,male,190,0,25
35250152,female,635,5,0
35250152,male,565,0,95
35250153,female,235,0,5
35250153,male,260,0,25
35250156,female,165,5,0
35250156,male,140,5,45
35250158,female,215,0,0
35250158,male,210,0,40
35250159,female,185,5,5
35250159,male,180,0,35
35250160,female,155,5,5
35250160,male,165,0,30
35250161,female,270,0,5
35250161,male,275,0,75
35250162,female,165,0,0
35250162,male,170,0,25
35250163,female,240,5,0
35250163,male,210,5,45
35250164,female,245,5,5
35250164,male,215,5,25
35250172,female,225,5,5
35250172,male,215,5,30
35250173,female,535,5,10
35250173,male,515,0,80
35250175,female,520,20,15
35250175,male,470,15,265
35250176,female,250,5,10
35250176,male,250,0,80
35250177,female,260,0,10
35250177,male,255,0,105
35250178,female,185,0,5
35250178,male,185,5,80
35250179,female,215,10,0
35250179,male,245,5,75
35250180,female,455,5,35
35250180,male,450,10,310
35250181,female,140,0,0
35250181,male,150,0,30
35250183,female,95,0,0
35250183,male,95,0,15
35250184,female,160,0,0
35250184,male,155,5,20
35250185,female,285,10,5
35250185,male,175,0,20
35250186,female,130,0,0
35250186,male,130,0,25
35250188,female,275,10,0
35250188,male,255,5,75
35250189,female,230,0,5
35250189,male,230,5,60
35250190,female,180,5,0
35250190,male,175,0,25
35250191,female,295,0,0
35250191,male,265,0,70
35250192,female,430,10,25
35250192,male,475,10,205
35250193,female,135,0,5
35250193,male,135,0,15
35250194,female,180,0,0
35250194,male,205,0,50
35250196,female,220,5,0
35250196,male,230,0,50
35250197,female,190,0,0
35250197,male,215,5,30
35250199,female,1015,15,35
35250199,male,935,10,455
35250200,female,170,0,5
35250200,male,185,5,80
35250201,female,60,0,0
35250201,male,65,0,65
35250202,female,365,15,15
35250202,male,350,5,170
35250203,female,385,10,10
35250203,male,350,10,135
35250204,female,285,10,20
35250204,male,235,5,165
35250205,female,90,0,0
35250205,male,80,5,30
35250206,female,165,0,10
35250206,male,165,0,120
35250207,female,115,5,5
35250207,male,110,0,40
35250208,female,130,0,5
35250208,male,140,0,50
35250209,female,120,5,0
35250209,male,120,5,30
35250210,female,130,5,10
35250210,male,125,0,85
35250211,female,125,5,5
35250211,male,85,0,40
35250212,female,170,5,10
35250212,male,155,5,50
35250213,female,100,5,10
35250213,male,120,5,65
35250216,female,135,0,10
35250216,male,120,5,65
35250217,female,270,10,10
35250217,male,225,10,60
35250218,female,165,10,15
35250218,male,175,5,90
35250221,female,190,5,10
35250221,male,165,0,105
35250222,female,170,0,15
35250222,male,145,5,95
35250223,female,120,0,5
35250223,male,145,0,70
35250224,female,130,5,5
35250224,male,150,5,50
35250225,female,90,0,5
35250225,male,120,5,60
35250226,female,200,0,5
35250226,male,130,5,60
35250227,female,200,0,10
35250227,male,160,0,90
35250230,female,170,0,5
35250230,male,185,0,75
35250231,female,150,5,35
35250231,male,155,5,185
35250232,female,315,15,15
35250232,male,255,5,120
35250233,female,70,0,30
35250233,male,85,0,160
35250234,female,115,0,15
35250234,male,105,0,75
35250238,female,200,0,30
35250238,male,200,5,200
35250239,female,100,5,10
35250239,male,115,0,85
35250240,female,145,0,40
35250240,male,130,0,140
35250241,female,50,0,5
35250241,male,55,5,75
35250242,female,x,x,x
35250242,male,x,x,x
35250243,female,425,5,25
35250243,male,365,10,160
35250248,female,210,5,25
35250248,male,215,0,175
35250249,female,185,5,0
35250249,male,175,0,45
35250250,female,195,0,0
35250250,male,225,0,30
35250251,female,165,0,5
35250251,male,145,0,40
35250254,female,245,10,10
35250254,male,250,5,100
35250255,female,200,0,5
35250255,male,200,0,60
35250256,female,325,5,0
35250256,male,240,0,30
35250257,female,255,5,0
35250257,male,215,5,40
35250258,female,340,5,0
35250258,male,265,5,55
35250259,female,200,0,5
35250259,male,200,0,45
35250260,female,230,10,5
35250260,male,160,5,65
35250261,female,155,5,10
35250261,male,120,5,75
35250262,female,175,0,10
35250262,male,145,0,125
35250263,female,175,5,20
35250263,male,200,5,210
35250264,female,90,5,5
35250264,male,95,0,90
35250265,female,130,0,5
35250265,male,125,0,80
35250266,female,90,0,10
35250266,male,75,0,80
35250267,female,205,5,0
35250267,male,210,5,25
35250269,female,80,0,0
35250269,male,95,5,40
35250270,female,90,5,5
35250270,male,85,0,55
35250271,female,105,0,5
35250271,male,125,0,45
35250272,female,195,0,0
35250272,male,135,5,40
35250273,female,110,5,5
35250273,male,110,0,60
35250274,female,410,0,5
35250274,male,370,5,85
35250275,female,150,0,10
35250275,male,160,5,75
35250276,female,190,0,5
35250276,male,215,0,85
35250277,female,165,5,5
35250277,male,155,0,40
35250278,female,175,0,5
35250278,male,175,0,35
35250279,female,145,0,25
35250279,male,130,0,185
35250280,female,100,5,5
35250280,male,110,0,80
35250281,female,180,5,10
35250281,male,200,5,60
35250282,female,170,0,15
35250282,male,170,5,95
35250283,female,170,0,15
35250283,male,195,0,115
35250284,female,100,0,15
35250284,male,115,0,80
35250285,female,205,5,15
35250285,male,210,5,165
35250286,female,85,0,5
35250286,male,75,0,80
35250287,female,165,0,15
35250287,male,165,0,160
35250288,female,135,0,5
35250288,male,130,5,80
35250289,female,190,0,20
35250289,male,175,0,115
35250290,female,185,0,10
35250290,male,205,5,105
35250291,female,250,0,30
35250291,male,265,5,245
35250293,female,300,5,20
35250293,male,280,0,150
35250294,female,155,5,5
35250294,male,130,5,55
35250295,female,120,5,0
35250295,male,120,0,50
35250296,female,130,5,5
35250296,male,125,0,80
35250297,female,145,0,15
35250297,male,170,0,120
35250298,female,130,0,10
35250298,male,145,5,125
35250299,female,170,0,5
35250299,male,190,5,110
35250300,female,250,5,5
35250300,male,235,5,160
35250302,female,130,0,0
35250302,male,140,0,65
35250303,female,125,5,10
35250303,male,115,0,130
35250304,female,145,5,10
35250304,male,155,5,120
35250305,female,170,5,10
35250305,male,160,0,95
35250306,female,110,5,10
35250306,male,115,5,70
35250307,female,220,10,0
35250307,male,250,5,60
35250308,female,300,5,10
35250308,male,270,0,145
35250309,female,85,0,10
35250309,male,85,0,90
35250310,female,105,0,0
35250310,male,125,5,80
35250311,female,175,5,5
35250311,male,175,0,100
35250312,female,115,0,5
35250312,male,125,0,65
35250313,female,290,5,0
35250313,male,270,5,75
35250315,female,330,10,0
35250315,male,225,5,65
35250316,female,260,10,5
35250316,male,225,5,75
35250317,female,195,15,0
35250317,male,205,5,40
35250318,female,40,0,0
35250318,male,35,0,20
35250319,female,145,0,0
35250319,male,145,0,65
35250320,female,150,0,15
35250320,male,140,5,80
35250321,female,135,0,0
35250321,male,140,5,20
35250322,female,165,0,5
35250322,male,170,5,30
35250323,female,205,15,10
35250323,male,200,5,45
35250324,female,390,10,10
35250324,male,285,10,95
35250326,female,175,0,0
35250326,male,145,5,20
35250327,female,300,0,10
35250327,male,285,0,80
35250328,female,140,5,5
35250328,male,125,5,55
35250329,female,185,5,10
35250329,male,205,5,55
35250330,female,155,10,10
35250330,male,120,5,70
35250331,female,175,10,10
35250331,male,165,5,35
35250332,female,225,5,10
35250332,male,215,0,40
35250333,female,240,0,5
35250333,male,225,5,55
35250334,female,200,0,0
35250334,male,210,5,45
35250335,female,160,0,5
35250335,male,175,0,25
35250336,female,195,0,0
35250336,male,205,5,45
35250337,female,335,5,10
35250337,male,310,10,50
35250338,female,325,10,5
35250338,male,295,10,35
35250339,female,220,0,5
35250339,male,230,5,30
35250340,female,105,5,0
35250340,male,125,0,10
35250341,female,270,10,5
35250341,male,270,5,35
35250342,female,230,5,5
35250342,male,215,5,35
35250343,female,175,0,5
35250343,male,200,5,45
35250344,female,195,0,0
35250344,male,220,0,35
35250345,female,175,0,5
35250345,male,175,0,20
35250346,female,200,0,5
35250346,male,200,0,10
35250347,female,185,5,0
35250347,male,195,5,25
35250348,female,215,5,5
35250348,male,225,0,45
35250349,female,225,5,0
35250349,male,180,5,25
35250350,female,250,5,10
35250350,male,255,5,35
35250351,female,185,5,0
35250351,male,135,0,20
35250352,female,235,5,0
35250352,male,220,5,30
35250353,female,245,10,10
35250353,male,190,5,50
35250354,female,240,5,0
35250354,male,225,0,40
35250355,female,235,5,5
35250355,male,255,0,40
35250356,female,250,0,0
35250356,male,270,5,40
35250357,female,220,0,0
35250357,male,210,5,20
35250358,female,245,0,5
35250358,male,230,5,40
35250359,female,200,5,5
35250359,male,170,0,30
35250360,female,215,0,0
35250360,male,195,5,30
35250361,female,210,0,5
35250361,male,195,0,30
35250362,female,205,5,0
35250362,male,200,5,30
35250363,female,170,5,5
35250363,male,180,5,25
35250364,female,100,0,0
35250364,male,110,0,10
35250365,female,425,10,0
35250365,male,355,0,60
35250366,female,300,5,15
35250366,male,280,10,60
35250367,female,210,5,0
35250367,male,225,5,40
35250368,female,220,5,0
35250368,male,215,5,25
35250369,female,220,5,5
35250369,male,205,5,30
35250370,female,165,0,5
35250370,male,160,5,35
35250371,female,205,0,5
35250371,male,220,5,25
35250372,female,215,0,5
35250372,male,220,0,35
35250373,female,175,5,0
35250373,male,170,5,35
35250374,female,215,0,5
35250374,male,195,5,25
35250375,female,220,5,0
35250375,male,210,5,30
35250376,female,205,0,0
35250376,male,190,5,30
35250377,female,205,5,0
35250377,male,245,5,50
35250378,female,200,5,0
35250378,male,210,0,20
35250379,female,175,5,0
35250379,male,135,0,15
35250380,female,220,0,0
35250380,male,210,5,15
35250381,female,200,0,5
35250381,male,185,5,25
35250382,female,205,5,0
35250382,male,215,5,30
35250383,female,195,0,20
35250383,male,175,0,115
35250384,female,140,5,5
35250384,male,175,0,85
35250385,female,195,5,5
35250385,male,185,0,55
35250387,female,190,0,5
35250387,male,190,5,20
35250388,female,235,0,0
35250388,male,230,0,25
35250389,female,170,5,0
35250389,male,165,0,25
35250390,female,225,5,5
35250390,male,200,0,25
35250391,female,235,5,0
35250391,male,220,5,20
35250392,female,220,0,0
35250392,male,190,5,35
35250393,female,170,5,0
35250393,male,165,10,30
35250394,female,225,5,10
35250394,male,260,5,130
35250395,female,210,0,15
35250395,male,210,15,115
35250396,female,155,5,10
35250396,male,165,5,90
35250397,female,190,5,5
35250397,male,175,10,75
35250398,female,60,0,0
35250398,male,125,5,50
35250399,female,190,10,30
35250399,male,235,5,165
35250400,female,225,5,5
35250400,male,215,10,90
