,geo_code,Couples with Children,Couples with 1 Child,Couples with 2 Chidren,Couples with 3 Chidlren
225,35240660,65,25,35,35
226,35240661,45,25,55,55
227,35240662,345,75,60,60
228,35240663,40,20,50,50
229,35240664,70,35,40,40
230,35240665,60,20,40,40
231,35240666,110,30,45,45
232,35240667,45,35,85,85
233,35240668,35,25,40,40
234,35240669,50,65,125,125
235,35240670,40,40,65,65
236,35240671,35,45,55,55
237,35240672,40,35,115,115
238,35240673,25,25,35,35
239,35240674,35,45,90,90
240,35240675,70,60,120,120
241,35240676,75,45,90,90
242,35240677,25,30,60,60
243,35240678,210,65,65,65
244,35240679,55,50,55,55
245,35240680,135,70,35,35
246,35240681,55,35,45,45
247,35240682,55,40,50,50
248,35240683,70,35,75,75
249,35240684,95,15,0,0
250,35240685,75,65,145,145
251,35240686,35,70,145,145
252,35240756,25,35,80,80
253,35240757,40,40,60,60
254,35240758,95,50,90,90
255,35240759,100,25,35,35
256,35240780,90,50,100,100
257,35240782,65,40,70,70
258,35240783,55,15,30,30
259,35240785,70,45,95,95
260,35240807,130,40,40,40
261,35240808,205,20,5,5
262,35240809,15,0,0,0
263,35240898,205,160,280,280
264,35240903,0,0,0,0
265,35240904,190,100,100,100
266,35250030,50,25,25,25
267,35250031,55,25,25,25
268,35250032,65,40,40,40
269,35250033,85,25,60,60
270,35250034,75,40,30,30
271,35250035,50,25,25,25
272,35250036,70,40,35,35
273,35250037,65,20,25,25
274,35250038,90,10,10,10
275,35250039,70,10,5,5
276,35250040,45,15,10,10
277,35250041,55,15,10,10
278,35250042,35,15,5,5
279,35250043,80,20,35,35
280,35250044,50,25,25,25
281,35250045,40,15,10,10
282,35250046,70,20,35,35
283,35250047,80,30,35,35
284,35250048,35,20,20,20
285,35250049,60,25,25,25
286,35250050,60,15,20,20
287,35250051,200,55,95,95
288,35250052,40,20,30,30
289,35250053,110,25,35,35
290,35250054,40,20,30,30
291,35250055,75,35,35,35
292,35250056,20,10,20,20
293,35250059,120,55,65,65
294,35250060,95,30,35,35
295,35250061,50,15,25,25
296,35250062,95,30,35,35
297,35250064,115,35,60,60
298,35250065,60,30,45,45
299,35250066,60,10,35,35
300,35250067,60,25,50,50
301,35250070,70,20,35,35
302,35250073,30,30,40,40
303,35250074,40,25,15,15
304,35250075,50,25,35,35
305,35250077,55,25,15,15
306,35250078,45,20,20,20
307,35250079,45,20,15,15
308,35250080,50,30,25,25
309,35250081,90,55,55,55
310,35250082,25,20,15,15
311,35250083,40,20,35,35
312,35250084,30,25,15,15
313,35250085,35,15,15,15
314,35250086,35,25,20,20
315,35250087,55,25,30,30
316,35250088,65,30,20,20
317,35250089,55,15,15,15
318,35250093,65,25,35,35
319,35250094,35,20,20,20
320,35250095,70,30,15,15
321,35250096,50,15,25,25
322,35250097,45,15,35,35
323,35250098,30,15,10,10
324,35250099,75,55,45,45
325,35250100,50,20,30,30
326,35250101,45,20,35,35
327,35250102,40,20,25,25
328,35250105,90,30,35,35
329,35250106,70,20,30,30
330,35250107,65,20,30,30
331,35250108,60,35,30,30
332,35250109,90,25,50,50
333,35250110,80,25,25,25
334,35250111,65,20,30,30
335,35250112,50,25,30,30
336,35250113,35,20,10,10
337,35250114,50,25,15,15
338,35250115,95,50,65,65
339,35250116,65,40,45,45
340,35250117,20,15,15,15
341,35250118,35,25,20,20
342,35250119,60,25,35,35
343,35250120,20,20,15,15
344,35250121,45,15,15,15
345,35250122,40,25,20,20
346,35250123,50,25,20,20
347,35250124,50,35,25,25
348,35250125,30,20,20,20
349,35250126,30,25,30,30
350,35250127,95,80,135,135
351,35250128,40,20,35,35
352,35250129,35,30,15,15
353,35250130,35,25,20,20
354,35250133,60,5,5,5
355,35250134,115,30,55,55
356,35250135,120,95,115,115
357,35250136,40,20,20,20
358,35250137,55,20,25,25
359,35250144,145,85,135,135
360,35250145,50,20,25,25
361,35250146,115,35,60,60
362,35250147,60,15,30,30
363,35250148,65,25,25,25
364,35250149,60,35,50,50
365,35250150,70,15,25,25
366,35250151,50,35,30,30
367,35250152,185,70,85,85
368,35250153,70,40,40,40
369,35250156,45,20,25,25
370,35250158,55,25,40,40
371,35250159,60,25,35,35
372,35250160,35,15,40,40
373,35250161,75,35,55,55
374,35250162,55,20,25,25
375,35250163,70,20,35,35
376,35250164,80,15,25,25
377,35250172,55,30,40,40
378,35250173,125,70,110,110
379,35250175,85,75,130,130
380,35250176,45,60,65,65
381,35250177,50,30,55,55
382,35250178,65,40,45,45
383,35250179,45,45,60,60
384,35250180,140,100,125,125
385,35250181,40,15,25,25
386,35250183,25,15,20,20
387,35250184,30,25,30,30
388,35250185,45,20,30,30
389,35250186,35,15,20,20
390,35250188,70,40,45,45
