,geo_code,Couples with Children,Couples with 1 Child,Couples with 2 Chidren,Couples with 3 Chidlren
975,35250857,50,30,35,35
976,35250859,65,35,55,55
977,35250860,110,90,170,170
978,35250861,15,30,50,50
979,35250862,85,25,30,30
980,35250863,45,15,30,30
981,35250864,60,25,35,35
982,35250865,80,40,30,30
983,35250866,60,40,30,30
984,35250867,65,30,35,35
985,35250868,50,20,35,35
986,35250869,60,40,40,40
987,35250870,85,35,60,60
988,35250871,75,35,30,30
989,35250872,75,30,60,60
990,35250873,75,35,50,50
991,35250874,85,30,55,55
992,35250875,80,40,55,55
993,35250876,55,25,30,30
994,35250877,55,20,30,30
995,35250878,60,20,40,40
996,35250879,80,40,30,30
997,35250880,60,25,20,20
998,35250881,65,25,15,15
999,35250882,80,50,65,65
1000,35250883,45,30,50,50
1001,35250884,40,30,65,65
1002,35250885,35,25,60,60
1003,35250886,40,25,55,55
1004,35250887,55,35,70,70
1005,35250888,50,30,50,50
1006,35250889,45,30,50,50
1007,35250890,25,30,60,60
1008,35250891,35,25,60,60
1009,35250892,290,170,210,210
1010,35250893,60,40,40,40
1011,35250894,65,35,25,25
1012,35250895,80,25,40,40
1013,35250896,45,25,30,30
1014,35250897,80,25,40,40
1015,35250898,65,20,25,25
1016,35250899,75,25,30,30
1017,35250900,45,35,20,20
1018,35250901,70,20,40,40
1019,35250902,65,20,25,25
1020,35250903,75,30,35,35
1021,35250904,85,25,40,40
1022,35250905,75,10,30,30
1023,35250906,75,25,35,35
1024,35250907,60,20,20,20
1025,35250908,55,30,25,25
1026,35250909,125,105,145,145
1027,35250910,105,75,120,120
1028,35250911,25,40,80,80
1029,35250912,50,40,75,75
1030,35250913,60,30,40,40
1031,35250914,80,15,35,35
1032,35250918,595,45,0,0
1033,35250919,75,40,50,50
1034,35250920,135,70,110,110
1035,35250921,100,35,35,35
1036,35250922,90,40,30,30
1037,35250923,50,30,30,30
1038,35250924,55,25,20,20
1039,35250925,85,45,30,30
1040,35250928,70,20,25,25
1041,35250929,70,30,35,35
1042,35250930,85,40,25,25
1043,35250931,85,35,35,35
1044,35250932,105,15,10,10
1045,35250933,65,20,30,30
1046,35250934,60,25,35,35
1047,35250935,320,25,5,5
1048,35250936,70,25,25,25
1049,35250937,140,50,60,60
1050,35250938,90,30,45,45
1051,35250939,100,25,35,35
1052,35250940,70,25,20,20
1053,35250941,95,35,50,50
1054,35250942,60,25,30,30
1055,35250943,140,55,55,55
1056,35250944,50,35,35,35
1057,35250945,70,50,50,50
1058,35250946,60,15,25,25
1059,35250947,80,40,45,45
1060,35250948,130,90,90,90
1061,35250949,50,25,45,45
1062,35250950,35,35,50,50
1063,35250951,35,30,65,65
1064,35250952,185,125,160,160
1065,35250953,15,20,5,5
1066,35250954,25,15,10,10
1067,35250955,5,10,15,15
1068,35250956,45,10,5,5
1069,35250957,45,15,15,15
1070,35250958,45,15,15,15
1071,35250959,50,20,10,10
1072,35250960,30,20,15,15
1073,35250961,20,15,15,15
1074,35250962,60,30,30,30
1075,35250963,320,85,50,50
1076,35250964,75,20,20,20
1077,35250965,45,15,15,15
1078,35250966,0,0,0,0
1079,35250967,60,30,35,35
1080,35250968,35,15,10,10
1081,35250969,35,20,15,15
1082,35250970,40,25,20,20
1083,35250971,45,25,35,35
1084,35250972,40,25,30,30
1085,35250973,40,30,30,30
1086,35250974,45,30,35,35
1087,35250975,65,20,25,25
1088,35250976,50,10,20,20
1089,35250978,160,125,200,200
1090,35250980,45,15,20,20
1091,35250981,140,115,185,185
1092,35250982,80,0,5,5
1093,35250983,45,25,35,35
1094,35250985,100,70,100,100
1095,35250986,125,85,125,125
1096,35250987,50,50,35,35
1097,35250988,75,55,65,65
1098,35250989,60,45,75,75
1099,35250990,45,20,15,15
1100,35250991,70,40,30,30
1101,35250992,40,30,45,45
1102,35250993,20,5,10,10
1103,35250994,105,50,75,75
1104,35250995,205,65,60,60
1105,35250996,115,75,100,100
1106,35250997,255,35,50,50
1107,35250998,100,25,35,35
1108,35250999,150,45,80,80
1109,35251000,15,20,40,40
1110,35251001,35,40,40,40
1111,35251002,40,30,35,35
1112,35251003,30,15,25,25
1113,35251004,50,25,25,25
1114,35251005,65,50,85,85
1115,35251006,110,35,75,75
1116,35251007,90,45,55,55
1117,35251008,55,30,40,40
1118,35251009,70,55,65,65
1119,35251010,35,35,70,70
1120,35251011,55,30,65,65
1121,35251012,40,25,65,65
1122,35251013,40,50,105,105
1123,35251014,25,15,30,30
1124,35251015,40,35,70,70
1125,35251016,40,20,50,50
1126,35251017,20,35,50,50
1127,35251018,30,30,65,65
1128,35251019,35,15,50,50
1129,35251020,80,60,65,65
1130,35251021,50,45,60,60
1131,35251022,160,95,165,165
1132,35251023,80,50,80,80
1133,35251024,105,75,85,85
1134,35251025,30,35,25,25
1135,35251026,85,35,35,35
1136,35260307,95,55,60,60
1137,35260309,155,60,120,120
1138,35260310,55,25,25,25
1139,35260311,165,45,35,35
1140,35260313,100,25,30,30
1141,35260314,85,35,35,35
1142,35260315,65,20,30,30
1143,35260316,60,30,20,20
1144,35260317,60,30,20,20
1145,35260318,65,25,25,25
1146,35260319,70,10,20,20
1147,35260320,40,25,20,20
1148,35260321,70,20,15,15
1149,35260322,60,20,20,20
1150,35260323,80,15,20,20
1151,35260324,90,25,35,35
1152,35260325,55,10,5,5
1153,35260326,70,30,40,40
1154,35260327,55,15,25,25
1155,35260328,65,15,35,35
1156,35260330,55,25,40,40
1157,35260332,55,30,30,30
1158,35260333,75,25,30,30
1159,35260334,55,25,25,25
1160,35260335,200,90,115,115
1161,35260336,175,80,125,125
1162,35260337,45,25,15,15
1163,35260338,250,90,90,90
1164,35260339,35,25,50,50
1165,35260340,125,70,105,105
1166,35260341,90,25,35,35
1167,35260342,70,30,35,35
1168,35260734,200,65,90,90
1169,35260828,75,20,30,30
1170,35260829,60,30,25,25
1171,35260830,130,35,80,80
1172,35260831,50,25,35,35
1173,35260832,105,40,80,80
1174,35260833,75,35,65,65
