,geo_code,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
350,35240518,90,60,10,10,0,25,0
352,35240519,55,30,10,10,0,10,0
354,35240520,85,100,10,10,0,25,0
356,35240521,70,45,0,0,0,0,0
358,35240522,30,15,0,0,10,0,0
360,35240523,50,25,0,0,15,25,0
362,35240524,55,55,0,0,10,25,0
364,35240525,50,65,10,10,10,15,0
366,35240526,20,30,0,0,0,0,0
368,35240528,40,55,0,0,0,0,0
370,35240529,60,55,10,10,0,20,0
372,35240530,75,40,0,0,0,0,0
374,35240531,55,60,15,15,0,15,10
376,35240532,125,195,10,10,0,30,0
378,35240533,55,30,10,10,0,10,0
380,35240534,60,60,10,10,0,0,0
382,35240535,40,60,0,0,0,10,0
384,35240536,95,60,0,0,0,30,10
386,35240537,55,65,10,10,15,25,10
388,35240538,175,150,0,0,0,10,0
390,35240539,110,115,10,10,0,15,0
392,35240540,40,30,15,15,0,10,10
394,35240541,65,20,0,0,0,10,0
396,35240542,75,85,10,10,0,10,0
398,35240543,45,60,10,10,0,20,10
400,35240544,50,60,0,0,0,30,10
402,35240545,70,130,15,15,0,15,0
404,35240546,60,95,15,15,0,20,0
406,35240590,105,145,10,10,0,50,10
408,35240591,115,120,25,25,0,15,0
410,35240592,285,230,15,15,10,30,0
412,35240593,150,145,0,0,0,25,0
414,35240594,95,100,0,0,0,15,0
416,35240595,145,110,25,25,0,20,0
418,35240596,265,185,15,15,15,35,0
420,35240598,345,280,35,35,15,65,15
422,35240641,45,30,10,10,10,20,10
424,35240642,55,55,0,0,0,15,0
426,35240643,65,50,10,10,0,20,0
428,35240644,75,65,0,0,15,0,0
430,35240645,60,25,10,10,0,0,0
432,35240647,80,90,10,10,10,10,0
434,35240648,85,130,0,0,0,20,0
436,35240649,95,90,15,15,0,25,0
438,35240650,95,75,0,0,0,40,0
440,35240651,40,50,0,0,0,15,0
442,35240654,70,40,0,0,10,10,0
444,35240655,155,145,35,35,0,45,0
446,35240656,25,25,0,0,0,10,0
448,35240659,135,80,10,10,0,25,0
450,35240660,50,85,0,0,10,20,0
452,35240661,35,50,0,0,0,15,0
454,35240662,220,290,15,15,10,35,10
456,35240663,60,35,10,10,0,20,0
458,35240664,65,50,0,0,0,10,10
460,35240665,60,50,0,0,10,20,10
462,35240666,110,160,0,0,0,20,0
464,35240667,60,50,10,10,0,25,0
466,35240668,40,45,0,0,0,25,0
468,35240669,60,90,10,10,0,40,0
470,35240670,30,60,0,0,10,20,0
472,35240671,25,55,0,0,10,10,0
474,35240672,80,95,10,10,0,30,0
476,35240673,20,40,0,0,0,10,0
478,35240674,55,60,0,0,0,25,0
480,35240675,75,75,10,10,0,40,10
482,35240676,70,100,0,0,10,40,15
484,35240677,20,35,10,10,0,10,0
486,35240678,190,180,10,10,0,50,10
488,35240679,50,50,10,10,0,15,10
490,35240680,110,100,10,10,10,30,0
492,35240681,70,70,0,0,0,30,0
494,35240682,85,70,10,10,0,15,0
496,35240683,60,95,0,0,0,15,10
498,35240684,80,80,0,0,0,25,0
500,35240685,80,100,10,10,0,50,0
502,35240686,95,70,0,0,0,55,0
504,35240756,60,55,0,0,10,20,0
506,35240757,30,55,0,0,0,20,0
508,35240758,140,65,20,20,0,35,0
510,35240759,80,85,10,10,0,10,0
512,35240780,90,100,10,10,0,30,0
514,35240782,70,65,10,10,0,15,0
516,35240783,30,35,10,10,0,10,10
518,35240785,75,65,0,0,10,30,10
520,35240807,115,130,15,15,0,20,10
522,35240808,155,150,10,10,10,20,0
524,35240809,10,20,0,0,0,0,0
526,35240898,225,275,0,0,0,70,15
528,35240903,0,0,0,0,0,0,0
530,35240904,155,135,0,0,10,55,10
532,35250030,55,30,0,0,0,10,0
534,35250031,30,65,0,0,0,20,10
536,35250032,75,45,0,0,10,25,10
538,35250033,45,35,10,10,10,15,10
540,35250034,90,95,0,0,0,20,10
542,35250035,25,45,0,0,0,35,0
544,35250036,35,45,20,20,0,25,10
546,35250037,40,45,0,0,10,10,10
548,35250038,125,80,0,0,20,15,10
550,35250039,75,60,20,20,0,0,0
552,35250040,70,55,10,10,0,15,10
554,35250041,60,80,0,0,0,15,0
556,35250042,20,35,0,0,0,0,0
558,35250043,100,55,10,10,0,25,0
560,35250044,40,50,0,0,0,35,0
562,35250045,45,50,15,15,0,30,10
564,35250046,50,40,0,0,0,25,0
566,35250047,70,40,0,0,0,65,10
568,35250048,15,30,0,0,0,20,0
570,35250049,60,20,10,10,0,10,10
572,35250050,40,90,0,0,0,0,0
574,35250051,145,130,30,30,0,55,20
576,35250052,35,35,0,0,0,15,0
578,35250053,60,50,10,10,10,40,0
580,35250054,35,70,0,0,0,20,0
582,35250055,55,60,10,10,10,30,15
584,35250056,25,20,0,0,0,15,0
586,35250059,135,70,15,15,0,25,10
588,35250060,55,55,0,0,15,50,0
590,35250061,55,45,0,0,10,10,0
592,35250062,50,60,0,0,10,15,0
594,35250064,70,65,10,10,10,30,15
596,35250065,40,30,0,0,10,30,10
598,35250066,55,25,10,10,0,20,10
600,35250067,65,75,10,10,0,25,10
602,35250070,60,45,0,0,0,15,0
604,35250073,40,80,10,10,0,0,0
606,35250074,25,30,0,0,0,0,10
608,35250075,55,60,10,10,10,10,0
610,35250077,125,50,10,10,0,15,0
612,35250078,55,40,10,10,0,25,10
614,35250079,30,25,10,10,0,0,0
616,35250080,90,45,10,10,0,10,0
618,35250081,135,120,10,10,10,10,0
620,35250082,20,30,10,10,0,10,0
622,35250083,55,65,20,20,0,15,0
624,35250084,45,25,0,0,0,0,0
626,35250085,40,40,0,0,10,0,0
628,35250086,60,55,10,10,0,10,0
630,35250087,55,60,20,20,0,0,0
632,35250088,50,55,0,0,0,10,0
634,35250089,100,80,10,10,0,0,0
636,35250093,75,70,10,10,0,10,0
638,35250094,55,65,0,0,0,0,0
640,35250095,40,40,15,15,0,10,0
642,35250096,75,80,0,0,0,0,0
644,35250097,30,55,0,0,0,0,0
646,35250098,30,10,10,10,0,10,0
648,35250099,60,120,10,10,10,25,0
650,35250100,55,75,0,0,0,10,0
652,35250101,45,45,10,10,0,25,0
654,35250102,20,25,0,0,0,15,0
656,35250105,60,40,15,15,0,35,0
658,35250106,55,65,10,10,10,0,0
660,35250107,65,50,0,0,0,20,0
662,35250108,55,45,20,20,0,15,0
664,35250109,60,70,15,15,0,25,10
666,35250110,55,70,0,0,0,15,0
668,35250111,115,75,0,0,0,0,10
670,35250112,55,60,0,0,0,0,0
672,35250113,40,25,0,0,0,0,0
674,35250114,15,35,0,0,0,10,0
676,35250115,195,200,20,20,0,20,0
678,35250116,130,90,10,10,0,0,0
680,35250117,20,30,0,0,0,0,0
682,35250118,65,50,0,0,0,0,0
684,35250119,75,70,0,0,0,0,0
686,35250120,35,80,10,10,0,10,0
688,35250121,110,50,10,10,0,0,0
690,35250122,20,45,10,10,0,0,0
692,35250123,30,45,10,10,0,10,0
694,35250124,60,55,0,0,0,0,0
696,35250125,60,45,0,0,0,0,0
698,35250126,80,65,10,10,0,0,0
700,35250127,160,130,0,0,0,40,0
702,35250128,55,45,10,10,0,10,0
704,35250129,60,35,10,10,0,0,0
706,35250130,45,45,0,0,0,15,0
708,35250133,50,40,10,10,0,10,0
710,35250134,100,90,10,10,0,25,0
712,35250135,215,160,20,20,10,45,0
714,35250136,55,20,0,0,0,10,0
716,35250137,30,45,0,0,0,0,0
718,35250144,150,155,25,25,15,35,10
720,35250145,30,60,10,10,0,0,0
722,35250146,75,85,10,10,0,15,0
724,35250147,20,40,10,10,0,0,0
726,35250148,75,25,0,0,0,0,0
728,35250149,35,65,0,0,0,20,0
730,35250150,85,70,10,10,0,25,0
732,35250151,25,35,10,10,0,0,0
734,35250152,155,125,10,10,15,45,0
736,35250153,55,55,10,10,0,10,10
738,35250156,40,55,0,0,0,0,10
740,35250158,25,15,10,10,20,25,10
742,35250159,40,55,0,0,10,15,0
744,35250160,45,45,10,10,0,0,10
746,35250161,50,45,10,10,20,20,0
748,35250162,30,40,10,10,0,20,0
750,35250163,70,55,10,10,10,15,10
752,35250164,60,60,15,15,0,10,0
754,35250172,65,65,10,10,0,10,0
756,35250173,135,195,0,0,0,10,0
758,35250175,195,180,10,10,10,15,0
760,35250176,90,100,10,10,0,10,0
762,35250177,85,90,10,10,0,10,0
764,35250178,85,60,15,15,0,10,0
766,35250179,95,80,0,0,0,10,0
768,35250180,125,190,0,0,0,30,0
770,35250181,75,50,10,10,0,10,0
772,35250183,40,40,0,0,0,0,0
774,35250184,50,70,10,10,0,10,0
776,35250185,55,45,0,0,0,0,0
778,35250186,45,40,0,0,0,0,0
780,35250188,85,70,10,10,0,20,0
782,35250189,50,95,0,0,0,20,0
784,35250190,70,55,0,0,0,10,0
786,35250191,90,90,10,10,0,0,0
788,35250192,175,145,15,15,0,10,0
790,35250193,30,45,0,0,0,10,0
792,35250194,45,55,0,0,0,10,0
794,35250196,55,55,10,10,0,0,0
796,35250197,80,65,0,0,0,0,0
798,35250199,305,320,35,35,15,45,15
800,35250200,75,85,0,0,0,0,0
802,35250201,50,10,0,0,0,0,0
804,35250202,145,110,0,0,0,10,10
806,35250203,170,95,10,10,0,10,10
808,35250204,180,75,15,15,0,10,0
810,35250205,45,20,10,10,0,10,0
812,35250206,60,70,0,0,0,15,0
814,35250207,35,25,10,10,0,0,0
816,35250208,70,45,0,0,0,10,0
818,35250209,55,55,0,0,0,15,0
820,35250210,70,40,0,0,0,10,0
822,35250211,60,30,10,10,0,10,0
824,35250212,60,65,0,0,0,0,0
826,35250213,60,50,0,0,0,0,0
828,35250216,65,45,0,0,0,0,0
830,35250217,100,50,10,10,0,10,0
832,35250218,70,60,10,10,0,0,0
834,35250221,75,75,0,0,0,0,0
836,35250222,80,45,10,10,0,0,0
838,35250223,90,15,0,0,0,0,0
840,35250224,55,15,0,0,0,0,0
842,35250225,75,40,0,0,0,0,0
844,35250226,85,65,10,10,0,0,0
846,35250227,70,55,10,10,0,15,0
848,35250230,55,25,10,10,0,0,0
850,35250231,110,30,0,0,0,0,0
852,35250232,115,80,0,0,0,10,0
854,35250233,45,35,10,10,0,10,0
856,35250234,50,25,0,0,0,0,0
858,35250238,90,70,0,0,0,0,0
860,35250239,35,45,0,0,0,0,0
862,35250240,65,35,0,0,0,0,0
864,35250241,40,20,0,0,0,10,0
866,35250242,0,0,0,0,0,0,0
868,35250243,185,75,0,0,10,15,0
870,35250248,90,135,0,0,0,15,0
872,35250249,90,35,0,0,0,15,0
874,35250250,65,55,0,0,0,0,0
876,35250251,60,45,0,0,0,0,0
878,35250254,120,80,10,10,0,10,0
880,35250255,55,45,0,0,0,10,0
882,35250256,95,70,10,10,10,10,0
884,35250257,100,65,0,0,0,0,0
886,35250258,90,90,15,15,0,10,0
888,35250259,80,40,10,10,0,10,0
890,35250260,115,60,0,0,0,0,0
892,35250261,70,50,10,10,0,0,0
894,35250262,120,45,0,0,0,0,0
896,35250263,115,70,10,10,0,10,0
898,35250264,45,40,10,10,0,10,0
900,35250265,55,40,0,0,0,20,0
902,35250266,25,50,0,0,0,0,0
904,35250267,60,60,0,0,0,0,0
906,35250269,20,10,0,0,0,0,0
908,35250270,50,30,0,0,0,10,0
910,35250271,60,20,0,0,0,10,0
912,35250272,50,25,10,10,0,20,0
914,35250273,55,35,0,0,0,10,0
916,35250274,135,150,0,0,0,0,0
918,35250275,60,35,15,15,0,0,0
920,35250276,95,55,0,0,0,10,0
922,35250277,60,65,0,0,0,0,0
924,35250278,75,35,0,0,0,0,0
926,35250279,90,65,0,0,0,0,0
928,35250280,60,20,0,0,0,0,0
930,35250281,70,70,10,10,10,10,0
932,35250282,110,30,10,10,10,0,0
934,35250283,80,60,0,0,0,10,0
936,35250284,75,25,0,0,0,0,0
938,35250285,80,50,10,10,0,25,0
940,35250286,15,50,0,0,0,0,0
942,35250287,90,100,0,0,0,0,0
944,35250288,45,45,15,15,0,10,0
946,35250289,55,65,10,10,0,0,0
948,35250290,85,70,10,10,0,10,0
950,35250291,100,110,15,15,0,20,0
952,35250293,135,75,0,0,0,20,0
954,35250294,55,50,10,10,0,0,0
956,35250295,60,40,10,10,0,10,0
958,35250296,65,60,0,0,0,10,0
960,35250297,100,40,10,10,0,0,0
962,35250298,40,55,10,10,0,15,0
964,35250299,95,45,15,15,10,10,0
966,35250300,110,80,0,0,0,0,0
968,35250302,35,25,0,0,0,0,0
970,35250303,65,30,0,0,0,10,0
972,35250304,110,50,0,0,0,10,0
974,35250305,110,50,0,0,0,10,0
976,35250306,40,60,0,0,0,15,0
978,35250307,70,30,0,0,0,10,0
980,35250308,95,120,0,0,0,30,0
982,35250309,55,40,0,0,0,0,0
984,35250310,45,30,10,10,0,10,0
986,35250311,100,65,15,15,0,0,0
988,35250312,65,30,0,0,0,0,0
990,35250313,95,60,10,10,0,15,0
992,35250315,130,120,10,10,0,10,0
994,35250316,85,90,0,0,0,15,0
996,35250317,55,55,10,10,0,10,10
998,35250318,0,10,0,0,0,0,0
1000,35250319,70,35,0,0,0,10,0
1002,35250320,60,45,0,0,0,10,0
1004,35250321,35,30,0,0,0,0,0
1006,35250322,60,50,0,0,0,0,0
1008,35250323,70,35,0,0,0,0,0
1010,35250324,125,75,0,0,0,0,0
1012,35250326,50,55,0,0,0,0,0
1014,35250327,130,55,0,0,0,0,0
1016,35250328,65,40,0,0,0,0,0
1018,35250329,65,35,0,0,0,0,0
1020,35250330,50,35,0,0,0,0,0
1022,35250331,35,55,0,0,0,0,0
1024,35250332,70,60,10,10,0,0,0
1026,35250333,75,75,0,0,0,15,0
1028,35250334,70,80,0,0,0,0,0
1030,35250335,80,35,0,0,0,0,0
1032,35250336,55,50,10,10,0,10,0
1034,35250337,135,95,10,10,0,0,0
1036,35250338,105,75,10,10,0,10,0
1038,35250339,60,60,15,15,0,10,0
1040,35250340,60,30,0,0,0,0,0
1042,35250341,105,65,0,0,0,0,0
1044,35250342,60,55,0,0,0,0,0
1046,35250343,75,60,0,0,0,10,0
1048,35250344,80,60,0,0,10,10,0
1050,35250345,25,70,0,0,0,0,0
1052,35250346,65,55,10,10,0,10,0
1054,35250347,60,45,10,10,0,0,0
1056,35250348,75,70,0,0,0,20,0
1058,35250349,45,65,10,10,0,10,0
1060,35250350,105,55,0,0,0,0,0
1062,35250351,90,55,0,0,0,10,0
1064,35250352,80,105,0,0,0,0,0
1066,35250353,60,80,0,0,0,10,0
1068,35250354,70,65,0,0,0,15,10
1070,35250355,60,60,0,0,0,10,10
1072,35250356,95,70,0,0,0,0,0
1074,35250357,65,75,0,0,0,10,0
1076,35250358,75,80,10,10,0,0,0
1078,35250359,45,65,10,10,0,0,0
1080,35250360,95,50,0,0,0,0,0
1082,35250361,50,50,10,10,0,0,0
1084,35250362,60,75,0,0,0,10,0
1086,35250363,35,40,0,0,0,15,0
1088,35250364,55,25,10,10,0,0,0
1090,35250365,200,140,0,0,0,0,0
1092,35250366,70,65,15,15,0,0,0
1094,35250367,75,60,0,0,0,0,0
1096,35250368,95,70,0,0,0,10,0
1098,35250369,85,50,0,0,0,0,0
1100,35250370,45,60,15,15,0,0,0
1102,35250371,80,60,0,0,0,0,0
1104,35250372,60,70,0,0,0,10,0
1106,35250373,45,20,0,0,0,10,0
1108,35250374,85,45,0,0,0,0,0
1110,35250375,80,80,0,0,0,0,0
1112,35250376,90,70,15,15,0,0,0
1114,35250377,45,95,10,10,0,15,0
1116,35250378,90,70,10,10,0,10,0
1118,35250379,65,60,10,10,0,10,0
1120,35250380,40,50,10,10,10,10,0
1122,35250381,70,75,10,10,0,15,0
1124,35250382,75,70,0,0,0,0,0
1126,35250383,100,50,0,0,0,10,0
1128,35250384,35,60,10,10,0,10,0
1130,35250385,80,35,10,10,0,10,0
1132,35250387,40,25,0,0,0,35,10
1134,35250388,35,50,0,0,0,40,10
1136,35250389,15,20,0,0,10,30,15
1138,35250390,35,45,0,0,0,25,0
1140,35250391,40,55,0,0,0,30,10
1142,35250392,30,40,0,0,0,35,25
1144,35250393,60,55,0,0,0,20,15
1146,35250394,75,105,0,0,0,10,0
1148,35250395,85,70,10,10,0,20,0
1150,35250396,75,70,15,15,0,20,0
1152,35250397,55,95,10,10,15,10,0
1154,35250398,25,10,0,0,0,0,0
1156,35250399,140,50,10,10,0,0,0
1158,35250400,75,75,10,10,0,35,15
1160,35250401,55,60,10,10,0,15,0
1162,35250402,45,35,0,0,0,20,0
1164,35250403,60,70,0,0,0,25,15
1166,35250404,25,20,10,10,0,25,15
1168,35250405,30,45,0,0,0,25,0
1170,35250406,65,65,10,10,0,40,10
1172,35250407,60,30,10,10,0,0,0
1174,35250408,70,30,10,10,0,15,0
1176,35250409,50,25,0,0,0,10,0
1178,35250410,35,60,15,15,0,0,0
1180,35250411,55,75,15,15,0,10,0
1182,35250412,65,40,10,10,0,10,10
1184,35250413,65,25,10,10,0,30,0
1186,35250416,45,35,0,0,0,10,10
1188,35250417,25,75,0,0,0,0,10
1190,35250418,50,45,10,10,0,10,10
1192,35250419,35,35,15,15,0,10,10
1194,35250420,45,65,15,15,25,65,15
1196,35250421,65,65,0,0,0,15,0
1198,35250422,55,65,25,25,0,10,0
1200,35250423,90,80,15,15,0,15,0
1202,35250424,70,55,10,10,0,20,0
1204,35250425,100,105,20,20,25,35,0
1206,35250426,40,25,10,10,0,35,10
1208,35250427,20,35,0,0,0,25,0
1210,35250428,70,65,0,0,0,15,0
1212,35250429,25,40,0,0,0,0,0
1214,35250430,70,45,0,0,0,20,10
1216,35250431,15,65,10,10,0,25,0
1218,35250434,155,115,0,0,25,30,0
1220,35250435,35,30,15,15,0,0,0
1222,35250436,75,40,20,20,0,0,0
1224,35250437,40,50,0,0,0,20,0
1226,35250438,45,20,10,10,0,0,0
1228,35250439,95,65,0,0,0,15,0
1230,35250440,50,95,0,0,10,10,0
1232,35250441,45,85,0,0,0,0,0
1234,35250442,80,75,0,0,0,10,10
1236,35250443,55,70,0,0,0,0,0
1238,35250444,50,75,0,0,0,10,0
1240,35250445,45,90,0,0,0,0,0
1242,35250446,55,65,0,0,0,15,10
1244,35250447,25,35,0,0,0,0,0
1246,35250448,95,80,15,15,0,15,0
1248,35250449,35,50,0,0,0,15,0
1250,35250450,55,50,0,0,10,10,15
1252,35250451,20,30,0,0,0,0,0
1254,35250452,40,25,0,0,10,10,0
1256,35250453,40,50,0,0,0,10,0
1258,35250454,65,115,0,0,0,10,0
1260,35250455,50,45,10,10,0,15,0
1262,35250456,65,55,10,10,0,10,0
1264,35250457,0,0,0,0,0,0,0
1266,35250458,40,55,0,0,0,0,0
1268,35250459,65,80,10,10,0,0,0
1270,35250460,40,25,0,0,0,0,0
1272,35250461,60,55,0,0,0,0,0
1274,35250462,65,35,10,10,0,0,0
1276,35250463,25,45,0,0,0,10,0
1278,35250464,60,10,0,0,0,0,0
1280,35250465,70,45,10,10,0,10,0
1282,35250466,55,15,10,10,0,0,10
1284,35250467,140,25,0,0,0,0,0
1286,35250468,40,25,0,0,0,10,0
1288,35250471,30,35,0,0,0,0,0
1290,35250472,55,50,0,0,0,0,10
1292,35250473,35,35,0,0,0,10,0
1294,35250474,70,35,0,0,0,10,0
1296,35250475,30,45,10,10,0,0,0
1298,35250476,55,25,10,10,0,10,0
1300,35250477,50,55,0,0,0,0,0
1302,35250478,30,40,0,0,0,0,0
1304,35250479,40,50,0,0,0,0,0
1306,35250480,75,45,0,0,10,10,0
1308,35250481,45,10,0,0,0,0,0
1310,35250482,65,25,0,0,0,0,0
1312,35250483,45,40,0,0,0,0,0
1314,35250484,45,25,0,0,0,0,0
1316,35250485,55,40,0,0,0,0,0
1318,35250486,115,50,10,10,0,10,0
1320,35250487,25,45,0,0,0,0,0
1322,35250488,55,55,0,0,0,0,0
1324,35250489,30,15,0,0,10,15,0
1326,35250490,50,35,0,0,0,20,10
1328,35250491,35,45,0,0,0,0,0
1330,35250492,50,25,0,0,0,10,0
1332,35250493,35,20,10,10,0,10,0
1334,35250494,40,50,0,0,0,10,0
1336,35250495,35,45,0,0,0,10,0
1338,35250496,35,15,10,10,10,0,0
1340,35250497,55,40,0,0,0,25,10
1342,35250498,65,45,0,0,0,10,10
1344,35250499,35,25,0,0,0,15,0
1346,35250501,30,30,0,0,0,35,25
