,geo_code,household_income
355,35250134,37504
356,35250135,37952
357,35250136,31424
358,35250137,40064
359,35250144,52437
360,35250145,49024
361,35250146,55744
362,35250147,45184
363,35250148,47872
364,35250149,45952
365,35250150,41440
366,35250151,50688
367,35250152,49518
368,35250153,50645
369,35250156,46208
370,35250158,60672
371,35250159,61952
372,35250160,56448
373,35250161,64000
374,35250162,53376
375,35250163,59968
376,35250164,36928
377,35250172,41472
378,35250173,49344
379,35250175,35456
380,35250176,37888
381,35250177,35968
382,35250178,35392
383,35250179,39211
384,35250180,36640
385,35250181,33664
386,35250183,0
387,35250184,43648
388,35250185,39104
389,35250186,36000
390,35250188,42624
391,35250189,42176
392,35250190,34048
393,35250191,36032
394,35250192,43008
395,35250193,42560
396,35250194,41088
397,35250196,42176
398,35250197,36992
399,35250199,36934
400,35250200,35200
401,35250201,32192
402,35250202,27664
403,35250203,27328
404,35250204,21696
405,35250205,0
406,35250206,34304
407,35250207,33323
408,35250208,37589
409,35250209,40576
410,35250210,35648
411,35250211,32064
412,35250212,32448
413,35250213,38272
414,35250216,33408
415,35250217,31616
416,35250218,31232
417,35250221,25280
418,35250222,36096
419,35250223,35072
420,35250224,29056
421,35250225,32256
422,35250226,27904
423,35250227,25536
424,35250230,31200
425,35250231,28352
426,35250232,20928
427,35250233,25728
428,35250234,24768
429,35250238,20352
430,35250239,22208
431,35250240,18400
432,35250241,26133
433,35250242,0
434,35250243,26032
435,35250248,30400
436,35250249,24768
437,35250250,40416
438,35250251,28928
439,35250254,33365
440,35250255,35776
441,35250256,36736
442,35250257,26842
443,35250258,35200
444,35250259,34645
445,35250260,26480
446,35250261,22672
447,35250262,32544
448,35250263,34645
449,35250264,38272
450,35250265,39040
451,35250266,30635
452,35250267,37312
453,35250269,40704
454,35250270,36608
455,35250271,34688
456,35250272,26304
457,35250273,29760
458,35250274,31424
459,35250275,29888
460,35250276,31904
461,35250277,30784
462,35250278,38272
463,35250279,29184
464,35250280,29312
465,35250281,26640
466,35250282,32032
467,35250283,29376
468,35250284,28224
469,35250285,34496
470,35250286,32704
471,35250287,39232
472,35250288,30912
473,35250289,32576
474,35250290,32896
475,35250291,31552
476,35250293,32640
477,35250294,38170
478,35250295,38400
479,35250296,44971
480,35250297,33408
481,35250298,37376
482,35250299,41472
483,35250300,44672
484,35250302,41856
485,35250303,31962
486,35250304,33963
487,35250305,35328
488,35250306,32256
489,35250307,28576
490,35250308,37504
491,35250309,33109
492,35250310,38720
493,35250311,35328
494,35250312,35456
495,35250313,41408
496,35250315,36864
497,35250316,43179
498,35250317,45909
499,35250318,0
500,35250319,26816
501,35250320,32896
502,35250321,28736
503,35250322,30784
504,35250323,27392
505,35250324,21973
506,35250326,25280
507,35250327,23232
508,35250328,29184
509,35250329,25632
510,35250330,25248
511,35250331,24256
512,35250332,33067
513,35250333,34389
514,35250334,30784
515,35250335,35243
516,35250336,34688
517,35250337,29264
518,35250338,23168
519,35250339,37856
520,35250340,33152
521,35250341,26688
522,35250342,29472
523,35250343,39424
524,35250344,37632
525,35250345,42624
526,35250346,41088
527,35250347,34816
528,35250348,43392
529,35250349,37760
530,35250350,28416
531,35250351,29760
532,35250352,31136
533,35250353,25312
534,35250354,44693
535,35250355,37696
536,35250356,39552
537,35250357,39936
538,35250358,33888
539,35250359,36032
540,35250360,37333
541,35250361,34432
542,35250362,34688
543,35250363,33728
