index,geo_code,gender,0_4_years,10_14_years,15_19_years,20_24_years,25_29_years,30_34_years,35_39_years,40_44_years,45_49_years,50_54_years,55_59_years,60_64_years,65_69_years,70_74_years,75_79_years,80_84_years,85_89_years,90_94_years,95_99_years,100_years
64,35240349,female,15,15,25,20,10,20,20,10,20,40,30,15,15,5,0,5,0,0,0,0
65,35240349,male,15,20,20,35,20,15,20,15,20,40,25,15,15,10,5,0,0,0,0,0
66,35240350,female,15,20,25,20,25,25,20,25,25,35,25,40,20,15,10,0,0,0,0,0
67,35240350,male,25,15,15,20,25,25,15,25,25,25,25,30,35,10,10,10,0,5,0,0
68,35240351,female,25,30,20,15,20,30,25,25,30,20,20,20,5,5,0,0,0,0,0,0
69,35240351,male,20,25,25,20,20,20,30,30,15,30,15,15,15,5,10,0,0,0,0,0
70,35240352,female,5,5,10,10,5,15,15,5,15,15,10,10,5,5,5,5,0,0,0,0
71,35240352,male,20,5,10,10,5,10,15,10,10,10,10,5,5,10,5,0,0,0,0,0
72,35240353,female,15,25,25,20,15,25,25,25,30,30,20,20,20,5,5,0,5,0,0,0
73,35240353,male,20,25,25,20,15,20,20,25,20,30,15,5,10,5,5,0,5,0,0,0
74,35240354,female,5,5,15,15,10,10,10,15,10,20,20,5,5,5,0,5,5,0,0,0
75,35240354,male,15,5,10,20,15,10,15,15,10,15,20,5,5,5,0,0,0,0,0,0
76,35240355,female,15,20,15,10,10,20,10,15,10,15,25,10,5,0,0,5,0,0,0,0
77,35240355,male,20,15,10,15,15,15,15,20,15,10,15,15,10,5,0,0,0,0,0,0
78,35240356,female,10,30,30,25,20,10,15,15,25,40,25,15,5,10,0,5,0,0,0,0
79,35240356,male,10,20,25,40,10,15,10,15,25,35,25,15,10,5,0,0,0,0,0,0
80,35240357,female,5,10,15,20,10,15,5,10,15,25,20,10,5,10,0,0,0,0,0,0
81,35240357,male,15,15,25,20,15,15,10,5,10,25,20,15,10,5,0,0,0,0,0,0
82,35240358,female,10,25,20,25,10,15,15,20,30,45,45,30,10,5,0,0,5,5,0,0
83,35240358,male,15,20,30,45,20,15,15,15,30,40,50,30,15,10,5,0,0,0,0,0
84,35240359,female,5,15,25,20,10,10,10,15,20,30,35,15,5,10,5,0,0,0,0,0
85,35240359,male,10,20,30,25,10,5,10,15,20,25,30,25,10,5,0,0,0,0,0,0
86,35240363,female,20,15,30,10,10,15,30,20,25,15,30,20,15,5,0,0,0,0,0,0
87,35240363,male,25,20,15,15,20,20,25,20,25,25,25,20,25,10,5,5,0,0,0,0
88,35240364,female,10,5,10,20,5,10,20,15,15,15,25,20,10,5,5,5,0,0,0,0
89,35240364,male,15,20,15,15,15,15,20,15,10,10,20,20,15,10,5,0,0,0,0,0
90,35240365,female,15,10,5,10,10,10,15,15,10,10,25,15,15,0,10,0,0,0,0,0
91,35240365,male,10,10,10,15,10,10,10,15,10,15,15,15,20,5,10,5,0,0,0,0
92,35240366,female,10,15,20,25,15,20,15,5,30,30,25,30,20,20,10,5,0,0,0,0
93,35240366,male,10,15,30,25,10,10,20,5,20,25,25,25,25,15,10,5,0,0,0,0
94,35240367,female,10,30,30,25,15,10,25,25,20,25,25,25,15,10,5,5,0,0,0,0
95,35240367,male,10,20,25,20,10,15,15,25,25,20,25,20,20,10,5,0,0,0,0,0
96,35240368,female,20,20,15,20,10,15,15,15,30,20,30,20,15,10,15,5,5,5,0,0
97,35240368,male,20,15,15,25,15,10,20,20,20,25,30,20,20,10,15,5,5,0,0,0
98,35240369,female,15,15,25,20,25,20,25,30,30,15,25,15,15,15,5,5,0,0,0,0
99,35240369,male,20,25,25,15,15,20,25,30,35,20,20,20,10,15,10,5,5,5,0,0
100,35240370,female,20,15,20,20,15,10,15,15,25,30,25,25,20,15,10,10,5,0,0,0
