,geo_code,In Labour Force (M),Not in Labour Force (M),Employed (M),Unemployed (M)
1627,35250648,240,100,215,20
1629,35250649,170,85,155,15
1631,35250650,140,65,110,25
1633,35250651,120,45,115,0
1635,35250652,210,80,195,15
1637,35250655,480,205,470,0
1639,35250656,75,90,75,10
1641,35250657,180,125,175,10
1643,35250658,75,35,65,10
1645,35250659,170,75,150,20
1647,35250661,350,135,325,25
1649,35250662,480,195,455,25
1651,35250663,190,120,170,15
1653,35250664,135,60,125,10
1655,35250665,165,45,160,0
1657,35250666,115,55,100,10
1659,35250667,35,25,25,10
1661,35250668,115,75,95,20
1663,35250669,80,75,55,20
1665,35250670,100,40,95,0
1667,35250671,75,50,55,15
1669,35250672,55,105,55,0
1671,35250675,145,80,135,15
1673,35250676,145,70,130,20
1675,35250677,140,55,130,15
1677,35250678,165,45,155,0
1679,35250679,140,90,130,10
1681,35250680,120,105,105,10
1683,35250681,255,115,225,30
1685,35250692,115,65,95,20
1687,35250693,70,75,60,15
1689,35250694,85,45,60,25
1691,35250695,75,110,75,0
1693,35250696,60,115,55,10
1695,35250700,135,65,110,25
1697,35250701,95,65,90,10
1699,35250702,160,55,135,25
1701,35250703,115,80,95,10
1703,35250704,150,85,130,25
1705,35250705,165,100,155,10
1707,35250706,165,35,160,10
1709,35250707,100,40,95,10
1711,35250708,190,90,170,20
1713,35250709,120,55,110,10
1715,35250710,140,65,125,15
1717,35250711,105,60,90,10
1719,35250712,150,30,125,25
1721,35250713,95,55,80,15
1723,35250714,110,90,110,0
1725,35250715,155,55,135,20
1727,35250716,190,55,185,10
1729,35250717,155,70,145,10
1731,35250718,140,50,105,35
1733,35250719,110,75,90,25
1735,35250720,160,65,160,10
1737,35250721,160,85,140,20
1739,35250724,145,100,130,15
1741,35250725,140,35,125,15
1743,35250726,155,55,125,25
1745,35250727,80,15,70,10
1747,35250728,165,50,145,20
1749,35250729,145,45,130,15
1751,35250730,130,125,120,15
1753,35250731,155,100,130,25
1755,35250732,115,55,100,15
1757,35250733,185,70,165,20
1759,35250734,160,85,135,25
1761,35250735,120,65,105,10
1763,35250736,160,80,130,30
1765,35250737,135,55,130,0
1767,35250738,135,50,120,15
1769,35250739,165,70,155,15
1771,35250740,165,85,150,15
1773,35250741,165,85,150,15
1775,35250742,180,50,170,10
1777,35250743,170,45,150,20
1779,35250744,180,95,180,0
1781,35250745,110,80,105,0
1783,35250746,85,50,80,10
1785,35250747,125,50,110,15
1787,35250748,125,85,130,0
1789,35250749,115,80,90,20
1791,35250750,175,40,155,20
1793,35250753,135,55,120,15
1795,35250754,120,60,105,20
1797,35250755,135,60,115,20
1799,35250756,170,70,150,20
1801,35250757,180,70,150,30
1803,35250758,90,60,85,0
1805,35250759,125,75,105,10
1807,35250760,115,90,105,10
1809,35250761,120,100,110,10
1811,35250762,135,110,120,15
1813,35250763,185,80,170,15
1815,35250764,95,45,90,10
1817,35250765,110,100,100,10
1819,35250766,125,60,110,10
1821,35250767,115,55,115,10
1823,35250768,105,80,100,10
1825,35250769,125,50,125,0
1827,35250770,100,100,85,15
1829,35250771,160,75,150,10
1831,35250772,105,85,105,0
1833,35250773,155,90,140,10
1835,35250774,80,60,75,10
1837,35250775,125,100,100,25
1839,35250776,90,85,85,10
1841,35250777,135,55,120,20
1843,35250778,115,50,115,0
1845,35250779,90,80,70,15
1847,35250780,125,85,105,15
1849,35250781,155,55,150,0
1851,35250782,95,50,95,0
1853,35250783,140,60,135,0
1855,35250784,115,45,110,10
1857,35250785,145,85,125,20
1859,35250786,145,80,135,0
1861,35250787,210,65,205,0
1863,35250788,165,65,165,0
1865,35250789,155,100,130,20
1867,35250790,155,75,150,10
1869,35250791,145,30,130,20
1871,35250792,135,60,120,10
1873,35250793,110,80,90,20
1875,35250798,90,40,75,15
1877,35250799,110,65,95,15
1879,35250800,105,90,90,15
1881,35250801,160,170,165,0
1883,35250802,130,40,120,10
1885,35250803,130,50,125,10
1887,35250804,705,225,660,50
1889,35250805,375,135,340,30
1891,35250806,155,45,145,15
1893,35250807,315,95,305,15
