,geo_code,1 child,2 children,3 or more children
1146,35260319,10,5,0
1147,35260320,15,10,5
1148,35260321,25,10,0
1149,35260322,15,10,0
1150,35260323,20,5,0
1151,35260324,15,15,5
1152,35260325,15,0,0
1153,35260326,10,5,5
1154,35260327,5,5,5
1155,35260328,5,5,0
1156,35260330,20,15,5
1157,35260332,5,5,5
1158,35260333,10,5,0
1159,35260334,10,5,0
1160,35260335,35,30,10
1161,35260336,30,20,5
1162,35260337,10,5,5
1163,35260338,45,30,10
1164,35260339,30,15,5
1165,35260340,15,5,0
1166,35260341,20,10,0
1167,35260342,10,0,5
1168,35260734,25,15,10
1169,35260828,15,10,0
1170,35260829,10,15,0
1171,35260830,5,10,0
1172,35260831,0,5,0
1173,35260832,10,10,5
1174,35260833,10,5,0
