,geo_code,English Only (F),French Only (F),Neither English nor French (F)
598,35250066,165,0,0
600,35250067,265,5,0
602,35250070,285,5,10
604,35250073,165,5,0
606,35250074,90,0,5
608,35250075,135,0,5
610,35250077,175,0,15
612,35250078,115,0,5
614,35250079,105,5,5
616,35250080,230,5,10
618,35250081,390,10,5
620,35250082,60,5,5
622,35250083,220,15,20
624,35250084,110,5,5
626,35250085,110,0,5
628,35250086,235,0,10
630,35250087,190,0,5
632,35250088,205,0,5
634,35250089,265,10,5
636,35250093,175,15,10
638,35250094,130,0,0
640,35250095,135,0,5
642,35250096,195,0,10
644,35250097,125,5,0
646,35250098,55,5,5
648,35250099,340,0,0
650,35250100,210,0,5
652,35250101,175,5,0
654,35250102,120,0,0
656,35250105,225,0,0
658,35250106,210,5,5
660,35250107,215,5,0
662,35250108,215,0,5
664,35250109,290,0,5
666,35250110,200,0,10
668,35250111,255,10,10
670,35250112,160,5,5
672,35250113,105,0,0
674,35250114,140,0,5
676,35250115,550,15,15
678,35250116,245,5,5
680,35250117,95,0,0
682,35250118,150,5,0
684,35250119,210,5,0
686,35250120,150,0,5
688,35250121,205,0,0
690,35250122,130,5,10
692,35250123,105,5,5
694,35250124,195,5,0
696,35250125,130,0,0
698,35250126,180,5,10
700,35250127,470,0,25
702,35250128,140,0,5
704,35250129,115,0,10
706,35250130,100,0,5
708,35250133,200,10,0
710,35250134,280,10,5
712,35250135,470,0,30
714,35250136,130,5,0
716,35250137,155,0,0
718,35250144,600,0,10
720,35250145,140,0,0
722,35250146,330,5,0
724,35250147,215,0,0
726,35250148,170,10,0
728,35250149,220,0,0
730,35250150,205,5,0
732,35250151,190,5,0
734,35250152,635,5,0
736,35250153,235,0,5
738,35250156,165,5,0
740,35250158,215,0,0
742,35250159,185,5,5
744,35250160,155,5,5
746,35250161,270,0,5
748,35250162,165,0,0
750,35250163,240,5,0
752,35250164,245,5,5
754,35250172,225,5,5
756,35250173,535,5,10
758,35250175,520,20,15
760,35250176,250,5,10
762,35250177,260,0,10
764,35250178,185,0,5
766,35250179,215,10,0
768,35250180,455,5,35
770,35250181,140,0,0
772,35250183,95,0,0
774,35250184,160,0,0
776,35250185,285,10,5
778,35250186,130,0,0
780,35250188,275,10,0
782,35250189,230,0,5
784,35250190,180,5,0
786,35250191,295,0,0
788,35250192,430,10,25
790,35250193,135,0,5
792,35250194,180,0,0
794,35250196,220,5,0
796,35250197,190,0,0
798,35250199,1015,15,35
800,35250200,170,0,5
802,35250201,60,0,0
804,35250202,365,15,15
806,35250203,385,10,10
808,35250204,285,10,20
810,35250205,90,0,0
812,35250206,165,0,10
814,35250207,115,5,5
816,35250208,130,0,5
818,35250209,120,5,0
820,35250210,130,5,10
822,35250211,125,5,5
824,35250212,170,5,10
826,35250213,100,5,10
828,35250216,135,0,10
830,35250217,270,10,10
832,35250218,165,10,15
834,35250221,190,5,10
836,35250222,170,0,15
838,35250223,120,0,5
840,35250224,130,5,5
842,35250225,90,0,5
844,35250226,200,0,5
846,35250227,200,0,10
848,35250230,170,0,5
850,35250231,150,5,35
852,35250232,315,15,15
854,35250233,70,0,30
856,35250234,115,0,15
858,35250238,200,0,30
860,35250239,100,5,10
862,35250240,145,0,40
864,35250241,50,0,5
866,35250242,0,0,0
868,35250243,425,5,25
870,35250248,210,5,25
872,35250249,185,5,0
874,35250250,195,0,0
876,35250251,165,0,5
878,35250254,245,10,10
880,35250255,200,0,5
882,35250256,325,5,0
884,35250257,255,5,0
886,35250258,340,5,0
888,35250259,200,0,5
890,35250260,230,10,5
892,35250261,155,5,10
894,35250262,175,0,10
896,35250263,175,5,20
898,35250264,90,5,5
900,35250265,130,0,5
902,35250266,90,0,10
904,35250267,205,5,0
906,35250269,80,0,0
908,35250270,90,5,5
910,35250271,105,0,5
912,35250272,195,0,0
914,35250273,110,5,5
916,35250274,410,0,5
918,35250275,150,0,10
920,35250276,190,0,5
922,35250277,165,5,5
924,35250278,175,0,5
926,35250279,145,0,25
928,35250280,100,5,5
930,35250281,180,5,10
932,35250282,170,0,15
934,35250283,170,0,15
936,35250284,100,0,15
938,35250285,205,5,15
940,35250286,85,0,5
942,35250287,165,0,15
944,35250288,135,0,5
946,35250289,190,0,20
948,35250290,185,0,10
950,35250291,250,0,30
952,35250293,300,5,20
954,35250294,155,5,5
956,35250295,120,5,0
958,35250296,130,5,5
960,35250297,145,0,15
962,35250298,130,0,10
964,35250299,170,0,5
966,35250300,250,5,5
968,35250302,130,0,0
970,35250303,125,5,10
972,35250304,145,5,10
974,35250305,170,5,10
976,35250306,110,5,10
978,35250307,220,10,0
980,35250308,300,5,10
982,35250309,85,0,10
984,35250310,105,0,0
986,35250311,175,5,5
988,35250312,115,0,5
990,35250313,290,5,0
992,35250315,330,10,0
994,35250316,260,10,5
996,35250317,195,15,0
998,35250318,40,0,0
1000,35250319,145,0,0
1002,35250320,150,0,15
1004,35250321,135,0,0
1006,35250322,165,0,5
1008,35250323,205,15,10
1010,35250324,390,10,10
1012,35250326,175,0,0
1014,35250327,300,0,10
1016,35250328,140,5,5
1018,35250329,185,5,10
1020,35250330,155,10,10
1022,35250331,175,10,10
1024,35250332,225,5,10
1026,35250333,240,0,5
1028,35250334,200,0,0
1030,35250335,160,0,5
1032,35250336,195,0,0
1034,35250337,335,5,10
1036,35250338,325,10,5
1038,35250339,220,0,5
1040,35250340,105,5,0
1042,35250341,270,10,5
1044,35250342,230,5,5
1046,35250343,175,0,5
1048,35250344,195,0,0
1050,35250345,175,0,5
1052,35250346,200,0,5
1054,35250347,185,5,0
1056,35250348,215,5,5
1058,35250349,225,5,0
1060,35250350,250,5,10
1062,35250351,185,5,0
1064,35250352,235,5,0
1066,35250353,245,10,10
1068,35250354,240,5,0
1070,35250355,235,5,5
1072,35250356,250,0,0
1074,35250357,220,0,0
1076,35250358,245,0,5
1078,35250359,200,5,5
1080,35250360,215,0,0
1082,35250361,210,0,5
1084,35250362,205,5,0
1086,35250363,170,5,5
1088,35250364,100,0,0
1090,35250365,425,10,0
1092,35250366,300,5,15
1094,35250367,210,5,0
1096,35250368,220,5,0
1098,35250369,220,5,5
1100,35250370,165,0,5
1102,35250371,205,0,5
1104,35250372,215,0,5
1106,35250373,175,5,0
1108,35250374,215,0,5
1110,35250375,220,5,0
1112,35250376,205,0,0
1114,35250377,205,5,0
1116,35250378,200,5,0
1118,35250379,175,5,0
1120,35250380,220,0,0
1122,35250381,200,0,5
1124,35250382,205,5,0
1126,35250383,195,0,20
1128,35250384,140,5,5
1130,35250385,195,5,5
1132,35250387,190,0,5
1134,35250388,235,0,0
1136,35250389,170,5,0
1138,35250390,225,5,5
1140,35250391,235,5,0
1142,35250392,220,0,0
1144,35250393,170,5,0
1146,35250394,225,5,10
1148,35250395,210,0,15
1150,35250396,155,5,10
1152,35250397,190,5,5
1154,35250398,60,0,0
1156,35250399,190,10,30
1158,35250400,225,5,5
1160,35250401,200,10,5
1162,35250402,205,0,0
1164,35250403,295,5,0
1166,35250404,185,15,0
1168,35250405,190,5,5
1170,35250406,275,5,0
1172,35250407,210,0,0
1174,35250408,165,10,5
1176,35250409,125,0,5
1178,35250410,185,5,0
1180,35250411,185,0,10
1182,35250412,195,10,45
1184,35250413,165,5,25
1186,35250416,140,0,25
1188,35250417,130,10,10
1190,35250418,130,0,25
1192,35250419,195,10,20
1194,35250420,265,10,10
1196,35250421,215,5,5
1198,35250422,210,10,20
1200,35250423,225,10,5
1202,35250424,210,5,0
1204,35250425,305,5,10
1206,35250426,210,0,0
1208,35250427,125,5,5
1210,35250428,145,5,20
1212,35250429,90,5,5
1214,35250430,175,5,0
1216,35250431,180,5,5
1218,35250434,375,5,60
1220,35250435,145,5,20
1222,35250436,185,5,5
1224,35250437,185,5,0
1226,35250438,100,5,5
1228,35250439,175,10,10
1230,35250440,195,10,5
1232,35250441,205,0,0
1234,35250442,255,5,0
1236,35250443,175,0,0
1238,35250444,240,5,0
1240,35250445,175,5,5
1242,35250446,210,5,0
1244,35250447,135,0,0
1246,35250448,265,5,15
1248,35250449,145,5,5
1250,35250450,175,5,0
1252,35250451,110,0,0
1254,35250452,135,5,0
1256,35250453,170,0,10
1258,35250454,205,10,10
1260,35250455,165,0,0
1262,35250456,225,10,10
1264,35250457,0,0,0
1266,35250458,150,0,15
1268,35250459,230,5,15
1270,35250460,115,0,10
1272,35250461,150,5,15
1274,35250462,120,0,10
1276,35250463,140,5,5
1278,35250464,125,5,15
1280,35250465,170,5,20
1282,35250466,130,0,0
1284,35250467,200,5,60
1286,35250468,110,0,0
1288,35250471,80,0,25
1290,35250472,125,5,15
1292,35250473,75,0,10
1294,35250474,205,5,20
1296,35250475,155,5,10
1298,35250476,115,5,10
1300,35250477,140,5,20
1302,35250478,135,0,10
1304,35250479,185,5,20
1306,35250480,165,5,20
1308,35250481,140,0,5
1310,35250482,190,5,0
1312,35250483,190,10,10
1314,35250484,170,5,0
1316,35250485,180,5,20
1318,35250486,225,5,15
1320,35250487,140,0,5
1322,35250488,165,5,15
1324,35250489,115,0,15
1326,35250490,135,0,15
1328,35250491,105,5,5
1330,35250492,125,5,5
1332,35250493,150,5,5
1334,35250494,125,5,5
1336,35250495,185,0,5
1338,35250496,95,0,0
1340,35250497,190,0,30
1342,35250498,145,5,20
1344,35250499,195,0,15
1346,35250501,215,0,5
1348,35250502,190,5,0
1350,35250503,165,5,0
1352,35250504,100,0,10
1354,35250506,210,5,5
1356,35250507,195,5,0
1358,35250508,225,5,0
1360,35250509,250,5,0
1362,35250510,260,5,0
1364,35250511,330,0,5
1366,35250512,205,5,0
1368,35250513,240,5,0
1370,35250514,375,0,0
1372,35250515,145,5,10
1374,35250516,285,0,5
1376,35250517,145,0,0
1378,35250518,135,5,0
1380,35250519,225,0,10
1382,35250520,255,0,0
1384,35250521,170,0,5
1386,35250522,80,5,0
1388,35250523,150,0,5
1390,35250524,150,0,0
1392,35250525,120,0,10
1394,35250526,420,5,40
1396,35250527,150,0,10
1398,35250528,130,5,5
1400,35250529,170,5,10
1402,35250530,180,0,5
1404,35250531,170,0,5
1406,35250532,150,10,5
1408,35250533,265,5,20
1410,35250534,205,0,5
1412,35250535,210,10,10
1414,35250536,170,15,0
1416,35250537,240,5,5
1418,35250538,230,0,0
1420,35250539,235,5,5
1422,35250540,225,5,5
1424,35250541,195,5,10
1426,35250542,155,0,5
1428,35250545,125,5,10
1430,35250546,145,0,5
1432,35250547,130,0,5
1434,35250548,205,0,40
1436,35250549,215,5,5
1438,35250550,205,0,0
1440,35250551,180,0,10
1442,35250552,180,0,5
1444,35250553,195,5,15
1446,35250554,220,0,5
1448,35250555,185,0,10
1450,35250556,225,10,0
1452,35250557,335,5,0
1454,35250558,200,5,0
1456,35250559,210,0,5
1458,35250560,255,10,0
1460,35250561,145,5,0
1462,35250562,215,0,5
1464,35250563,245,5,10
1466,35250564,220,0,5
1468,35250565,290,0,0
1470,35250566,200,5,0
1472,35250567,205,5,10
1474,35250568,270,5,5
1476,35250569,130,5,0
1478,35250570,170,5,10
1480,35250571,205,10,0
1482,35250572,205,5,5
1484,35250573,365,5,15
1486,35250574,130,5,5
1488,35250578,315,5,15
1490,35250579,155,5,5
1492,35250580,145,5,0
1494,35250581,280,5,5
1496,35250582,235,5,0
1498,35250583,235,5,0
1500,35250585,200,5,5
1502,35250586,480,5,15
1504,35250587,130,5,5
1506,35250588,145,5,15
1508,35250589,215,0,10
1510,35250590,150,0,5
1512,35250591,270,0,5
1514,35250592,210,0,10
1516,35250593,140,0,10
1518,35250594,225,5,5
1520,35250595,175,5,5
1522,35250596,215,5,5
1524,35250597,130,0,5
1526,35250598,160,0,5
1528,35250599,230,10,5
1530,35250600,145,5,5
1532,35250601,305,0,15
1534,35250602,225,0,0
1536,35250603,265,5,0
1538,35250604,200,5,0
1540,35250605,195,5,5
1542,35250606,200,5,5
1544,35250607,175,0,5
1546,35250608,180,5,5
1548,35250609,215,0,5
1550,35250610,205,15,0
1552,35250611,160,0,5
1554,35250612,310,0,5
1556,35250613,420,5,10
1558,35250614,130,5,5
1560,35250615,150,5,0
1562,35250616,100,5,10
1564,35250617,140,0,5
1566,35250618,60,0,5
1568,35250619,155,0,5
1570,35250620,150,0,5
1572,35250621,290,5,10
1574,35250622,175,0,5
1576,35250623,135,0,5
1578,35250624,185,5,5
1580,35250625,140,0,10
1582,35250626,185,0,10
1584,35250627,130,0,20
1586,35250628,175,0,15
1588,35250629,320,5,25
1590,35250630,145,0,5
1592,35250631,195,5,0
1594,35250632,220,5,25
1596,35250633,85,0,5
1598,35250634,300,10,10
1600,35250635,150,5,5
1602,35250636,270,5,25
1604,35250637,365,10,20
1606,35250638,80,5,10
1608,35250639,240,5,10
1610,35250640,175,5,5
1612,35250641,155,5,5
1614,35250642,215,5,15
1616,35250643,190,5,5
1618,35250644,115,0,5
1620,35250645,220,5,10
1622,35250646,280,0,10
1624,35250647,255,5,15
1626,35250648,355,5,5
1628,35250649,240,0,5
1630,35250650,195,5,10
1632,35250651,100,0,5
1634,35250652,240,5,10
1636,35250655,480,10,40
1638,35250656,245,5,10
1640,35250657,165,5,10
1642,35250658,100,0,5
1644,35250659,225,5,10
1646,35250661,370,10,20
1648,35250662,540,5,20
1650,35250663,245,10,10
1652,35250664,175,5,5
1654,35250665,205,0,5
1656,35250666,200,5,0
1658,35250667,85,0,0
1660,35250668,105,0,5
1662,35250669,115,0,0
1664,35250670,100,5,5
1666,35250671,115,0,0
1668,35250672,105,0,0
1670,35250675,135,0,0
1672,35250676,125,0,0
1674,35250677,205,5,0
1676,35250678,190,10,0
1678,35250679,155,0,0
1680,35250680,125,5,0
1682,35250681,290,5,5
1684,35250692,200,10,0
1686,35250693,130,0,10
1688,35250694,180,0,5
1690,35250695,120,5,55
1692,35250696,145,5,10
1694,35250700,190,0,5
1696,35250701,200,0,15
1698,35250702,175,10,10
1700,35250703,170,0,10
1702,35250704,255,5,5
1704,35250705,190,0,10
1706,35250706,195,0,0
1708,35250707,200,0,0
1710,35250708,280,10,10
1712,35250709,225,5,5
1714,35250710,205,5,0
1716,35250711,155,0,0
1718,35250712,170,5,0
1720,35250713,150,5,5
1722,35250714,205,5,5
1724,35250715,210,5,5
1726,35250716,235,5,0
1728,35250717,200,0,10
1730,35250718,170,0,5
1732,35250719,155,0,0
1734,35250720,220,5,5
1736,35250721,225,5,0
1738,35250724,190,5,5
1740,35250725,175,0,5
1742,35250726,245,5,0
1744,35250727,120,5,0
1746,35250728,210,10,0
1748,35250729,180,5,0
1750,35250730,280,10,5
1752,35250731,265,10,10
1754,35250732,200,0,0
1756,35250733,275,0,0
1758,35250734,235,0,0
1760,35250735,205,5,0
1762,35250736,220,0,5
1764,35250737,210,0,0
1766,35250738,240,5,0
1768,35250739,240,5,0
1770,35250740,235,5,0
1772,35250741,210,0,0
1774,35250742,230,0,0
1776,35250743,170,5,5
1778,35250744,285,5,0
1780,35250745,180,5,5
1782,35250746,165,5,0
1784,35250747,160,5,0
1786,35250748,175,0,5
1788,35250749,185,5,5
1790,35250750,215,10,5
1792,35250753,190,5,5
1794,35250754,190,0,0
1796,35250755,170,10,0
1798,35250756,195,5,5
1800,35250757,195,5,0
1802,35250758,180,5,10
1804,35250759,210,5,0
1806,35250760,195,10,10
1808,35250761,220,0,0
1810,35250762,230,5,0
1812,35250763,205,5,0
1814,35250764,185,5,0
1816,35250765,220,10,5
1818,35250766,225,5,0
1820,35250767,200,0,5
1822,35250768,225,0,5
1824,35250769,195,0,5
1826,35250770,205,5,20
1828,35250771,185,5,5
1830,35250772,185,0,5
1832,35250773,230,5,5
1834,35250774,200,5,0
1836,35250775,210,5,0
1838,35250776,165,5,0
1840,35250777,200,0,0
1842,35250778,200,0,5
1844,35250779,155,5,0
1846,35250780,210,0,5
1848,35250781,180,5,5
1850,35250782,195,5,0
1852,35250783,230,0,0
1854,35250784,215,5,0
1856,35250785,230,5,5
1858,35250786,195,10,0
1860,35250787,320,5,0
1862,35250788,220,0,0
1864,35250789,240,5,0
1866,35250790,245,10,0
1868,35250791,190,0,0
1870,35250792,250,5,0
1872,35250793,230,0,0
1874,35250798,105,0,5
1876,35250799,185,0,10
1878,35250800,170,5,15
1880,35250801,335,15,10
1882,35250802,180,5,10
1884,35250803,130,10,5
1886,35250804,765,15,20
1888,35250805,395,10,20
1890,35250806,165,5,5
1892,35250807,395,0,15
1894,35250810,340,5,0
1896,35250812,175,0,0
1898,35250813,230,5,0
1900,35250814,210,0,0
1902,35250815,640,15,5
1904,35250826,385,10,0
1906,35250827,140,0,5
1908,35250828,165,0,0
1910,35250829,205,5,0
1912,35250830,235,10,5
1914,35250831,550,15,5
1916,35250832,140,5,0
1918,35250833,160,0,0
1920,35250834,185,0,0
1922,35250835,210,0,0
1924,35250836,190,0,0
1926,35250843,385,10,15
1928,35250845,625,10,60
1930,35250846,380,30,40
1932,35250847,170,5,20
1934,35250848,445,10,35
1936,35250849,355,10,15
1938,35250850,365,5,10
1940,35250851,515,30,95
1942,35250852,590,20,40
1944,35250853,225,5,120
1946,35250854,215,5,35
1948,35250855,185,10,50
1950,35250857,195,0,0
1952,35250859,315,5,10
1954,35250860,635,10,45
1956,35250861,135,0,10
1958,35250862,235,5,0
1960,35250863,175,5,5
1962,35250864,225,10,0
1964,35250865,260,10,0
1966,35250866,240,10,0
1968,35250867,235,0,0
1970,35250868,185,5,0
1972,35250869,235,0,5
1974,35250870,345,5,0
1976,35250871,230,5,0
1978,35250872,285,0,5
1980,35250873,295,0,0
1982,35250874,295,5,5
1984,35250875,320,0,0
1986,35250876,185,0,0
1988,35250877,215,10,0
1990,35250878,235,0,0
1992,35250879,305,5,0
1994,35250880,235,0,5
1996,35250881,315,5,0
1998,35250882,390,0,0
2000,35250883,265,5,0
2002,35250884,265,5,0
2004,35250885,235,5,0
2006,35250886,250,5,0
2008,35250887,335,0,5
2010,35250888,250,0,0
2012,35250889,245,10,0
2014,35250890,195,0,0
2016,35250891,215,5,0
2018,35250892,1140,10,0
2020,35250893,250,0,0
2022,35250894,215,5,0
2024,35250895,270,0,0
2026,35250896,225,5,0
2028,35250897,275,0,0
2030,35250898,220,0,0
2032,35250899,210,0,5
2034,35250900,175,0,0
2036,35250901,240,0,10
2038,35250902,205,5,0
2040,35250903,270,0,0
2042,35250904,280,5,0
2044,35250905,265,5,0
2046,35250906,255,5,0
2048,35250907,205,5,0
2050,35250908,210,5,0
2052,35250909,525,10,30
2054,35250910,455,5,15
2056,35250911,240,0,5
2058,35250912,215,10,10
2060,35250913,225,10,15
2062,35250914,165,10,0
2064,35250918,935,15,5
2066,35250919,295,5,0
2068,35250920,510,10,10
2070,35250921,305,10,0
2072,35250922,290,0,5
2074,35250923,180,5,0
2076,35250924,165,5,0
2078,35250925,265,0,0
2080,35250928,205,0,0
2082,35250929,275,5,0
2084,35250930,285,0,0
2086,35250931,260,5,0
2088,35250932,195,5,5
2090,35250933,210,5,0
2092,35250934,170,5,0
2094,35250935,470,15,0
2096,35250936,200,5,0
2098,35250937,385,5,5
2100,35250938,315,5,5
2102,35250939,265,0,0
2104,35250940,210,0,0
2106,35250941,315,0,5
2108,35250942,200,0,0
2110,35250943,400,5,5
2112,35250944,230,5,0
2114,35250945,300,0,0
2116,35250946,210,5,0
2118,35250947,330,5,0
2120,35250948,445,10,15
2122,35250949,200,0,0
2124,35250950,205,0,0
2126,35250951,250,10,0
2128,35250952,890,10,5
2130,35250953,130,0,5
2132,35250954,150,5,15
2134,35250955,130,10,20
2136,35250956,220,10,15
2138,35250957,205,5,5
2140,35250958,190,5,5
2142,35250959,185,5,0
2144,35250960,180,0,5
2146,35250961,170,5,20
2148,35250962,170,0,15
2150,35250963,1020,25,10
2152,35250964,225,0,5
2154,35250965,135,0,5
2156,35250966,0,0,0
2158,35250967,185,0,0
2160,35250968,165,0,5
2162,35250969,175,0,5
2164,35250970,135,5,10
2166,35250971,140,0,0
2168,35250972,150,5,5
2170,35250973,170,5,5
2172,35250974,140,0,10
2174,35250975,165,0,0
2176,35250976,115,5,0
2178,35250978,995,15,10
2180,35250980,145,0,0
2182,35250981,770,20,25
2184,35250982,155,5,0
2186,35250983,185,0,0
2188,35250985,460,0,5
2190,35250986,570,5,0
2192,35250987,340,0,5
2194,35250988,325,5,20
2196,35250989,335,5,25
2198,35250990,220,5,10
2200,35250991,235,0,10
2202,35250992,145,0,5
2204,35250993,60,0,0
2206,35250994,345,10,5
2208,35250995,660,10,35
2210,35250996,480,5,5
2212,35250997,520,5,5
2214,35250998,240,5,0
