,geo_code,median total income of couple economic families with children in 2015 ($),average family size of couple economic families with children
1058,35250946,188928,4.2
1059,35250947,159232,3.9
1060,35250948,139776,4.2
1061,35250949,157696,3.8
1062,35250950,154112,3.8
1063,35250951,169472,4.0
1064,35250952,130176,3.9
1065,35250953,63872,3.9
1066,35250954,65792,4.9
1067,35250955,41856,4.9
1068,35250956,0,3.5
1069,35250957,84224,4.4
1070,35250958,97536,4.4
1071,35250959,84992,3.7
1072,35250960,77056,4.2
1073,35250961,76544,4.3
1074,35250962,72960,3.9
1075,35250963,59520,3.7
1076,35250964,111616,3.6
1077,35250965,102400,3.9
1078,35250966,F,F
1079,35250967,144896,4.3
1080,35250968,83200,3.9
1081,35250969,103808,3.9
1082,35250970,63488,3.8
1083,35250971,137728,4.3
1084,35250972,110336,4.2
1085,35250973,122624,4.1
1086,35250974,123648,4.1
1087,35250975,148992,4.5
1088,35250976,137728,4.5
1089,35250978,124672,4.2
1090,35250980,117888,4.4
1091,35250981,138368,4.4
1092,35250982,0,4.0
1093,35250983,125312,3.9
1094,35250985,149632,4.1
1095,35250986,193024,4.1
1096,35250987,109696,3.9
1097,35250988,103168,4.4
1098,35250989,99840,4.5
1099,35250990,70400,4.3
1100,35250991,107776,4.2
1101,35250992,147712,4.0
1102,35250993,x,3.4
1103,35250994,137728,4.1
1104,35250995,62336,4.1
1105,35250996,133291,4.0
1106,35250997,128000,3.8
1107,35250998,157184,3.9
1108,35250999,202496,4.2
1109,35251000,153600,4.3
1110,35251001,130432,4.1
1111,35251002,111616,4.2
1112,35251003,134656,4.1
1113,35251004,134912,3.8
1114,35251005,175360,3.9
1115,35251006,189440,4.0
1116,35251007,148480,4.0
1117,35251008,138240,3.9
1118,35251009,132864,4.0
1119,35251010,143872,4.0
1120,35251011,159232,4.2
1121,35251012,138496,4.4
1122,35251013,145920,4.2
1123,35251014,130048,4.2
1124,35251015,142336,4.0
1125,35251016,130688,4.3
1126,35251017,135680,4.1
1127,35251018,113408,4.3
1128,35251019,155648,3.9
1129,35251020,132096,4.0
1130,35251021,134656,4.1
1131,35251022,134912,4.1
1132,35251023,131072,4.2
1133,35251024,119552,4.0
1134,35251025,53696,4.2
1135,35251026,105344,3.8
1136,35260307,145579,3.9
1137,35260309,138112,4.1
1138,35260310,108800,4.0
1139,35260311,169472,4.0
1140,35260313,140288,3.8
1141,35260314,148992,3.9
1142,35260315,116480,4.0
1143,35260316,109824,4.1
1144,35260317,124672,4.0
1145,35260318,133632,4.2
1146,35260319,138752,4.1
1147,35260320,112384,4.2
1148,35260321,88832,3.5
1149,35260322,127744,3.7
1150,35260323,127488,4.0
1151,35260324,139776,3.9
1152,35260325,76544,3.4
1153,35260326,130304,4.1
1154,35260327,170496,3.8
1155,35260328,156160,4.0
1156,35260330,129792,4.2
1157,35260332,146432,3.7
1158,35260333,125696,4.4
1159,35260334,152064,4.2
1160,35260335,135936,3.9
1161,35260336,150016,3.9
1162,35260337,138752,3.9
1163,35260338,122283,3.9
1164,35260339,125696,3.9
1165,35260340,129664,3.9
1166,35260341,129792,3.9
1167,35260342,133632,4.1
1168,35260734,140800,3.9
1169,35260828,104960,3.8
1170,35260829,118528,3.8
1171,35260830,170496,4.0
1172,35260831,144384,3.9
1173,35260832,146816,4.1
1174,35260833,171520,4.1
