,geo_code,median total income of couple economic families with children in 2015 ($),average family size of couple economic families with children
243,35240678,114944,3.8
244,35240679,124416,4.0
245,35240680,104192,3.7
246,35240681,123136,3.9
247,35240682,119040,4.0
248,35240683,160768,4.0
249,35240684,0,3.3
250,35240685,143360,3.9
251,35240686,181760,4.0
252,35240756,145152,4.1
253,35240757,159744,4.0
254,35240758,189952,4.1
255,35240759,225792,4.1
256,35240780,178688,4.1
257,35240782,126464,3.9
258,35240783,295936,4.0
259,35240785,208640,4.0
260,35240807,126720,3.6
261,35240808,92928,3.5
262,35240809,x,3.0
263,35240898,135534,4.0
264,35240903,x,x
265,35240904,137216,3.8
266,35250030,121600,4.1
267,35250031,143360,3.8
268,35250032,148992,4.0
269,35250033,173568,4.0
270,35250034,116992,3.9
271,35250035,128000,3.6
272,35250036,151040,3.9
273,35250037,170496,4.0
274,35250038,158208,3.8
275,35250039,0,3.7
276,35250040,70912,4.1
277,35250041,90880,3.2
278,35250042,x,3.6
279,35250043,140288,3.6
280,35250044,135424,4.0
281,35250045,69376,3.7
282,35250046,148480,3.9
283,35250047,152064,3.9
284,35250048,178688,4.0
285,35250049,152064,4.1
286,35250050,143872,3.8
287,35250051,164224,4.0
288,35250052,124672,3.6
289,35250053,192000,3.8
290,35250054,128768,4.2
291,35250055,130816,3.8
292,35250056,x,4.1
293,35250059,165376,4.0
294,35250060,134144,3.9
295,35250061,152320,3.9
296,35250062,209408,4.0
297,35250064,169216,3.8
298,35250065,177152,4.0
299,35250066,172032,4.0
300,35250067,153344,4.2
301,35250070,117504,3.9
302,35250073,126635,3.9
303,35250074,122112,3.8
304,35250075,134315,3.9
305,35250077,105216,4.4
306,35250078,129536,3.8
307,35250079,124160,3.4
308,35250080,85248,4.2
309,35250081,86784,4.1
310,35250082,x,3.4
311,35250083,85248,5.0
312,35250084,96000,3.8
313,35250085,117504,4.2
314,35250086,108800,4.0
315,35250087,97920,3.9
316,35250088,120064,3.9
317,35250089,71936,3.7
318,35250093,105216,4.1
319,35250094,79104,4.4
320,35250095,127232,3.9
321,35250096,93440,3.9
