,geo_code,1 to 4 rooms,5 rooms,6 rooms,7 rooms,8 or more rooms
197,35240541,0,10,15,30,90
198,35240542,50,45,55,35,60
199,35240543,15,20,25,55,100
200,35240544,20,40,25,25,75
201,35240545,10,0,30,65,235
202,35240546,120,110,35,15,35
203,35240590,325,125,40,25,70
204,35240591,275,115,65,15,60
205,35240592,540,175,110,50,20
206,35240593,25,80,85,65,235
207,35240594,25,30,55,75,105
208,35240595,185,70,110,55,105
209,35240596,385,275,110,15,35
210,35240598,775,300,150,35,35
211,35240641,0,15,20,30,110
212,35240642,0,0,25,20,115
213,35240643,0,10,45,30,140
214,35240644,0,10,20,20,130
215,35240645,0,10,20,20,100
216,35240647,50,25,20,20,120
217,35240648,60,60,115,60,40
218,35240649,15,15,60,60,75
219,35240650,0,10,35,30,170
220,35240651,10,30,15,45,95
221,35240654,0,0,10,25,135
222,35240655,15,40,55,90,290
223,35240656,0,0,0,10,115
224,35240659,105,110,80,35,50
225,35240660,10,40,85,65,40
226,35240661,0,0,25,40,85
227,35240662,310,215,160,155,105
228,35240663,0,10,30,20,120
229,35240664,25,20,10,35,125
230,35240665,10,10,10,25,105
231,35240666,230,100,25,15,90
232,35240667,0,10,45,20,145
233,35240668,0,20,55,50,40
234,35240669,0,40,85,75,115
235,35240670,20,10,55,75,65
236,35240671,15,35,45,50,70
237,35240672,0,30,50,65,105
238,35240673,10,25,65,30,20
239,35240674,0,20,45,30,150
240,35240675,15,20,75,60,185
241,35240676,145,45,50,40,95
242,35240677,10,10,30,30,60
243,35240678,280,230,120,35,35
244,35240679,35,60,110,20,25
245,35240680,285,130,60,40,30
246,35240681,100,40,65,35,0
247,35240682,10,65,60,80,60
248,35240683,0,25,50,55,110
249,35240684,320,75,15,0,0
250,35240685,75,50,65,100,130
251,35240686,10,20,55,55,205
252,35240756,25,25,25,55,85
253,35240757,0,15,40,45,95
254,35240758,10,45,75,50,165
255,35240759,0,25,35,55,100
256,35240780,0,30,70,80,200
257,35240782,30,35,60,65,80
258,35240783,0,15,15,10,95
259,35240785,10,30,45,10,190
260,35240807,150,90,70,35,95
261,35240808,275,175,85,20,10
262,35240809,10,0,10,0,10
263,35240898,45,185,245,155,330
264,35240903,x,x,x,x,x
265,35240904,60,115,100,105,185
266,35250030,0,25,25,30,65
267,35250031,20,10,40,25,70
268,35250032,35,15,45,30,115
269,35250033,10,0,0,35,150
270,35250034,45,10,35,70,125
271,35250035,30,30,35,35,40
272,35250036,40,30,15,30,120
273,35250037,80,55,10,25,75
274,35250038,175,130,55,45,15
275,35250039,220,50,15,0,10
276,35250040,110,30,15,40,30
277,35250041,120,45,20,30,35
278,35250042,30,30,15,10,15
279,35250043,50,15,45,55,110
280,35250044,10,15,15,40,90
281,35250045,155,45,20,10,10
282,35250046,20,0,10,40,115
283,35250047,45,15,30,45,120
284,35250048,0,0,0,30,70
285,35250049,0,20,25,30,75
286,35250050,0,0,30,30,105
287,35250051,45,45,60,105,280
288,35250052,0,0,10,40,75
289,35250053,10,10,25,40,185
290,35250054,10,10,20,20,80
291,35250055,25,25,55,65,125
292,35250056,0,0,0,0,60
293,35250059,30,70,45,75,170
294,35250060,15,10,45,55,135
295,35250061,0,20,10,15,100
296,35250062,25,20,20,45,105
297,35250064,15,30,35,20,200
298,35250065,10,0,10,10,150
299,35250066,0,15,15,15,105
300,35250067,0,10,20,20,145
301,35250070,0,20,30,35,100
302,35250073,0,10,45,45,65
303,35250074,0,0,15,20,65
304,35250075,10,30,10,30,75
305,35250077,25,45,30,40,65
306,35250078,0,0,30,25,70
307,35250079,0,0,25,25,55
308,35250080,20,10,50,45,95
309,35250081,45,60,65,90,125
310,35250082,0,10,15,15,50
311,35250083,10,35,50,65,70
312,35250084,10,15,10,35,45
313,35250085,15,0,10,10,70
314,35250086,0,15,50,35,60
315,35250087,0,40,20,50,85
316,35250088,0,10,40,45,65
317,35250089,180,70,30,10,10
318,35250093,0,30,25,30,120
319,35250094,15,30,45,25,20
320,35250095,0,10,30,40,90
321,35250096,10,25,50,45,65
322,35250097,0,0,0,10,110
323,35250098,0,0,0,10,65
324,35250099,20,15,35,10,210
325,35250100,0,10,20,25,130
326,35250101,0,10,10,30,115
327,35250102,0,0,10,10,90
328,35250105,10,35,35,55,115
329,35250106,10,20,35,30,90
330,35250107,0,20,30,30,110
331,35250108,10,30,50,40,70
332,35250109,15,20,55,45,135
333,35250110,10,15,50,50,90
334,35250111,140,30,35,50,70
335,35250112,10,15,20,40,80
336,35250113,15,15,15,25,50
337,35250114,0,10,30,25,70
338,35250115,145,120,125,90,85
339,35250116,10,15,60,75,80
340,35250117,0,25,10,30,20
341,35250118,0,15,20,35,50
342,35250119,10,20,30,70,55
343,35250120,0,20,40,55,30
344,35250121,10,30,50,40,55
345,35250122,0,0,10,30,85
346,35250123,0,0,0,15,90
347,35250124,10,25,40,25,75
348,35250125,0,10,25,20,60
349,35250126,70,30,45,40,45
350,35250127,25,65,110,80,205
351,35250128,0,0,15,20,85
352,35250129,0,0,0,30,75
353,35250130,0,0,20,25,65
354,35250133,125,80,30,0,10
355,35250134,35,40,30,25,130
356,35250135,35,70,120,145,185
357,35250136,10,15,20,10,65
358,35250137,0,10,25,25,70
359,35250144,15,40,65,115,290
360,35250145,10,10,0,35,75
361,35250146,0,15,15,30,220
362,35250147,20,0,30,50,55
363,35250148,20,15,20,35,85
364,35250149,0,20,10,15,140
365,35250150,45,10,50,35,90
366,35250151,10,0,10,15,135
367,35250152,90,60,45,25,330
368,35250153,0,10,15,35,160
369,35250156,0,10,0,35,85
