geo_code,,median_government_transfers_2015,median_income
35240470,male,1588,79360
35240471,female,3000,34816
35240471,male,572,54016
35240472,female,4528,34944
35240472,male,1732,68096
35240473,female,2888,28992
35240473,male,1412,55872
35240474,female,5264,36608
35240474,male,6352,55680
35240475,female,3844,38528
35240475,male,2080,52992
35240476,female,3560,32896
35240476,male,818,72576
35240477,female,2600,37888
35240477,male,644,91392
35240478,female,7056,35712
35240478,male,1052,40320
35240479,female,15136,19136
35240479,male,12064,30784
35240480,female,9824,23392
35240480,male,1844,36992
35240481,female,7152,31072
35240481,male,2880,50048
35240482,female,7088,31040
35240482,male,2824,39040
35240483,female,6256,42368
35240483,male,7504,45312
35240484,female,2832,41088
35240484,male,644,55264
35240485,female,9312,46464
35240485,male,2904,33920
35240486,female,5120,40320
35240486,male,1844,46528
35240487,female,5648,29504
35240487,male,4240,48000
35240488,female,3244,42581
35240488,male,654,56704
35240489,female,5952,33536
35240489,male,6088,38912
35240490,female,5792,32704
35240490,male,1108,47616
35240491,female,4640,33024
35240491,male,5296,62336
35240492,female,4320,26944
35240492,male,702,48832
35240493,female,14037,21568
35240493,male,15008,21312
35240494,female,4832,33664
35240494,male,854,52352
35240495,female,9648,22848
35240495,male,5600,37248
35240496,female,6608,33152
35240496,male,4944,50048
35240497,female,3800,38272
35240497,male,1268,47488
35240498,female,6320,40320
35240498,male,3208,56448
35240499,female,3424,42752
35240499,male,906,59776
35240501,female,3560,30656
35240501,male,5664,56064
35240503,female,3696,36032
35240503,male,3768,37760
35240504,female,4560,32704
35240504,male,723,48640
35240505,female,9152,21952
35240505,male,1308,26816
35240506,female,7856,44416
35240506,male,2200,51328
35240507,female,5648,27072
35240507,male,6600,31424
35240508,female,4496,37248
35240508,male,1192,46976
35240509,female,8608,31168
35240509,male,8448,42624
35240512,female,10352,31680
35240512,male,6624,31552
35240513,female,9120,32768
35240513,male,4448,50560
35240516,female,5168,39296
35240516,male,7248,65344
35240517,female,5680,47872
35240517,male,1516,52992
35240518,female,6208,38272
35240518,male,1644,52992
35240519,female,4304,40192
35240519,male,1508,56448
35240520,female,5744,31936
35240520,male,1500,45504
35240521,female,5568,35456
35240521,male,4672,69376
35240522,female,8224,42112
35240522,male,8288,54272
35240523,female,4656,28352
35240523,male,3224,46592
35240524,female,5616,34816
35240524,male,6704,73856
35240525,female,3424,33536
35240525,male,2584,60416
35240526,female,5744,39808
35240526,male,8288,37120
35240528,female,3152,35968
35240528,male,926,48768
35240529,female,2560,33152
35240529,male,699,55424
35240530,female,4608,31616
35240530,male,3096,56875
35240531,female,3368,30016
35240531,male,3096,48256
35240532,female,3192,40363
35240532,male,1248,54443
35240533,female,3944,31744
35240533,male,1582,41344
35240534,female,6640,22688
35240534,male,723,38656
35240535,female,5472,33920
35240535,male,4240,42880
35240536,female,8768,28736
35240536,male,4208,32811
35240537,female,2488,38101
35240537,male,742,53632
35240538,female,7008,21888
35240538,male,930,35456
35240539,female,6544,40960
35240539,male,2680,46720
35240540,female,5712,34176
35240540,male,3352,53120
35240541,female,2848,28288
35240541,male,720,52224
35240542,female,8304,31552
35240542,male,11680,58560
35240543,female,6112,23936
35240543,male,8608,37248
35240544,female,4464,30784
35240544,male,610,37568
35240545,female,3464,36736
35240545,male,1206,67584
35240546,female,4832,31392
35240546,male,1252,37056
35240590,female,7480,32320
35240590,male,5728,38016
35240591,female,5384,31296
35240591,male,1204,34624
35240592,female,5960,23552
35240592,male,1336,34483
35240593,female,4592,35072
35240593,male,6288,44160
35240594,female,3852,26304
35240594,male,846,34560
35240595,female,10240,26688
35240595,male,8224,34688
35240596,female,13144,29888
35240596,male,13984,30016
35240598,female,11893,32960
35240598,male,11915,40448
35240641,female,2584,34112
35240641,male,780,63360
35240642,female,4168,44672
35240642,male,4408,56192
35240643,female,3064,29376
35240643,male,1692,37376
35240644,female,3064,26432
35240644,male,9216,37120
35240645,female,4936,36096
35240645,male,1460,44032
35240647,female,6096,32448
35240647,male,5776,46976
35240648,female,5312,40960
35240648,male,1540,46720
35240649,female,2760,39680
35240649,male,503,51328
35240650,female,3592,39488
35240650,male,657,67328
35240651,female,3496,44331
35240651,male,962,57984
35240654,female,1984,45312
35240654,male,491,81664
35240655,female,8224,33152
35240655,male,10960,55872
35240656,female,2200,43776
35240656,male,559,93184
35240659,female,7504,34560
35240659,male,1524,45184
35240660,female,3424,34688
35240660,male,698,50048
35240661,female,2968,41344
35240661,male,580,76629
35240662,female,8256,40576
35240662,male,8496,47019
35240663,female,1660,34176
35240663,male,678,65792
35240664,female,4080,33920
35240664,male,1524,57728
35240665,female,2696,31168
35240665,male,646,91904
35240666,female,3552,41600
35240666,male,1148,57088
35240667,female,2440,49408
35240667,male,422,78976
35240668,female,2360,44032
35240668,male,558,62720
35240669,female,2584,40832
35240669,male,422,66432
35240670,female,2651,52480
35240670,male,414,71253
35240671,female,2984,41728
35240671,male,429,63744
35240672,female,2536,42112
35240672,male,272,76288
35240673,female,3368,36544
35240673,male,556,57216
35240674,female,2648,52992
35240674,male,188,84480
35240675,female,2904,45867
35240675,male,342,74837
35240676,female,2164,42880
35240676,male,514,61141
35240677,female,2072,61632
35240677,male,164,89088
35240678,female,6832,42592
35240678,male,4677,55104
35240679,female,3568,39552
35240679,male,699,56192
35240680,female,2460,38208
35240680,male,574,53675
35240681,female,6160,41216
35240681,male,2192,49984
35240682,female,3584,38272
35240682,male,560,62208
35240683,female,2648,39616
35240683,male,622,71168
35240684,female,6960,42944
35240684,male,582,49984
35240685,female,2742,48171
35240685,male,287,81984
35240686,female,1984,40115
35240686,male,166,88320
35240756,female,2584,41728
35240756,male,164,86016
35240757,female,2128,50752
35240757,male,348,81408
35240758,female,2488,31904
35240758,male,559,70400
35240759,female,7040,25856
35240759,male,10112,58752
35240780,female,2712,40107
35240780,male,558,65472
35240782,female,3504,34944
35240782,male,674,59904
35240783,female,6256,29504
35240783,male,7312,46720
35240785,female,1940,40896
35240785,male,557,76544
35240807,female,6272,35712
35240807,male,7992,44160
35240808,female,13120,30656
35240808,male,13888,32448
35240809,female,x,x
35240809,male,x,x
35240898,female,2568,41984
35240898,male,558,60224
35240903,female,x,x
35240903,male,x,x
35240904,female,4080,36779
35240904,male,1072,53205
35250030,female,4944,31168
35250030,male,4688,28992
35250031,female,5792,35200
35250031,male,6112,49024
35250032,female,4208,31787
35250032,male,1468,37184
35250033,female,4208,45184
35250033,male,3784,60352
35250034,female,4656,32064
35250034,male,2116,46336
35250035,female,7408,31936
35250035,male,3864,44416
35250036,female,5104,40384
35250036,male,2520,62080
35250037,female,6160,33280
35250037,male,4592,38144
35250038,female,11360,33664
35250038,male,11232,27968
35250039,female,11808,25024
35250039,male,12832,26656
35250040,female,11704,20864
35250040,male,9056,23957
35250041,female,9408,24320
35250041,male,6288,39936
35250042,female,x,x
35250042,male,x,x
35250043,female,7792,39168
35250043,male,7216,37504
35250044,female,7264,36736
35250044,male,1920,46848
35250045,female,6000,25920
35250045,male,1244,30336
35250046,female,5312,31936
35250046,male,6480,46720
35250047,female,11360,30784
35250047,male,9248,61824
35250048,female,5296,38016
35250048,male,3512,58496
35250049,female,7216,39936
35250049,male,8416,40384
35250050,female,6464,38016
35250050,male,7552,61440
35250051,female,7792,40320
35250051,male,8768,53952
35250052,female,5952,31104
35250052,male,7568,55168
35250053,female,6736,53632
35250053,male,8928,61440
35250054,female,5136,29376
35250054,male,2660,48000
35250055,female,6496,33664
35250055,male,2504,40832
35250056,female,x,x
35250056,male,x,x
35250059,female,6128,42432
35250059,male,1564,57216
35250060,female,5552,36864
35250060,male,6288,48128
35250061,female,5424,41472
35250061,male,7824,53120
35250062,female,6832,42880
35250062,male,8800,50176
35250064,female,6128,33856
35250064,male,5008,53632
35250065,female,2696,36032
35250065,male,788,55680
35250066,female,4816,49024
35250066,male,11808,52096
35250067,female,2928,31040
35250067,male,2712,59520
35250070,female,6376,35712
35250070,male,7400,35712
35250073,female,4208,32192
35250073,male,1560,43520
35250074,female,6280,27136
35250074,male,8408,31680
35250075,female,4240,27392
35250075,male,4496,48128
35250077,female,8080,20160
35250077,male,6320,29376
35250078,female,6088,36736
35250078,male,3792,35712
35250079,female,8608,28480
35250079,male,8384,34944
35250080,female,10848,23360
35250080,male,2632,25280
35250081,female,7152,23488
35250081,male,3120,34944
35250082,female,x,x
35250082,male,x,x
35250083,female,9600,17664
35250083,male,1876,20096
35250084,female,6416,21408
35250084,male,1860,41600
35250085,female,5088,26080
35250085,male,6064,34816
35250086,female,6928,33664
35250086,male,1996,37504
