,geo_code,Income (M),Government Transfer (M)
1164,35260339,50816,458
1165,35260340,55808,2002
1166,35260341,36736,6544
1167,35260342,39552,2824
1168,35260734,51872,6632
1169,35260828,41600,12768
1170,35260829,45952,5344
1171,35260830,75520,1540
1172,35260831,52352,898
1173,35260832,61056,1540
1174,35260833,75520,640
