,geo_code,Income (M),Government Transfer (M)
272,35250036,62080,2520
273,35250037,38144,4592
274,35250038,27968,11232
275,35250039,26656,12832
276,35250040,23957,9056
277,35250041,39936,6288
278,35250042,0,0
279,35250043,37504,7216
280,35250044,46848,1920
281,35250045,30336,1244
282,35250046,46720,6480
283,35250047,61824,9248
284,35250048,58496,3512
285,35250049,40384,8416
286,35250050,61440,7552
287,35250051,53952,8768
288,35250052,55168,7568
289,35250053,61440,8928
290,35250054,48000,2660
291,35250055,40832,2504
292,35250056,0,0
293,35250059,57216,1564
294,35250060,48128,6288
295,35250061,53120,7824
296,35250062,50176,8800
297,35250064,53632,5008
298,35250065,55680,788
299,35250066,52096,11808
300,35250067,59520,2712
301,35250070,35712,7400
302,35250073,43520,1560
303,35250074,31680,8408
304,35250075,48128,4496
305,35250077,29376,6320
306,35250078,35712,3792
307,35250079,34944,8384
308,35250080,25280,2632
309,35250081,34944,3120
310,35250082,0,0
311,35250083,20096,1876
312,35250084,41600,1860
313,35250085,34816,6064
314,35250086,37504,1996
315,35250087,37248,5168
316,35250088,42368,8848
317,35250089,27456,11104
318,35250093,40192,5392
319,35250094,31296,3808
320,35250095,39808,9312
321,35250096,31488,1444
322,35250097,49536,2512
323,35250098,0,0
324,35250099,39936,7392
325,35250100,49792,8112
326,35250101,49408,7792
327,35250102,53888,8864
328,35250105,44416,8480
329,35250106,37120,7728
330,35250107,42688,7568
331,35250108,44416,7872
332,35250109,43072,7536
333,35250110,48128,5824
334,35250111,45952,13120
335,35250112,39232,5888
336,35250113,30912,5328
337,35250114,44672,9920
338,35250115,30272,1915
339,35250116,44416,1624
340,35250117,33920,750
341,35250118,38528,3944
342,35250119,35072,2248
343,35250120,30720,845
344,35250121,39296,1432
345,35250122,41088,5456
346,35250123,42752,4496
347,35250124,27328,4560
348,35250125,37632,1412
349,35250126,22720,1200
350,35250127,41984,622
351,35250128,46165,631
352,35250129,50304,2824
353,35250130,43392,5568
354,35250133,782,15504
355,35250134,38016,6048
356,35250135,48981,750
357,35250136,30016,8480
358,35250137,53376,6400
359,35250144,64320,986
360,35250145,53376,3400
361,35250146,55744,1380
362,35250147,49536,5952
363,35250148,50432,6464
364,35250149,40704,667
365,35250150,45440,10080
366,35250151,45995,8395
367,35250152,44416,8352
368,35250153,39808,4040
369,35250156,51840,3552
370,35250158,69120,1828
371,35250159,64640,1208
372,35250160,62720,3736
373,35250161,81493,1324
374,35250162,50688,2536
375,35250163,72448,1908
376,35250164,39936,8288
377,35250172,50816,3848
378,35250173,67328,1664
379,35250175,45952,696
380,35250176,50304,1564
381,35250177,39936,1118
382,35250178,47232,1644
383,35250179,45056,602
384,35250180,47659,1200
385,35250181,37312,1756
386,35250183,0,0
387,35250184,56448,2792
388,35250185,38016,5168
389,35250186,41984,6800
390,35250188,44736,2816
391,35250189,42112,1052
392,35250190,43392,2736
393,35250191,36352,1596
394,35250192,51584,1436
395,35250193,51648,4112
396,35250194,44288,5952
397,35250196,45952,2392
398,35250197,36160,5936
399,35250199,47053,874
400,35250200,35968,8048
401,35250201,36992,6112
402,35250202,31712,1668
403,35250203,34406,2692
404,35250204,26624,1573
405,35250205,0,0
406,35250206,39083,2136
407,35250207,43520,9760
408,35250208,24704,9248
409,35250209,42624,11968
410,35250210,34176,4688
411,35250211,13920,15120
412,35250212,34176,12768
413,35250213,33408,14832
414,35250216,50048,5864
415,35250217,32192,4592
416,35250218,32064,2352
417,35250221,27552,7728
418,35250222,36949,3328
419,35250223,36736,11168
420,35250224,32640,6672
421,35250225,33664,6352
422,35250226,24448,14624
423,35250227,31680,4944
424,35250230,34304,3544
425,35250231,24768,6352
426,35250232,21696,2276
427,35250233,24896,7536
428,35250234,28736,2728
429,35250238,24320,1606
430,35250239,30528,4304
431,35250240,23744,2616
432,35250241,37760,1244
433,35250242,0,0
434,35250243,31424,4992
435,35250248,38592,7408
436,35250249,28480,13024
437,35250250,39808,5728
438,35250251,38528,1660
439,35250254,38016,7520
440,35250255,37440,10731
441,35250256,43008,11344
442,35250257,31808,11232
443,35250258,31040,13856
444,35250259,39552,8416
445,35250260,20992,14016
446,35250261,27264,8112
447,35250262,31392,13280
448,35250263,34176,4848
449,35250264,30912,9952
450,35250265,38272,8480
451,35250266,29440,11915
452,35250267,34176,8096
453,35250269,47232,6944
454,35250270,29504,12000
455,35250271,28928,8544
456,35250272,34176,12768
457,35250273,19776,10880
458,35250274,33152,2276
459,35250275,34176,2744
460,35250276,35789,1640
461,35250277,36480,2888
462,35250278,42539,2216
463,35250279,34432,8352
464,35250280,30912,3384
465,35250281,36864,2824
466,35250282,45440,2216
467,35250283,27712,5680
468,35250284,26432,6544
469,35250285,39296,7504
470,35250286,19392,13728
471,35250287,48448,8459
472,35250288,37248,11296
473,35250289,40320,6576
474,35250290,38592,4576
475,35250291,34688,919
476,35250293,40704,5440
477,35250294,46656,1508
478,35250295,50304,3384
479,35250296,44928,12896
480,35250297,36480,10400
481,35250298,45952,2648
482,35250299,34688,7808
483,35250300,54400,8832
484,35250302,33408,11552
485,35250303,19904,14000
