geo_code,,"under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 and over"
35240371,female,15,30,25,20,15,15,10,10,10,5,5,5
35240371,male,10,10,15,15,15,20,20,15,10,10,15,5
35240372,female,25,35,20,30,25,15,15,10,10,5,10,0
35240372,male,20,10,15,25,20,20,10,20,10,5,15,0
35240373,female,25,35,20,25,20,15,15,10,5,0,5,5
35240373,male,20,20,20,10,20,15,20,10,5,10,10,0
35240374,female,30,25,15,15,10,15,10,5,10,10,15,5
35240374,male,15,15,15,20,15,15,10,10,15,5,35,15
35240375,female,35,40,25,25,35,25,10,20,0,5,5,5
35240375,male,25,35,20,20,25,20,25,15,10,5,20,5
35240376,female,20,30,20,25,15,20,20,5,5,5,10,0
35240376,male,15,10,15,15,15,20,20,20,5,10,20,10
35240377,female,25,25,15,10,25,10,5,10,10,10,10,0
35240377,male,15,15,10,5,10,10,20,10,10,5,15,15
35240378,female,45,45,30,30,20,10,15,10,10,5,15,0
35240378,male,30,30,15,20,20,15,15,15,10,10,20,15
35240379,female,15,20,15,5,20,10,5,5,5,5,5,0
35240379,male,10,5,10,15,10,15,15,5,0,5,10,0
35240380,female,25,30,20,15,5,15,10,10,10,5,15,0
35240380,male,15,10,10,15,15,25,10,10,10,5,25,10
35240381,female,80,70,45,55,55,50,45,30,25,25,55,35
35240381,male,50,60,35,35,35,30,35,20,25,30,70,100
35240382,female,25,25,20,15,15,15,10,10,5,15,5,20
35240382,male,20,10,10,5,10,5,10,10,10,10,25,40
35240383,female,30,25,25,30,15,10,15,10,10,5,20,10
35240383,male,20,30,15,10,20,15,10,10,10,15,35,30
35240384,female,30,30,35,25,20,25,25,20,10,0,15,10
35240384,male,30,20,25,20,20,25,20,10,5,10,30,20
35240385,female,25,20,10,15,10,15,15,15,5,10,15,10
35240385,male,10,25,10,10,10,5,10,10,10,5,25,55
35240386,female,5,25,10,5,10,10,5,5,5,5,10,10
35240386,male,10,5,0,0,15,5,0,5,5,0,15,30
35240387,female,35,30,20,20,20,20,10,15,10,10,20,15
35240387,male,20,15,10,20,15,20,10,10,5,10,35,30
35240388,female,45,50,35,40,20,30,30,20,5,10,30,30
35240388,male,15,40,15,20,25,30,20,25,20,15,40,75
35240391,female,25,45,40,25,20,20,10,5,0,5,5,5
35240391,male,15,25,20,35,20,20,10,5,10,5,15,10
35240392,female,30,50,45,35,30,25,15,20,10,10,15,5
35240392,male,35,35,35,25,25,20,15,20,10,15,35,15
35240393,female,35,25,20,30,20,15,15,15,10,15,25,20
35240393,male,15,20,15,15,15,10,10,10,10,10,35,40
35240394,female,25,20,10,20,20,15,10,20,10,10,10,15
35240394,male,25,15,15,10,15,10,5,10,10,10,30,30
35240395,female,50,45,25,25,20,10,15,15,10,5,15,5
35240395,male,30,30,25,20,15,10,15,20,10,20,20,25
35240396,female,20,25,25,20,20,10,10,10,10,5,20,5
35240396,male,25,10,10,15,15,5,15,5,5,10,15,20
35240397,female,130,220,265,180,170,110,95,60,30,35,30,20
35240397,male,80,120,135,130,125,100,70,65,55,45,90,40
35240398,female,35,55,50,35,35,15,20,10,10,10,20,20
35240398,male,25,25,25,30,35,20,20,10,10,5,25,40
35240399,female,35,35,25,25,15,10,15,10,10,10,20,15
35240399,male,25,15,15,15,10,10,15,15,10,10,40,45
35240400,female,90,95,60,60,60,55,45,30,30,30,40,25
35240400,male,60,55,40,45,35,45,35,40,20,25,65,50
35240401,female,35,60,40,45,30,35,25,20,15,10,25,5
35240401,male,30,25,30,25,25,25,25,30,10,25,40,25
35240402,female,20,35,15,15,20,10,15,5,10,10,10,0
35240402,male,20,25,20,15,25,20,15,5,5,10,15,10
35240403,female,25,25,25,15,25,15,15,5,5,5,10,0
35240403,male,15,20,15,10,15,20,15,10,10,5,20,5
35240404,female,30,35,25,20,30,20,20,15,15,5,30,20
35240404,male,25,25,20,15,25,10,15,10,15,10,35,65
35240405,female,40,85,60,20,20,25,25,15,20,20,20,10
35240405,male,25,40,30,25,20,30,15,25,25,15,40,25
35240406,female,20,20,15,25,15,15,10,0,10,5,5,5
35240406,male,10,15,10,15,15,10,10,10,10,5,15,5
35240409,female,35,35,35,30,35,20,15,5,5,5,5,0
35240409,male,25,25,20,30,25,20,15,10,10,0,5,0
35240410,female,15,25,20,15,15,15,0,5,0,0,5,0
35240410,male,10,10,15,15,10,15,10,10,10,0,5,5
35240411,female,30,30,30,30,30,20,15,20,5,5,10,5
35240411,male,25,35,30,35,30,15,10,10,10,10,35,5
35240412,female,25,25,30,20,10,10,5,5,10,5,20,10
35240412,male,20,15,20,15,10,15,10,10,10,10,20,15
35240413,female,30,40,30,15,20,20,5,10,5,5,10,5
35240413,male,20,20,15,20,10,15,20,10,5,5,20,20
35240414,female,20,35,20,20,20,20,15,5,10,10,10,5
35240414,male,15,20,15,15,10,20,15,15,10,10,15,15
35240417,female,40,45,60,45,30,20,15,15,5,5,5,0
35240417,male,25,40,25,25,30,35,20,10,5,10,15,10
35240420,female,35,30,25,25,25,15,15,10,10,10,5,15
35240420,male,20,25,15,15,20,5,20,10,10,10,30,25
35240421,female,20,25,20,20,20,15,10,5,10,0,10,5
35240421,male,15,20,15,10,15,15,10,5,5,10,15,15
35240422,female,25,60,70,30,25,10,20,10,10,10,15,5
35240422,male,20,25,25,20,25,20,10,20,10,5,25,25
35240423,female,30,105,75,35,25,40,20,20,5,5,5,0
35240423,male,15,35,55,30,20,20,15,10,5,5,10,0
35240425,female,35,35,20,20,15,5,5,15,15,5,5,10
35240425,male,20,15,20,10,15,5,5,10,5,15,20,25
35240427,female,55,75,80,75,60,40,45,30,25,20,35,20
35240427,male,25,45,35,40,45,40,30,35,20,25,65,65
35240428,female,30,45,55,40,25,15,10,10,5,5,5,0
35240428,male,25,35,30,30,20,10,10,15,5,5,10,10
35240429,female,25,60,55,40,25,15,10,5,0,0,0,0
35240429,male,25,45,25,25,20,5,10,5,0,5,5,5
35240431,female,15,15,10,10,15,10,10,5,10,5,10,15
35240431,male,20,15,0,5,10,5,10,5,5,5,25,30
35240432,female,40,30,25,25,20,15,15,10,5,5,25,10
35240432,male,10,15,15,15,15,25,10,15,10,10,20,40
35240433,female,35,35,25,25,20,15,15,15,20,10,30,15
35240433,male,25,20,15,20,15,15,15,15,10,15,35,35
35240436,female,15,25,15,15,20,5,5,10,5,5,0,0
35240436,male,10,20,20,10,10,5,10,5,10,5,10,0
35240437,female,30,45,75,20,30,20,20,20,10,10,15,10
35240437,male,20,25,35,15,15,20,15,10,10,5,30,15
35240438,female,40,35,25,35,25,25,15,5,15,10,15,0
35240438,male,30,35,30,25,15,10,15,10,5,15,40,25
35240439,female,35,20,35,25,25,10,20,5,5,10,5,5
35240439,male,25,25,20,15,25,10,20,10,15,5,35,5
35240440,female,20,45,30,30,20,20,10,5,10,5,10,5
35240440,male,20,25,25,25,25,20,15,10,0,5,10,5
35240441,female,40,30,40,25,35,25,20,20,15,10,25,15
35240441,male,35,30,25,25,15,30,15,15,10,15,40,30
35240442,female,30,20,20,15,25,15,15,10,5,5,15,10
35240442,male,25,20,5,10,10,15,15,15,5,10,20,30
35240443,female,35,35,25,25,20,30,20,15,10,15,30,10
35240443,male,20,20,20,15,10,15,20,5,10,15,35,40
35240444,female,25,30,20,25,20,15,5,10,10,5,10,5
35240444,male,30,25,15,20,15,20,5,10,10,10,20,15
35240445,female,40,50,60,30,30,15,15,10,10,10,5,0
35240445,male,35,40,35,35,20,25,15,10,15,5,5,5
35240446,female,30,60,65,55,40,10,15,10,5,0,5,0
35240446,male,25,40,40,40,30,25,15,10,10,5,5,5
35240447,female,35,55,80,50,40,25,10,5,0,0,5,5
35240447,male,30,45,35,35,35,30,20,20,5,0,5,5
35240448,female,25,35,40,25,20,25,15,5,15,10,10,10
35240448,male,30,25,25,20,20,20,15,15,15,15,20,15
35240449,female,15,15,15,20,15,5,10,0,0,5,5,0
35240449,male,10,10,10,15,20,10,5,10,5,5,5,5
35240450,female,45,45,40,40,30,20,10,10,0,0,5,5
35240450,male,25,40,40,45,20,30,20,10,5,10,20,10
35240451,female,25,35,45,35,20,25,20,10,0,0,0,5
35240451,male,25,25,25,20,25,25,25,15,15,10,10,10
35240452,female,30,20,20,20,15,10,10,5,5,0,0,0
35240452,male,15,25,20,20,25,10,10,0,10,5,5,5
