geo_code,,"Car, truck, van - as a driver","Car, truck, van - as a passenger",Public transit,Walked,Bicyle,Other
35240411,female,100,15,10,10,0,0
35240411,male,135,20,15,0,0,0
35240412,female,70,0,0,10,0,0
35240412,male,70,0,10,15,0,0
35240413,female,95,10,15,0,0,0
35240413,male,65,0,20,0,0,10
35240414,female,75,15,0,10,0,0
35240414,male,95,15,0,0,0,0
35240417,female,95,0,25,15,0,0
35240417,male,115,10,10,10,0,0
35240420,female,90,0,0,10,0,0
35240420,male,125,0,0,0,0,0
35240421,female,70,0,15,0,0,0
35240421,male,40,10,10,0,0,0
35240422,female,85,0,10,10,10,0
35240422,male,80,10,10,15,0,0
35240423,female,115,10,15,0,0,0
35240423,male,95,10,20,20,0,0
35240425,female,65,10,25,15,0,0
35240425,male,90,0,10,10,0,0
35240427,female,155,10,20,35,0,10
35240427,male,205,10,10,0,10,0
35240428,female,105,0,25,15,0,0
35240428,male,120,10,10,0,0,0
35240429,female,95,10,25,10,0,0
35240429,male,80,10,20,15,0,0
35240431,female,70,10,0,0,0,0
35240431,male,80,0,0,0,15,0
35240432,female,60,0,10,10,0,0
35240432,male,85,0,10,0,0,0
35240433,female,70,10,10,10,0,0
35240433,male,115,0,20,0,10,0
35240436,female,50,10,15,15,0,0
35240436,male,45,10,0,15,0,0
35240437,female,75,10,0,0,0,0
35240437,male,100,0,10,0,0,0
35240438,female,100,10,25,10,0,0
35240438,male,105,10,0,10,0,0
35240439,female,100,10,10,10,0,0
35240439,male,120,10,25,15,0,0
35240440,female,95,10,0,10,10,10
35240440,male,115,10,0,0,0,0
35240441,female,135,10,0,0,0,10
35240441,male,140,10,25,15,0,10
35240442,female,70,0,10,10,0,0
35240442,male,95,15,20,0,0,0
35240443,female,110,15,15,10,0,0
35240443,male,120,15,10,0,0,0
35240444,female,75,10,20,0,0,0
35240444,male,100,0,10,10,10,0
35240445,female,100,10,30,10,0,0
35240445,male,130,0,20,15,10,0
35240446,female,80,15,10,10,0,0
35240446,male,80,10,15,0,10,0
35240447,female,135,25,50,10,0,0
35240447,male,125,10,15,15,10,0
35240448,female,95,10,20,15,0,0
35240448,male,155,10,0,10,10,0
35240449,female,65,0,10,10,0,0
35240449,male,65,15,0,0,0,10
35240450,female,85,15,30,10,0,0
35240450,male,115,15,20,0,0,10
35240451,female,145,0,40,10,0,0
35240451,male,125,0,25,0,10,0
35240452,female,85,10,10,0,0,0
35240452,male,90,10,0,15,0,0
35240453,female,110,0,0,0,0,0
35240453,male,120,10,10,10,10,0
35240455,female,80,10,10,10,0,0
35240455,male,75,0,0,0,0,0
35240459,female,45,0,10,0,0,0
35240459,male,65,0,10,0,10,0
35240460,female,65,15,10,0,0,0
35240460,male,80,10,10,10,0,0
35240461,female,80,10,15,10,0,10
35240461,male,80,10,25,0,0,0
35240462,female,60,0,10,0,0,0
35240462,male,60,0,10,0,0,0
35240463,female,105,15,15,20,0,0
35240463,male,135,15,0,0,10,0
35240464,female,65,0,10,0,0,0
35240464,male,50,15,10,0,0,0
35240465,female,175,10,30,15,0,0
35240465,male,125,15,10,10,10,10
35240466,female,135,10,30,20,0,0
35240466,male,115,10,30,20,10,10
35240467,female,85,10,10,0,10,0
35240467,male,90,0,10,0,0,0
35240468,female,105,10,10,0,0,10
35240468,male,130,0,20,0,0,0
35240469,female,135,10,0,10,10,0
35240469,male,95,0,15,0,0,10
35240470,female,90,0,10,10,0,10
35240470,male,115,10,15,0,0,0
35240471,female,55,10,20,10,0,0
35240471,male,100,0,10,0,0,0
35240472,female,125,15,20,10,0,10
35240472,male,100,15,30,0,0,0
35240473,female,80,0,0,0,0,10
35240473,male,75,10,0,0,0,0
35240474,female,115,10,0,0,0,0
35240474,male,110,10,10,10,0,0
35240475,female,130,10,15,15,0,0
35240475,male,155,20,15,15,0,0
35240476,female,95,10,10,0,0,0
35240476,male,125,10,10,0,0,0
35240477,female,115,10,10,10,0,0
35240477,male,125,0,10,0,0,0
35240478,female,65,0,10,10,0,10
35240478,male,65,10,10,10,0,0
35240479,female,45,0,10,10,0,0
35240479,male,35,10,10,10,0,0
35240480,female,130,15,25,10,0,0
35240480,male,140,10,0,0,0,10
35240481,female,80,0,10,0,0,0
35240481,male,100,0,15,0,0,0
35240482,female,140,20,25,10,0,0
35240482,male,160,10,10,0,0,0
35240483,female,115,10,20,10,0,10
35240483,male,115,10,20,10,0,0
35240484,female,235,10,25,30,0,0
35240484,male,230,10,45,10,0,0
35240485,female,60,10,15,0,0,0
35240485,male,65,10,0,0,10,0
35240486,female,110,10,15,0,0,0
35240486,male,110,20,20,10,0,10
35240487,female,45,0,0,0,0,0
35240487,male,45,0,10,0,0,0
35240488,female,305,25,60,20,0,0
35240488,male,335,40,40,20,0,0
35240489,female,95,0,10,0,0,0
35240489,male,70,0,25,0,10,0
35240490,female,60,0,0,0,0,0
35240490,male,50,10,0,0,0,10
35240491,female,105,10,15,10,0,0
35240491,male,130,20,10,0,0,0
35240492,female,125,10,15,10,0,0
35240492,male,130,0,0,15,0,0
35240493,female,55,10,10,30,0,0
35240493,male,70,10,15,10,0,0
35240494,female,95,15,15,0,0,0
35240494,male,100,15,20,10,0,0
35240495,female,90,25,10,0,0,0
35240495,male,120,20,10,0,0,0
35240496,female,50,10,0,0,0,0
35240496,male,65,10,15,0,10,0
35240497,female,110,15,10,0,10,0
35240497,male,95,20,10,0,0,0
35240498,female,55,0,10,10,0,0
35240498,male,65,0,10,0,0,0
35240499,female,70,10,0,0,0,0
35240499,male,55,0,10,0,0,0
35240501,female,55,0,0,10,0,0
35240501,male,65,0,0,0,0,0
35240503,female,70,20,0,0,0,0
35240503,male,110,15,15,0,0,0
35240504,female,70,15,10,10,0,0
35240504,male,85,0,25,0,0,0
35240505,female,120,10,15,0,0,0
35240505,male,85,0,25,0,10,0
35240506,female,80,10,0,0,0,0
35240506,male,105,0,10,0,0,0
35240507,female,100,10,20,0,0,0
35240507,male,95,0,0,10,0,0
35240508,female,115,10,0,15,10,0
35240508,male,170,10,25,0,0,0
35240509,female,115,10,15,10,0,10
35240509,male,110,0,0,0,0,0
35240512,female,60,0,0,15,0,0
35240512,male,60,0,0,0,0,0
35240513,female,70,15,20,10,0,10
35240513,male,90,10,10,0,0,0
35240516,female,95,20,20,10,0,0
35240516,male,135,10,15,0,0,0
35240517,female,85,0,10,10,0,0
35240517,male,120,10,15,0,0,0
35240518,female,135,10,20,10,0,0
35240518,male,140,0,20,10,10,0
35240519,female,75,15,10,0,0,0
35240519,male,90,10,0,0,0,0
35240520,female,140,15,20,20,0,0
35240520,male,140,0,10,20,0,0
35240521,female,115,15,0,0,0,0
35240521,male,125,0,10,0,10,0
35240522,female,60,0,0,0,0,0
35240522,male,75,0,0,0,10,0
35240523,female,85,0,0,0,0,0
35240523,male,75,10,15,0,0,0
35240524,female,100,0,10,0,0,0
35240524,male,75,0,10,0,0,0
35240525,female,110,0,30,10,0,10
35240525,male,95,10,10,0,10,0
35240526,female,60,0,0,0,0,0
35240526,male,60,0,10,0,0,0
35240528,female,80,10,15,10,0,0
35240528,male,100,15,25,0,10,0
