LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
15 287611 02 1J,Eating Establishment,Restaurant,2433895 ONTARIO INCORPORATED O/A RAWLICIOUS,1038 KING ST W  HAMILTON ON L8S 1L5,14/05/2018
14 286838 03 1J,Eating Establishment,Restaurant with Liquor Service,2434001 ONTARIO INC. O/A EAST PLACE,48 CENTENNIAL PKWY N  HAMILTON ON,04/11/2018
15 290411 02 1J,Eating Establishment,Restaurant,2434372 ONTARIO INC O/A SUBWAY,119 OSLER DR  DUNDAS ON L9H 6X4,09/12/2018
14 286963 03 1J,Eating Establishment,Restaurant,2434989 ONTARIO INC. O/A THE MOGHUL'S,288 MUD ST W BLDG C STONEY CREEK ON,23/12/2018
14 286917 02 1J,Eating Establishment,Restaurant with Liquor Service,2435058 ONTARIO INC O/A HOLLYWOOD LOUNGE BAR & GRILL,870 UPPER JAMES ST  HAMILTON ON,16/03/2018
15 287982 02 1J,Eating Establishment,Restaurant,2436012 ONTARIO INC. O/A RED ROCKETS,15 WELLINGTON ST N  HAMILTON ON,14/08/2018
16 290554 01 1J,Eating Establishment,Restaurant with Liquor Service,2439909 ONTARIO INC. O/A THE BEAVER AND BULLDOG,1400 UPPER JAMES ST UNIT 1 HAMILTON ON,18/02/2018
15 287891 02 1J,Eating Establishment,Restaurant with Liquor Service,2440984 ONTARIO INC O/A SOUTHERN SMOKE BARBECUE HOUSE,201 OTTAWA ST N  HAMILTON ON,24/07/2018
15 287233 02 1J,Eating Establishment,Restaurant Take-Out,2444126 ONTARIO INC. O/A TWICE THE DEAL PIZZA,549 STONE CHURCH RD E  HAMILTON ON,07/03/2018
15 287440 02 1J,Eating Establishment,Restaurant,2444934 ONTARIO INC. O/A HAMILTON QUIZNOS SUB,833 UPPER JAMES ST  HAMILTON ON,22/04/2018
15 287314 02 1J,Eating Establishment,Restaurant with Liquor Service,2445244 ONTARIO INC. O/A LOTUS THAI AND VIETNAMESE CUISINE,280 MUD ST W BLDG E1 STONEY CREEK ON,24/04/2018
17 293096 00 1J,Eating Establishment,Restaurant with Liquor Service,2445481ONTARIO LIMITED O/A MARACAZ CANTINERIE,612 UPPER JAMES ST  HAMILTON ON,06/11/2018
15 288163 02 1J,Eating Establishment,Lunch Counter,2446286 ONTAIRO INC O/A PITA PIT,784 CONCESSION ST  HAMILTON ON L8V 1C9,03/11/2018
15 287679 02 1J,Eating Establishment,Restaurant Take-Out,2452015 ONTARIO INC. O/A PIZZA DEPOT,447 MAIN ST E UNIT 4 HAMILTON ON,02/10/2018
16 291565 00 1J,Eating Establishment,Restaurant with Liquor Service,2452941 ONTARIO INC O/A WEST END RESTAURANT & SPORTS  BAR,151 EMERSON ST  HAMILTON ON L8S 2Y1,24/02/2018
15 287960 02 1J,Eating Establishment,Restaurant with Liquor Service,2453613 ONTARIO LTD. O/A SOUTHBROOK GOLF & COUNTRY CLUB,4349 REGIONAL ROAD 56  GLANBROOK ON L0R 1C0,23/09/2018
15 287371 02 1J,Eating Establishment,Restaurant,2455732 ONTARIO INC. O/A BRONZIES PLACE,201 JAMES ST S  HAMILTON ON,11/06/2018
15 287785 02 1J,Eating Establishment,Restaurant,2455798 Ontario Inc. O/A Burrito Boyz,66 KING ST E  HAMILTON ON,10/09/2018
15 287546 02 1J,Eating Establishment,Restaurant Take-Out,2456092 ONTARIO INC. O/A TABOULI,2 KING ST W  HAMILTON ON,04/06/2018
15 287943 02 1J,Eating Establishment,Restaurant,2458641 ONTARIO INC. O/A BASKIN ROBBINS,1660 UPPER JAMES ST  HAMILTON ON L9B 1K6,07/08/2018
15 287702 02 1J,Eating Establishment,Restaurant,2459372 ONTARIO INC O/A PIZZA NOVA,1160 UPPER PARADISE RD  HAMILTON ON,11/06/2018
15 287586 02 1J,Eating Establishment,Restaurant with Liquor Service,2459837 ONTARIO INC. O/A IZZY'S PASTA AND WINE BAR,80 DUNDAS ST E  FLAMBOROUGH ON,17/07/2018
15 288013 02 1J,Eating Establishment,Restaurant with Liquor Service,2461323 ONTARIO INC. O/A BROADWAY DINER,1550 UPPER JAMES ST  HAMILTON ON L9B 1K3,16/10/2018
15 287842 02 1J,Eating Establishment,Restaurant with Liquor Service,2463765 ONTARIO INC. O/A MUCHO BURRITO,1508 UPPER JAMES ST  HAMILTON ON B0K 1S0,17/08/2018
15 290455 01 1J,Eating Establishment,Restaurant,2464290 ONTARIO INC. O/A FRESHII,1591 UPPER JAMES ST  HAMILTON ON,26/02/2018
15 288123 02 1J,Eating Establishment,Restaurant Take-Out,2470088 ONTARIO INC O/A O'NEILL'S RESTAURANT,1374 BARTON ST E 1STB HAMILTON ON,29/01/2019
15 288020 02 1J,Eating Establishment,Restaurant Take-Out,2471017 ONTARIO INC. O/A BAR BURRITO RESTAURANT,1275 BARTON ST E BLDG  L HAMILTON ON L8H 2V4,18/09/2018
15 290450 01 1J,Eating Establishment,Restaurant with Liquor Service,2471507 ONTARIO INC O/A SHEHNAI RESTAURANT,447 MAIN ST W  HAMILTON ON L8P 1K5,11/05/2018
15 288098 01 1J,Eating Establishment,Restaurant,2471560 ONTARIO CORPORATION O/A HAZEL TEA AND DESSERT HOUSE,1686 MAIN ST W  HAMILTON ON L8S 1G4,15/04/2018
17 293465 00 1J,Eating Establishment,Restaurant,2474796 ONTARIO INC O/A FRUITLAND BREAKFAST,621 BARTON ST  STONEY CREEK ON,03/01/2019
16 290581 01 1J,Eating Establishment,Restaurant,2478823 ONTARIO LIMITED O/A BOOSTER JUICE,94 HWY 8  STONEY CREEK ON L8G 4H3,29/03/2018
16 290813 01 1J,Eating Establishment,Restaurant Take-Out,24800821 ONTARIO INC. O/A NEW YORK FRIES,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,15/04/2018
16 290943 01 1J,Eating Establishment,Restaurant Take-Out,2480821 ONTARIO INC. O/A NEW YORK FRIES,2 KING ST W  HAMILTON ON,04/08/2018
15 288113 02 1J,Eating Establishment,Restaurant with Liquor Service,2481745 ONTARIO INC O/A JITTERBUG CAFE,35 MAIN ST N  FLAMBOROUGH ON,17/11/2018
17 292193 00 1J,Eating Establishment,Restaurant,2485478 ONTARIO INC O/A PIZZA PIZZA,4 COOTES DR  DUNDAS ON,07/11/2018
17 291871 01 1J,Eating Establishment,Restaurant,2486420 ONTARIO INC O/A FRESHII,2 KING ST W  HAMILTON ON,12/01/2019
16 291776 01 1J,Eating Establishment,Restaurant Take-Out,2487668 ONTARIO INC O/A GENERAL PIZZA & WINGS,274 BARTON ST E  HAMILTON ON L8L 2X3,24/01/2019
15 290365 02 1J,Eating Establishment,Restaurant,2490197 ONTARIO INC. O/A GINO'S PIZZA,64 HAMILTON ST N  FLAMBOROUGH ON L0R 2H6,15/12/2018
15 288182 02 1J,Eating Establishment,Restaurant Take-Out,2491688 ONTARIO INC O/A SUPREME PIZZA AND WINGS,1216 UPPER WENTWORTH ST  HAMILTON ON L9A 4W2,02/12/2018
16 290511 02 1J,Eating Establishment,Restaurant with Liquor Service,2492354 ONTARIO INC O/A YE OLD SQUIRE MAIN WEST,875 MAIN ST W  HAMILTON ON L8P 1P9,05/02/2019
16 291427 01 1J,Eating Establishment,Restaurant Take-Out,2496337 ONTARIO LTD O/A TERIYAKI EXPERIENCE,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,02/12/2018
17 292428 00 1J,Eating Establishment,Restaurant,2499104 ONTARIO INC. O/A TURTLE JACK'S RESTAURANT,255 DUNDAS ST E  FLAMBOROUGH ON L0R 2H1,09/06/2018
17 291915 01 1J,Eating Establishment,Restaurant with Liquor Service,2501329 ONTARIO INC O/A OASIS SPORTS BAR & GRILL,565 SEAMAN ST  STONEY CREEK ON,07/02/2019
17 292150 00 1J,Eating Establishment,Restaurant with Liquor Service,2503170 ONTARIO INC O/A MONTFORT GRILL HOUSE WATERDOWN,6 CLAPPISON AVE  FLAMBOROUGH ON,17/05/2018
