LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
14 125117 04 1J,Eating Establishment,Restaurant,740955 ONTARIO LIMITED O/A ACE'S RESTAURANT,1120 FENNELL AVE E  HAMILTON ON L8T 1R8,19/11/2018
14 280759 02 1J,Eating Establishment,Restaurant,7600135 CANADA CORP. O/A PITA PIT,94 DUNDAS ST E  FLAMBOROUGH ON,22/03/2018
14 281530 03 1J,Eating Establishment,Restaurant,7608861 CANADA INC O/A MR DUMPLING EXPRESS,50 DUNDURN ST S  HAMILTON ON L8P 4W3,29/07/2018
16 291834 00 1J,Eating Establishment,Restaurant,7689888 CANADA LTD O/A PREMIER BARBEQUE HOUSE,800 QUEENSTON RD UNIT 7 STONEY CREEK ON,21/03/2018
14 284836 03 1J,Eating Establishment,Restaurant Take-Out,7721820 CANADA INC O/A DELIRIOUS BURGER COMPANY,1008 KING ST W  HAMILTON ON L8S 1L4,26/08/2018
14 282239 03 1J,Eating Establishment,Restaurant Take-Out,7724241 CANADA INC,50 DUNDURN ST S  HAMILTON ON L8P 4W3,01/12/2018
15 290420 01 1J,Eating Establishment,Restaurant with Liquor Service,8299773 CANADA INC O/A CULANTRO,537 MAIN ST E  HAMILTON ON,30/03/2018
14 284857 03 1J,Eating Establishment,Restaurant,8405069 Canada Inc. o/a HELLO IRIS,245 DUNDAS ST E  FLAMBOROUGH ON L0R 2H1,21/09/2018
14 284704 03 1J,Eating Establishment,Restaurant,849238 ONTARIO INC O/A LANDING RESTAURANT,1479 BASELINE RD  STONEY CREEK ON,12/07/2018
14 286910 03 1J,Eating Establishment,Restaurant Take-Out,8591286 CANADA INC O/A YOGEN FRUZ,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,25/11/2018
14 285496 02 1J,Eating Establishment,Restaurant,8601925 CANADA INC. O/A SUBWAY,13 KING ST E SUITE 1 HAMILTON ON,20/02/2018
14 286238 03 1J,Eating Establishment,Restaurant Take-Out,8808228 CANADA LTD O/A PIZZA YOLO,1229 CANNON ST E  HAMILTON ON L8H 1T8,11/06/2018
14 286719 03 1J,Eating Establishment,Restaurant,8877459 CANADA INC. O/A SUBWAY RESTAURANT,810 MAIN ST E  HAMILTON ON L8M 1L6,10/09/2018
15 125533 03 1J,Eating Establishment,Restaurant,888472 ONTARIO INC  O/A R-PLACE TAVERN,172 BEACH RD  HAMILTON ON,27/08/2018
16 124971 02 1J,Eating Establishment,Lunch Counter,891020 ONTARIO INC. O/A MIKE'S SUBMARINES,1050 UPPER GAGE AVE  HAMILTON ON L8V 5B7,13/03/2018
15 125610 03 1J,Eating Establishment,Restaurant Take-Out,901669 ONTARIO INC O/A PIZZA PIZZA,374 MOHAWK RD E  HAMILTON ON,10/09/2018
15 287746 02 1J,Eating Establishment,Restaurant,9021825 CANADA INC O/A SUNWARD CAFE,1490 BARTON ST E  HAMILTON ON L8H 2X2,23/06/2018
15 288151 02 1J,Eating Establishment,Restaurant,903377 CANADA INC O/A QUESADA MEXICAN & BURRITO,891 UPPER JAMES ST  HAMILTON ON,02/10/2018
15 287645 02 1J,Eating Establishment,Restaurant,9098186 CANADA INC. O/A GREAT REDPEPPERS,60 JAMES ST N  HAMILTON ON L8R 2K5,08/09/2018
16 291641 01 1J,Eating Establishment,Restaurant,9133798 CANADA INC O/A OSMOW'S,870 UPPER JAMES ST  HAMILTON ON,21/02/2019
15 285881 02 1J,Eating Establishment,Restaurant Take-Out,9186018 CANADA INC. O/A IT'S PIZZA TIME,505 RYMAL RD E BLDG   B HAMILTON ON,06/03/2018
15 287429 02 1J,Eating Establishment,Restaurant,9206701 CANADA INC O/A 8090 TEA HOUSE,149 KING ST E  HAMILTON ON,06/05/2018
15 287407 02 1J,Eating Establishment,Restaurant Take-Out,9210938 CANADA INC O/S UMI SUSHI EXPRESS,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,13/07/2018
15 288043 02 1J,Eating Establishment,Restaurant,9260471 CANADA INC O/A COCO FRESH TEA & JUICE,96 MAIN ST E  HAMILTON ON L8N 1G3,16/10/2018
15 287825 02 1J,Eating Establishment,Restaurant Take-Out,9264442 CANADA CORPORATION O/A GINO'S PIZZA,695 QUEENSTON RD  HAMILTON ON,10/09/2018
15 287949 02 1J,Eating Establishment,Restaurant,9319166 CANADA INC O/A BOOSTER JUICE,1400 UPPER JAMES ST  HAMILTON ON,16/09/2018
15 288298 02 1J,Eating Establishment,Restaurant Take-Out,9407375 CANADA INC. O/A P.A.M.'S COFFEE & TEA CO.,2 KING ST W  HAMILTON ON,09/12/2018
14 287121 02 1J,Eating Establishment,Restaurant with Liquor Service,943936 ONTARIO INC. O/A JOY INN RESTAURANT AND TAVERN,74 OTTAWA ST N  HAMILTON ON,22/03/2018
15 290327 02 1J,Eating Establishment,Restaurant with Liquor Service,9471731 CANADA LTD O/A THE BREW CAFE & BAR,22 BARTON ST E  HAMILTON ON,22/12/2018
15 154754 03 1J,Eating Establishment,Restaurant Take-Out,949542 ONTARIO LTD. O/A HARVEYS,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,20/02/2019
16 291134 01 1J,Eating Establishment,Restaurant,9539182 CANADA INC. O/A SUBWAY SANDWICHES & SALADS,247 CENTENNIAL PKWY N  HAMILTON ON,20/09/2018
16 291025 01 1J,Eating Establishment,Restaurant with Liquor Service,9548904 CANADA INC O/A L'ETRANGER,107 JAMES ST N  HAMILTON ON L8R 2K6,18/07/2018
16 291232 01 1J,Eating Establishment,Restaurant with Liquor Service,9671749 CANADA INC. O/A SAPPORO CUISINE,96 MAIN ST E  HAMILTON ON L8N 1G3,10/08/2018
16 290932 01 1J,Eating Establishment,Restaurant with Liquor Service,9715339 CANADA INC O/A K LE KARAOKE BAR,56 JAMES ST N  HAMILTON ON,15/07/2018
15 287582 02 1J,Eating Establishment,Restaurant,983043 ONTARIO INC. O.A TIM HORTONS #530,2200 RYMAL RD E  GLANBROOK ON,23/06/2018
16 291537 00 1J,Eating Establishment,Restaurant,9895418 CANADA INC O/A MY DOG'S CAFE & BAR,229 LOCKE ST S  HAMILTON ON L8R 4B8,08/03/2018
16 291807 00 1J,Eating Establishment,Restaurant Take-Out,9918825 CANADA INC O/A RITA'S ICE OF HAMILTON,2 KING ST W  HAMILTON ON,09/05/2018
16 125436 03 1J,Eating Establishment,Restaurant Take-Out,A & W RESTAURANT,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,05/02/2019
15 177144 02 1J,Eating Establishment,Restaurant,A1 BBQ AND CATERING,1435 MAIN ST E  HAMILTON ON,23/03/2018
14 281414 03 1J,Eating Establishment,Restaurant,ABHAY INC O/A (SUBWAY),580 MOHAWK RD W  HAMILTON ON,20/09/2018
14 285288 03 1J,Eating Establishment,Restaurant,ADAGIO RESTAURANTS  LTD. O/A SUNSET GRILL,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,04/11/2018
14 286968 03 1J,Eating Establishment,Restaurant Take-Out,AICHI JAPAN INC. O/A AICHI JAPAN,2 KING ST W  HAMILTON ON,21/11/2018
14 282037 03 1J,Eating Establishment,Restaurant with Liquor Service,AJ CORPORATION O/A THE BEDROCK BISTRO,260 QUEENSTON RD  HAMILTON ON,29/01/2019
14 279970 03 1J,Eating Establishment,Restaurant,AJIO KOREAN & JAPANESE RESTAURNT,161 KING ST E  HAMILTON ON,26/07/2018
16 291850 00 1J,Eating Establishment,Restaurant with Liquor Service,Aj's Grill,94 DUNDAS ST E  FLAMBOROUGH ON,17/03/2018
17 292234 00 1J,Eating Establishment,Restaurant,AKSHARDIK INC. O/A GREEN LEAF RESTAURANT,865 UPPER JAMES ST  HAMILTON ON L9C 3A3,12/10/2018
15 287978 02 1J,Eating Establishment,Restaurant,ALAMIN BROTHERS LIMITED O/A ALAMIN CHARCOAL FLAME,891 UPPER JAMES ST  HAMILTON ON,10/09/2018
13 240135 03 1J,Eating Establishment,Restaurant Take-Out,ALFREDO'S PLACE INC,929 FENNELL AVE E  HAMILTON ON,21/05/2018
13 283947 03 1J,Eating Establishment,Restaurant with Liquor Service,AMBISS 2 INC O/A EAST SIDE MARIOS,1389 UPPER JAMES ST  HAMILTON ON L9B 1K2,08/09/2018
13 283393 03 1J,Eating Establishment,Restaurant,AMITY GOODWILL INDUSTRIES,225 KING WILLIAM ST  HAMILTON ON,31/07/2018
14 283928 02 1J,Eating Establishment,Restaurant,AMLEE FOODS LTD,1550 UPPER JAMES ST  HAMILTON ON L9B 1K3,11/04/2018
16 291027 01 1J,Eating Establishment,Restaurant,AMO GELATO CAFE INC.,171 LOCKE ST S  HAMILTON ON L8R 4B2,03/06/2018
15 125212 03 1J,Eating Establishment,Restaurant,AMY'S WOK,160 CENTENNIAL PKWY N  HAMILTON ON,29/10/2018
14 279494 03 1J,Eating Establishment,Restaurant,ANCASTER HOSPITALITY CO. LTD O/A CAVALLO NERO,370 WILSON ST E  ANCASTER ON,27/06/2018
14 286964 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LIMITED O/A MCDONALD'S,1736 STONE CHURCH RD E  STONEY CREEK ON,05/01/2019
14 279207 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALDS RESTAURANT,1268 KING ST E  HAMILTON ON,09/02/2019
14 279204 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALDS RESTAURANT,385 HWY 8  STONEY CREEK ON,15/01/2019
14 279210 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALDS RESTAURANT,675 UPPER JAMES ST  HAMILTON ON,15/01/2019
14 279208 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALDS RESTAURANT,852 UPPER GAGE AVE  HAMILTON ON L8V 4K6,15/01/2019
14 286263 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALDS RESTAURANT,1051 GARNER RD W  ANCASTER ON,02/01/2019
13 282491 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALDS RESTAURANT,510 CENTENNIAL PKWY N  HAMILTON ON,24/06/2018
14 276439 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALD'S RESTAURANTS,674 QUEENSTON RD  HAMILTON ON,03/02/2019
14 276442 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALD'S RESTAURANTS,2190 RYMAL RD E  GLANBROOK ON,13/12/2018
13 276441 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALD'S RESTAURANTS,9 UPPER CENTENNIAL PKWY  STONEY CREEK ON,13/04/2018
14 268204 03 1J,Eating Establishment,Restaurant,AND07 CONSULTING LTD O/A MCDONALD'S RESTAURANTS,787 BARTON ST E  HAMILTON ON,13/04/2018
14 125561 03 1J,Eating Establishment,Restaurant Take-Out,ANDY'S FAMOUS SUBMARINES,1342 BARTON ST E  HAMILTON ON L8H 2W3,18/04/2018
14 261492 03 1J,Eating Establishment,Restaurant,ANGELS DINER RESTAURANT & DELI,18 HAMILTON ST N  FLAMBOROUGH ON,29/11/2018
15 287947 02 1J,Eating Establishment,Restaurant,ANNA'S CAFE,100 MAIN ST E  HAMILTON ON L8N 1G3,24/08/2018
13 261415 03 1J,Eating Establishment,Restaurant Take-Out,ANNA'S CATERING LTD,30 PARKDALE AVE N  HAMILTON ON,02/07/2018
15 287797 02 1J,Eating Establishment,Restaurant with Liquor Service,ANNYLYN'S FINEST FOODS LTD,273 KING ST E  HAMILTON ON,28/10/2018
14 282481 03 1J,Eating Establishment,Restaurant,ARAMARK CANADA LTD O/A TIM HORTONS,50 CHARLTON AVE E  HAMILTON ON,11/01/2019
14 282479 03 1J,Eating Establishment,Restaurant Take-Out,ARAMARK CANADA LTD O/A TIM HORTONS,301 JAMES ST S  HAMILTON ON,11/01/2019
14 285933 02 1J,Eating Establishment,Restaurant Take-Out,ARAMARK CANADA LTD. O/A TIM HORTONS,100 WEST 5TH ST  HAMILTON ON,24/04/2018
14 282480 03 1J,Eating Establishment,Restaurant Take-Out,ARAMARK HOLDINGS O/A TIM HORTONS,50 CHARLTON AVE E  HAMILTON ON,11/01/2019
14 270605 03 1J,Eating Establishment,Restaurant Take-Out,ARIENNE INC. O/A DAIRY QUEEN,798 BARTON ST E  HAMILTON ON,04/05/2018
14 270574 03 1J,Eating Establishment,Restaurant Take-Out,ARIENNE INC. O/A DAIRY QUEEN,1205 MAIN ST E  HAMILTON ON,21/04/2018
15 287977 02 1J,Eating Establishment,Restaurant,ARK AND ANCHOR ESPRESSO BAR,300 KING ST W  HAMILTON ON,08/10/2018
14 284114 03 1J,Eating Establishment,Restaurant,ASHLEYMJM PITAS INC. O/A PITA PIT,301 FRUITLAND RD  STONEY CREEK ON L8E 5M1,02/12/2018
14 244906 03 1J,Eating Establishment,Restaurant,ASSYRIAN CAFE,645 KING ST E  HAMILTON ON,18/11/2018
14 278723 03 1J,Eating Establishment,Restaurant with Liquor Service,ATAMI JAPANESE BUFFET,2200 RYMAL RD E  GLANBROOK ON,12/11/2018
15 125248 03 1J,Eating Establishment,Restaurant,ATLANTIC SUBMARINE,927 KING ST E  HAMILTON ON,14/11/2018
15 124966 03 1J,Eating Establishment,Lunch Counter,ATLANTIC SUBMARINES,212 JOHN ST S  HAMILTON ON L8N 2C8,01/05/2018
14 209890 03 1J,Eating Establishment,Restaurant with Liquor Service,ATTIC PIZZA PARLOUR - 1556147 ONTARIO INC.,89 KING ST E  STONEY CREEK ON,30/11/2018
15 125110 03 1J,Eating Establishment,Restaurant with Liquor Service,AUGUSTA'S WINKING JUDGE LTD,25 AUGUSTA ST  HAMILTON ON,11/12/2018
17 291925 00 1J,Eating Establishment,Restaurant with Liquor Service,AVLYNS LOUNGE,627 KING ST E  HAMILTON ON,16/06/2018
15 125569 03 1J,Eating Establishment,Restaurant Take-Out,B & G TUCK SHOP,565 SANATORIUM RD  HAMILTON ON,21/05/2018
14 283619 03 1J,Eating Establishment,Restaurant,B & T RESTAURANT INC O/A B& T VIET THAI CUISINE,111 JAMES ST N  HAMILTON ON,06/12/2018
13 283068 03 1J,Eating Establishment,Restaurant,B. LOVE,29 KING ST W  DUNDAS ON,01/11/2018
14 284216 03 1J,Eating Establishment,Restaurant,BANANA LEAF ASIAN CUISINE,44 KING ST E  STONEY CREEK ON L8G 1K1,15/05/2018
14 129354 03 1J,Eating Establishment,Restaurant,BANDA PORTUGUESA DE HAM & I S P INC,129 MACNAB ST N  HAMILTON ON L8R 2M2,27/08/2018
14 278934 03 1J,Eating Establishment,Restaurant with Liquor Service,BANGKOK SPOON DELUXE,57 KING ST W  DUNDAS ON,27/11/2018
15 287832 02 1J,Eating Establishment,Restaurant with Liquor Service,BAR 54,935 BARTON ST E  HAMILTON ON,14/10/2018
16 125263 02 1J,Eating Establishment,Restaurant,BAR KEN RESTAURANT LTD,279 KENILWORTH AVE N  HAMILTON ON,13/02/2018
16 125381 02 1J,Eating Establishment,Restaurant,BARANGA'S INC.,380 VANWAGNERS BCH RD  HAMILTON ON L8E 3L8,27/03/2018
15 175164 03 1J,Eating Establishment,Restaurant,BARBARA'S CAFFE AND GIFTS,385 BARTON ST  STONEY CREEK ON,30/11/2018
13 138923 03 1J,Eating Establishment,Restaurant,BARDOSSY HOLDINGS LTD.,1575 UPPER OTTAWA ST  HAMILTON ON L8W 3E2,10/11/2018
15 275435 02 1J,Eating Establishment,Restaurant Take-Out,BASILIQUE,1065 KING ST W  HAMILTON ON L8S 1L8,08/03/2018
15 125225 03 1J,Eating Establishment,Restaurant with Liquor Service,BEASLEY HOUSE BISTRO,96 LOCKE ST S  HAMILTON ON L8R 4A4,15/05/2018
14 282783 03 1J,Eating Establishment,Restaurant Take-Out,BELLA PIZZA #1,455 BARTON ST E  HAMILTON ON,12/09/2018
17 292329 00 1J,Eating Establishment,Restaurant Take-Out,BEM BOM,667 FENNELL AVE E  HAMILTON ON,31/05/2018
17 292217 00 1J,Eating Establishment,Restaurant Take-Out,BENTO NOUVEAU LTD O/A BENTO SUSHI,1161 BARTON ST E BLDG C HAMILTON ON L8H 2V4,24/04/2018
17 292214 00 1J,Eating Establishment,Restaurant Take-Out,BENTO NOUVEAU LTD O/A BENTO SUSHI,751 UPPER JAMES ST  HAMILTON ON,24/04/2018
17 292215 00 1J,Eating Establishment,Restaurant Take-Out,BENTO NOUVEAU LTD O/A BENTO SUSHI,135 FENNELL AVE W  HAMILTON ON L9C 1E9,24/04/2018
17 292216 00 1J,Eating Establishment,Restaurant Take-Out,BENTO NOUVEAU LTD O/A BENTO SUSHI,977 GOLF LINKS RD  ANCASTER ON L8G 3T9,24/04/2018
14 286300 03 1J,Eating Establishment,Restaurant Take-Out,BENTO NOUVEAU LTD. O/A BENTO SUSHI,255 DUNDAS ST E  FLAMBOROUGH ON L0R 2H1,20/05/2018
15 287291 01 1J,Eating Establishment,Restaurant,BERKELEY NORTH,31 KING WILLIAM ST  HAMILTON ON,16/09/2018
17 293317 00 1J,Eating Establishment,Restaurant,BEST ON BREAD,35 YORK BLVD  HAMILTON ON,14/12/2018
17 292377 00 1J,Eating Establishment,Restaurant with Liquor Service,BETULA RESTAURANT INC.,225 KING ST W  DUNDAS ON,18/07/2018
14 171367 03 1J,Eating Establishment,Restaurant with Liquor Service,BEVERLY GOLF & COUNTRY CLUB,1211 2ND CON RD W  ON L0R 1J0,25/08/2018
15 287277 02 1J,Eating Establishment,Restaurant,BHAGYALAXMI INC O/A SUBWAY,108 YORK BLVD  HAMILTON ON,30/03/2018
15 275442 02 1J,Eating Establishment,Restaurant with Liquor Service,BIG ED'S TAP AND GRILL,132 QUEEN ST S  HAMILTON ON L8P 3S2,16/02/2018
17 292160 00 1J,Eating Establishment,Restaurant Take-Out,BIG SCOOPS,2 DUKE ST  HAMILTON ON,20/04/2018
13 281567 03 1J,Eating Establishment,Restaurant Take-Out,BIGGIE'S ICE CREAM,519 UPPER SHERMAN AVE  HAMILTON ON,06/05/2019
15 287788 02 1J,Eating Establishment,Restaurant,BLISS KITCHEN INC.,312 DUNDAS ST E  FLAMBOROUGH ON,29/09/2018
16 291296 01 1J,Eating Establishment,Restaurant,BLISS TRUFFLES AND GELATO,621 BARTON ST  STONEY CREEK ON,18/07/2018
16 291529 01 1J,Eating Establishment,Restaurant Take-Out,BMLM WELLNESS AND NUTRITION LTD. o/a BOOTER JUICE,2 KING ST W  HAMILTON ON,07/11/2018
15 125282 03 1J,Eating Establishment,Restaurant with Liquor Service,BOOMER'S,919 UPPER PARADISE RD UNIT 6 HAMILTON ON L9B 2M9,27/11/2018
17 292108 00 1J,Eating Establishment,Restaurant Take-Out,BOOSTER JUICE,80 DUNDAS ST E  FLAMBOROUGH ON,30/03/2018
16 290798 01 1J,Eating Establishment,Restaurant with Liquor Service,BORN AND RAISED RESTAURANT INC.,224 JAMES ST N  HAMILTON ON,30/06/2018
14 285051 03 1J,Eating Establishment,Restaurant with Liquor Service,BO'S SPORTS BAR,419 DUNDAS ST E  FLAMBOROUGH ON L0R 2H1,19/09/2018
13 152372 03 1J,Eating Establishment,Restaurant,BOSNIAN SPECIALTIES,298 GRAYS RD  HAMILTON ON,09/01/2019
14 279089 03 1J,Eating Establishment,Restaurant with Liquor Service,BOSTON PIZZA,4 HORSESHOE CRES  FLAMBOROUGH ON,12/01/2019
17 293400 00 1J,Eating Establishment,Restaurant Take-Out,BRUNO'S PIZZALICIOUS AND WINGS,718 MAIN ST E  HAMILTON ON,23/01/2019
14 286770 03 1J,Eating Establishment,Restaurant with Liquor Service,BRUX HOUSE INC. O/A BRUX HOUSE,137 LOCKE ST S  HAMILTON ON L8R 4A7,11/12/2018
15 290404 01 1J,Eating Establishment,Restaurant Take-Out,BRYAN'S FISH & CHIPS,80 OTTAWA ST N  HAMILTON ON,30/03/2018
14 286843 03 1J,Eating Establishment,Restaurant Take-Out,BSW-OTB INC. O/A LITTLE CAESARS PIZZA,752 UPPER JAMES ST  HAMILTON ON,11/12/2018
15 125052 03 1J,Eating Establishment,Restaurant with Liquor Service,BUDDY'S ROADHOUSE,1360 KING ST E  HAMILTON ON,26/08/2018
16 125411 02 1J,Eating Establishment,Restaurant,BUDDY'S SUBMARINE,1920 BARTON ST E  HAMILTON ON,21/03/2018
15 284304 02 1J,Eating Establishment,Restaurant with Liquor Service,BUFFALO WILD WINGS #435,524 CENTENNIAL PKWY N  HAMILTON ON,11/04/2018
14 284777 03 1J,Eating Establishment,Restaurant,BUONA VITA PIZZA INC,82 QUEEN ST N  HAMILTON ON,10/07/2018
14 279029 03 1J,Eating Establishment,Restaurant,BURGER KING RESTAURANTS OF CANADA INC,210 CENTENNIAL PKWY N  HAMILTON ON L8E 1H8,05/12/2018
16 290698 01 1J,Eating Establishment,Restaurant Take-Out,BURLINGTON HEIGHTS INC O/A DILLY'S FARMACY,35 YORK BLVD  HAMILTON ON,21/04/2018
14 286133 03 1J,Eating Establishment,Restaurant Take-Out,BURRITO (WESTDALE) INC. O/A BURRITO BANDIDOS,1028 KING ST W  HAMILTON ON L8S 1L5,17/06/2018
17 291889 00 1J,Eating Establishment,Restaurant,BURRITOZ,94 DUNDAS ST E  FLAMBOROUGH ON,21/03/2018
15 287534 02 1J,Eating Establishment,Restaurant with Liquor Service,BUTCHER AND THE VEGAN INC.,61 BARTON ST E  HAMILTON ON L8L 2V7,22/05/2018
14 285076 03 1J,Eating Establishment,Restaurant with Liquor Service,BWLD GLOBAL INC  O/A  BUFFALO WILD WINGS #467,1015 GOLF LINKS RD  ANCASTER ON L9K 1L6,01/10/2018
15 287638 02 1J,Eating Establishment,Restaurant with Liquor Service,C HOTEL INC. O/A BACI RISTORANTE,1530 STONE CHURCH RD E  HAMILTON ON,25/06/2018
16 291246 01 1J,Eating Establishment,Restaurant,CAFE ORANGE,312 KING ST E  HAMILTON ON,13/07/2018
14 274990 03 1J,Eating Establishment,Restaurant,CAFE TROY,2290 HWY 5 W  FLAMBOROUGH ON,07/11/2018
16 290624 01 1J,Eating Establishment,Restaurant,CALIPAN BAKERY,191 OTTAWA ST N  HAMILTON ON,02/03/2018
16 290700 01 1J,Eating Establishment,Restaurant Take-Out,CAMERON MOTORSPORTS INC.,2633 UPPER JAMES ST  GLANBROOK ON,18/05/2018
14 277824 03 1J,Eating Establishment,Restaurant,CANADIAN WARPLANE HERITAGE,9280 AIRPORT RD  GLANBROOK ON,19/02/2019
13 282422 03 1J,Eating Establishment,Restaurant,CANNON COFFEE CO LTD,179 OTTAWA ST N  HAMILTON ON,11/04/2018
14 170663 03 1J,Eating Establishment,Restaurant Take-Out,CANTON CHINESE FOOD,424 HWY 8  STONEY CREEK ON,29/11/2018
14 225990 03 1J,Eating Establishment,Restaurant,CAPRI FAMILY RESTAURANT(2004) O/A CAPRI RESTAURANT,25 JOHN ST N  HAMILTON ON L8R 1H1,25/06/2018
15 288066 02 1J,Eating Establishment,Restaurant,CAPTAIN MIKE'S FISH & CHIPS,284 MUD ST W BLDG D4 STONEY CREEK ON,20/10/2018
15 287206 01 1J,Eating Establishment,Restaurant Take-Out,CARIBBEAN FLAVAH,1122 MAIN ST W  HAMILTON ON L8S 1C1,11/03/2018
14 171387 03 1J,Eating Establishment,Restaurant,CARLISLE GOLF & COUNTRY CLUB,523 CARLISLE RD  FLAMBOROUGH ON,07/06/2018
13 284548 03 1J,Eating Establishment,Restaurant with Liquor Service,CARMEN'S INC O/A BACI ON THE BEACH,180 VANWAGNERS BCH RD  HAMILTON ON,20/05/2018
15 125551 03 1J,Eating Establishment,Restaurant with Liquor Service,CAT 'N' FIDDLE,174 JOHN ST S  HAMILTON ON,02/10/2018
13 148763 03 1J,Eating Establishment,Restaurant with Liquor Service,CELTIC Q INC. O/A REBEL'S ROCK IRISH PUB,537 KING ST E  HAMILTON ON L8N 1E3,19/12/2018
14 284908 03 1J,Eating Establishment,Restaurant with Liquor Service,CHARRED,246 JAMES ST N  HAMILTON ON,20/09/2018
14 286482 03 1J,Eating Establishment,Restaurant Take-Out,CHEF GARETH'S KITCHEN,1817 MAIN ST W  HAMILTON ON L8S 1H6,30/06/2018
14 275719 03 1J,Eating Establishment,Restaurant,CHEUNG'S RESTAURANT,150 PARKDALE AVE N  HAMILTON ON,31/05/2018
15 125203 03 1J,Eating Establishment,Restaurant,CHICAGO STYLE PIZZA SHACK LTD,534 UPPER SHERMAN AVE  HAMILTON ON,18/06/2018
14 280490 03 1J,Eating Establishment,Restaurant,CHINA HUT,1467 MAIN ST W  HAMILTON ON L8S 1C9,16/11/2018
17 235626 03 1J,Eating Establishment,Restaurant,CHINA PALACE TAKE-OUT & DELIVERY,30 RYMAL RD E  HAMILTON ON L9B 1T7,11/08/2018
16 291316 01 1J,Eating Establishment,Restaurant,CHRISMAT MANAGEMENT INC. O/A TIM HORTONS,529 HWY 8  STONEY CREEK ON L8G 1G4,04/08/2018
17 292195 00 1J,Eating Establishment,Restaurant with Liquor Service,CHUGGY'S TAP & GRILL,386 BARTON ST  STONEY CREEK ON L8E 2K9,01/09/2018
14 131531 02 1J,Eating Establishment,Restaurant,CHURRASQUEIRA CAFE & CANTINHO,302 BARTON ST E  HAMILTON ON,01/04/2018
17 293082 00 1J,Eating Establishment,Restaurant with Liquor Service,CIMA ENOTECA,190 LOCKE ST S  HAMILTON ON L8R 4B4,04/10/2018
15 268226 03 1J,Eating Establishment,Restaurant with Liquor Service,CINCINNATI RECORDS AND PROMOTIONS INC O/A CASBAH,306 KING ST W  HAMILTON ON,19/01/2019
15 125701 03 1J,Eating Establishment,Restaurant Take-Out,CINNABON,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,27/08/2018
13 193275 03 1J,Eating Establishment,Restaurant,CITY OF HAMILTON,563 ABERDEEN AVE  HAMILTON ON L8P 2S8,02/09/2018
13 193274 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON,970 PARAMOUNT DR  STONEY CREEK ON,06/08/2018
14 193283 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),680 HWY 8  FLAMBOROUGH ON,21/01/2019
14 193286 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),1770 MAIN ST E  HAMILTON ON,21/01/2019
14 193276 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),91 CHEDMAC DR  HAMILTON ON,21/01/2019
14 193323 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),35 MARKET ST S  DUNDAS ON,03/01/2019
14 193411 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),27 HWY 5 W  FLAMBOROUGH ON,24/12/2018
14 268151 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),400 QUEENSDALE AVE E  HAMILTON ON,19/12/2018
14 193282 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),25 HESTER ST  HAMILTON ON,05/12/2018
14 193273 03 1J,Eating Establishment,Restaurant,CITY OF HAMILTON (OLYMPIC ARENA),780 UPPER WENTWORTH ST  HAMILTON ON,19/11/2018
13 193280 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),150 FOLKSTONE AVE  HAMILTON ON,16/10/2018
13 193410 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),1496 CENTRE RD  FLAMBOROUGH ON,02/07/2018
