geo_code,,0 to 17 years (%),0 to 5 years (%),18 to 64 years (%),65 years and over (%)
35240393,male,10.0,0.0,3.3,0.0
35240394,female,0.0,50.0,3.7,0.0
35240394,male,14.3,0.0,3.8,0.0
35240395,female,0.0,0.0,5.4,10.0
35240395,male,0.0,0.0,5.7,0.0
35240396,female,0.0,0.0,4.5,0.0
35240396,male,16.7,0.0,4.8,0.0
35240397,female,20.0,20.0,8.9,4.1
35240397,male,20.0,20.0,7.5,1.0
35240398,female,0.0,0.0,7.7,5.3
35240398,male,0.0,0.0,7.7,0.0
35240399,female,11.1,0.0,2.8,0.0
35240399,male,0.0,0.0,6.3,0.0
35240400,female,13.3,12.5,7.2,4.3
35240400,male,2.9,0.0,4.9,0.0
35240401,female,0.0,25.0,5.4,6.3
35240401,male,16.7,33.3,7.8,0.0
35240402,female,0.0,0.0,0.0,0.0
35240402,male,9.1,0.0,3.1,0.0
35240403,female,0.0,0.0,0.0,0.0
35240403,male,0.0,0.0,4.5,0.0
35240404,female,9.1,0.0,5.1,0.0
35240404,male,0.0,0.0,5.4,6.7
35240405,female,8.3,0.0,2.2,15.4
35240405,male,10.0,25.0,2.5,0.0
35240406,female,14.3,0.0,4.8,0.0
35240406,male,0.0,0.0,4.8,0.0
35240409,female,9.5,14.3,9.3,0.0
35240409,male,6.3,0.0,8.6,0.0
35240410,female,16.7,0.0,11.1,0.0
35240410,male,12.5,0.0,5.9,0.0
35240411,female,0.0,0.0,0.0,0.0
35240411,male,0.0,0.0,5.3,0.0
35240412,female,0.0,33.3,3.7,0.0
35240412,male,22.2,0.0,3.7,0.0
35240413,female,9.1,0.0,0.0,0.0
35240413,male,11.1,0.0,6.9,0.0
35240414,female,14.3,0.0,9.7,0.0
35240414,male,25.0,0.0,7.7,0.0
35240417,female,60.0,50.0,16.3,6.3
35240417,male,28.6,33.3,20.9,0.0
35240420,female,14.3,0.0,5.9,11.1
35240420,male,0.0,0.0,6.1,0.0
35240421,female,25.0,0.0,12.5,0.0
35240421,male,0.0,0.0,12.5,0.0
35240422,female,0.0,0.0,20.7,16.7
35240422,male,33.3,100.0,16.7,12.5
35240423,female,0.0,...,16.7,23.7
35240423,male,0.0,0.0,14.3,20.0
35240425,female,33.3,0.0,9.7,0.0
35240425,male,0.0,0.0,10.0,33.3
35240427,female,25.0,0.0,11.7,3.6
35240427,male,0.0,0.0,9.3,2.6
35240428,female,40.0,50.0,15.6,17.6
35240428,male,25.0,0.0,20.0,9.1
35240429,female,50.0,33.3,18.8,13.3
35240429,male,60.0,0.0,20.0,11.1
35240431,female,0.0,0.0,4.8,16.7
35240431,male,0.0,...,4.5,0.0
35240432,female,0.0,0.0,7.4,0.0
35240432,male,14.3,0.0,7.7,6.3
35240433,female,0.0,0.0,4.9,0.0
35240433,male,7.7,0.0,2.7,0.0
35240436,female,25.0,0.0,11.1,14.3
35240436,male,25.0,0.0,5.6,0.0
35240437,female,14.3,0.0,3.2,17.2
35240437,male,0.0,0.0,3.7,20.0
35240438,female,11.1,0.0,2.6,0.0
35240438,male,8.3,0.0,2.6,0.0
35240439,female,12.5,0.0,6.7,0.0
35240439,male,11.1,0.0,6.3,11.1
35240440,female,16.7,0.0,9.7,20.0
35240440,male,28.6,50.0,7.4,0.0
35240441,female,16.7,25.0,8.9,7.7
35240441,male,0.0,0.0,8.7,10.0
35240442,female,0.0,0.0,7.1,10.0
35240442,male,0.0,0.0,10.7,14.3
35240443,female,0.0,0.0,4.9,0.0
35240443,male,7.7,0.0,5.6,0.0
35240444,female,12.5,25.0,17.2,14.3
35240444,male,10.0,50.0,12.1,20.0
35240445,female,33.3,100.0,18.6,20.0
35240445,male,20.0,33.3,16.3,14.3
35240446,female,40.0,100.0,15.2,3.6
35240446,male,20.0,50.0,12.9,5.6
35240447,female,57.1,0.0,13.5,20.0
35240447,male,37.5,33.3,13.6,12.5
35240448,female,9.1,0.0,2.9,9.1
35240448,male,0.0,0.0,5.4,11.1
35240449,female,16.7,0.0,10.0,0.0
35240449,male,14.3,0.0,5.3,0.0
35240450,female,18.2,25.0,15.0,11.1
35240450,male,16.7,25.0,13.3,0.0
35240451,female,18.2,0.0,7.9,16.7
35240451,male,8.3,0.0,10.0,0.0
35240452,female,11.1,0.0,0.0,0.0
35240452,male,0.0,0.0,4.2,0.0
35240453,female,7.7,0.0,5.7,0.0
35240453,male,15.4,0.0,2.7,0.0
35240455,female,0.0,0.0,10.0,12.7
35240455,male,20.0,0.0,13.0,4.0
35240459,female,0.0,0.0,4.5,11.1
35240459,male,0.0,0.0,0.0,0.0
35240460,female,0.0,0.0,3.6,0.0
35240460,male,0.0,0.0,3.8,0.0
35240461,female,0.0,0.0,0.0,0.0
35240461,male,0.0,0.0,0.0,0.0
35240462,female,0.0,0.0,4.3,5.6
35240462,male,0.0,0.0,0.0,0.0
35240463,female,0.0,0.0,7.5,6.7
35240463,male,8.3,0.0,5.6,8.3
35240464,female,0.0,0.0,5.3,14.3
35240464,male,0.0,...,0.0,0.0
35240465,female,16.7,0.0,9.6,8.8
35240465,male,14.3,0.0,9.1,0.0
35240466,female,20.0,25.0,11.6,9.5
35240466,male,12.5,0.0,10.0,0.0
35240467,female,0.0,0.0,3.1,8.0
35240467,male,0.0,0.0,3.2,0.0
35240468,female,0.0,0.0,3.0,0.0
35240468,male,0.0,0.0,6.7,0.0
35240469,female,11.1,0.0,6.3,7.7
35240469,male,0.0,0.0,10.0,0.0
35240470,female,7.7,0.0,5.4,0.0
35240470,male,0.0,0.0,2.9,0.0
35240471,female,0.0,20.0,0.0,11.1
35240471,male,0.0,0.0,6.3,11.1
35240472,female,6.7,0.0,2.3,0.0
35240472,male,7.7,25.0,5.3,0.0
35240473,female,9.1,0.0,3.0,9.1
35240473,male,7.1,0.0,6.7,11.1
35240474,female,0.0,0.0,0.0,6.7
35240474,male,7.1,0.0,0.0,0.0
35240475,female,0.0,0.0,5.3,0.0
35240475,male,0.0,33.3,2.7,0.0
35240476,female,11.8,0.0,6.3,0.0
35240476,male,6.7,0.0,3.1,0.0
35240477,female,0.0,0.0,2.4,7.7
35240477,male,0.0,33.3,2.8,9.1
35240478,female,0.0,0.0,4.8,0.0
35240478,male,0.0,0.0,0.0,0.0
35240479,female,0.0,0.0,6.7,43.5
35240479,male,0.0,0.0,0.0,38.5
35240480,female,30.4,50.0,18.3,16.7
35240480,male,34.6,14.3,10.4,9.1
35240481,female,11.1,0.0,6.7,11.1
35240481,male,10.0,0.0,6.9,14.3
35240482,female,0.0,0.0,4.5,5.0
35240482,male,15.4,0.0,4.7,0.0
35240483,female,0.0,0.0,3.0,7.7
35240483,male,0.0,0.0,3.3,0.0
35240484,female,14.3,12.5,4.8,0.0
35240484,male,13.0,0.0,6.1,0.0
35240485,female,0.0,0.0,0.0,0.0
35240485,male,0.0,0.0,0.0,0.0
35240486,female,9.1,0.0,2.8,0.0
35240486,male,14.3,0.0,2.6,0.0
35240487,female,0.0,0.0,0.0,0.0
35240487,male,0.0,0.0,0.0,0.0
35240488,female,7.4,0.0,3.6,0.0
35240488,male,10.0,0.0,3.7,0.0
35240489,female,0.0,0.0,7.4,0.0
35240489,male,0.0,0.0,4.0,0.0
35240490,female,0.0,0.0,5.9,0.0
35240490,male,14.3,0.0,11.1,0.0
35240491,female,8.3,0.0,0.0,0.0
35240491,male,0.0,0.0,2.9,0.0
35240492,female,9.1,0.0,4.9,14.3
35240492,male,0.0,0.0,5.3,0.0
35240493,female,40.0,100.0,10.3,1.9
35240493,male,25.0,0.0,11.5,0.0
35240494,female,0.0,50.0,3.3,0.0
35240494,male,0.0,0.0,0.0,0.0
35240495,female,11.1,0.0,6.9,44.4
35240495,male,9.1,33.3,10.3,37.5
35240496,female,0.0,0.0,8.3,0.0
35240496,male,7.7,0.0,3.8,0.0
35240497,female,0.0,0.0,3.3,0.0
35240497,male,10.0,0.0,3.3,0.0
35240498,female,0.0,0.0,0.0,0.0
35240498,male,0.0,0.0,4.5,0.0
35240499,female,0.0,0.0,0.0,0.0
35240499,male,0.0,0.0,5.3,0.0
35240501,female,0.0,0.0,0.0,0.0
35240501,male,0.0,0.0,7.1,0.0
35240503,female,16.7,0.0,7.4,0.0
35240503,male,0.0,0.0,6.5,0.0
35240504,female,10.0,0.0,3.6,0.0
35240504,male,0.0,0.0,3.8,0.0
35240505,female,38.9,66.7,15.4,0.0
35240505,male,33.3,0.0,9.1,0.0
35240506,female,12.5,0.0,8.0,0.0
35240506,male,8.3,0.0,7.4,0.0
35240507,female,11.1,25.0,9.4,0.0
35240507,male,0.0,0.0,9.7,0.0
35240508,female,6.3,0.0,8.7,9.1
35240508,male,5.9,0.0,6.4,0.0
35240509,female,9.1,0.0,5.0,6.7
35240509,male,16.7,0.0,3.1,9.1
35240512,female,50.0,0.0,13.6,7.7
35240512,male,20.0,100.0,19.0,12.5
35240513,female,0.0,0.0,6.9,6.3
35240513,male,12.5,25.0,7.7,0.0
35240516,female,10.0,0.0,2.8,0.0
35240516,male,7.1,0.0,2.9,0.0
35240517,female,0.0,0.0,0.0,9.1
35240517,male,0.0,0.0,0.0,12.5
35240518,female,8.3,0.0,5.4,0.0
35240518,male,13.3,0.0,5.0,0.0
35240519,female,0.0,0.0,4.2,0.0
35240519,male,0.0,0.0,3.8,0.0
35240520,female,9.1,0.0,6.4,6.7
35240520,male,14.3,0.0,4.5,7.1
35240521,female,7.7,0.0,2.6,0.0
35240521,male,0.0,0.0,2.7,0.0
35240522,female,0.0,0.0,0.0,0.0
35240522,male,0.0,0.0,0.0,0.0
35240523,female,10.0,0.0,0.0,0.0
35240523,male,0.0,0.0,3.7,0.0
35240524,female,12.5,0.0,6.9,0.0
35240524,male,15.4,0.0,7.7,8.3
35240525,female,7.1,0.0,2.7,0.0
35240525,male,7.7,0.0,3.0,0.0
35240526,female,0.0,0.0,0.0,0.0
35240526,male,0.0,0.0,0.0,0.0
35240528,female,0.0,0.0,3.4,0.0
35240528,male,11.1,0.0,6.7,0.0
35240529,female,0.0,0.0,3.2,0.0
35240529,male,10.0,0.0,3.1,0.0
35240530,female,0.0,0.0,3.6,0.0
35240530,male,0.0,0.0,0.0,0.0
35240531,female,0.0,0.0,0.0,0.0
35240531,male,0.0,0.0,0.0,0.0
35240532,female,0.0,0.0,4.7,6.7
35240532,male,12.5,14.3,3.6,0.0
35240533,female,16.7,0.0,8.3,0.0
35240533,male,10.0,25.0,4.3,0.0
35240534,female,30.8,20.0,10.3,25.0
35240534,male,28.6,33.3,12.1,25.0
35240535,female,14.3,0.0,6.9,11.1
35240535,male,10.0,0.0,9.4,0.0
35240536,female,16.7,0.0,9.5,4.3
35240536,male,22.2,20.0,9.8,0.0
35240537,female,9.1,0.0,7.1,0.0
35240537,male,10.0,25.0,7.3,0.0
35240538,female,44.0,25.0,22.1,10.0
35240538,male,42.9,28.6,13.6,0.0
35240539,female,12.5,0.0,5.3,0.0
35240539,male,20.0,0.0,4.2,9.1
35240540,female,0.0,0.0,3.6,12.5
35240540,male,10.0,33.3,3.7,0.0
35240541,female,12.5,0.0,3.7,0.0
35240541,male,9.1,0.0,3.6,0.0
35240542,female,0.0,0.0,6.1,6.3
35240542,male,0.0,0.0,4.0,0.0
35240543,female,0.0,0.0,0.0,0.0
35240543,male,11.1,0.0,0.0,7.1
35240544,female,20.0,0.0,10.0,0.0
35240544,male,28.6,50.0,5.9,0.0
