geo_code,,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
35240491,female,60,65,0,55,0,10,0
35240491,male,45,75,10,80,0,10,0
35240492,female,90,85,10,70,0,0,0
35240492,male,60,60,0,45,0,10,0
35240493,female,165,90,0,40,0,0,0
35240493,male,55,55,10,55,0,10,0
35240494,female,95,40,10,45,0,10,0
35240494,male,75,55,0,40,0,10,0
35240495,female,85,80,0,50,0,0,0
35240495,male,85,70,20,45,0,0,0
35240496,female,70,75,0,10,0,15,0
35240496,male,45,30,0,30,0,0,0
35240497,female,85,50,10,40,0,10,10
35240497,male,70,35,10,40,0,10,10
35240498,female,50,40,10,30,0,20,0
35240498,male,70,25,0,10,0,0,10
35240499,female,50,35,0,35,0,10,0
35240499,male,40,30,0,15,0,0,0
35240501,female,35,40,0,20,0,10,0
35240501,male,10,35,0,25,0,0,0
35240503,female,70,45,10,35,0,0,0
35240503,male,60,65,0,30,0,0,0
35240504,female,55,45,0,35,0,10,0
35240504,male,45,35,0,35,0,15,0
35240505,female,60,55,15,55,0,15,0
35240505,male,60,30,10,30,0,15,0
35240506,female,65,50,0,30,0,0,0
35240506,male,60,55,10,25,0,10,0
35240507,female,60,75,10,50,0,0,0
35240507,male,55,50,0,30,0,10,0
35240508,female,55,60,10,80,0,15,0
35240508,male,85,60,10,45,0,10,10
35240509,female,90,90,0,30,0,0,0
35240509,male,55,30,0,25,10,10,0
35240512,female,45,25,0,55,0,10,0
35240512,male,35,20,0,35,0,10,0
35240513,female,60,50,25,25,0,10,0
35240513,male,65,15,10,20,0,15,0
35240516,female,65,50,20,90,10,0,10
35240516,male,60,40,15,55,10,50,0
35240517,female,65,65,10,45,0,0,0
35240517,male,55,50,0,20,0,20,10
35240518,female,90,60,10,75,0,25,0
35240518,male,80,45,0,80,0,20,0
35240519,female,55,30,10,35,0,10,0
35240519,male,35,50,10,20,0,10,0
35240520,female,85,100,10,70,0,25,0
35240520,male,50,85,0,55,0,25,0
35240521,female,70,45,0,90,0,0,0
35240521,male,65,30,10,55,0,10,0
35240522,female,30,15,0,70,10,0,0
35240522,male,50,20,0,55,0,10,10
35240523,female,50,25,0,65,15,25,0
35240523,male,55,30,0,40,0,20,0
35240524,female,55,55,0,70,10,25,0
35240524,male,50,35,10,80,10,20,0
35240525,female,50,65,10,85,10,15,0
35240525,male,40,50,10,50,0,30,10
35240526,female,20,30,0,55,0,0,0
35240526,male,30,35,0,15,0,0,0
35240528,female,40,55,0,30,0,0,0
35240528,male,35,30,10,35,0,15,0
35240529,female,60,55,10,20,0,20,0
35240529,male,45,45,10,30,0,0,0
35240530,female,75,40,0,55,0,0,0
35240530,male,50,60,10,40,0,10,0
35240531,female,55,60,15,30,0,15,10
35240531,male,45,70,0,25,0,10,10
35240532,female,125,195,10,90,0,30,0
35240532,male,145,130,10,75,0,35,10
35240533,female,55,30,10,30,0,10,0
35240533,male,40,30,0,25,0,15,0
35240534,female,60,60,10,25,0,0,0
35240534,male,70,60,15,10,0,10,0
35240535,female,40,60,0,35,0,10,0
35240535,male,75,60,10,25,0,0,0
35240536,female,95,60,0,90,0,30,10
35240536,male,115,45,10,50,0,30,10
35240537,female,55,65,10,75,15,25,10
35240537,male,75,35,0,55,0,15,0
35240538,female,175,150,0,70,0,10,0
35240538,male,115,105,0,40,0,10,0
35240539,female,110,115,10,55,0,15,0
35240539,male,85,75,20,75,0,15,0
35240540,female,40,30,15,50,0,10,10
35240540,male,45,45,10,45,0,0,0
35240541,female,65,20,0,50,0,10,0
35240541,male,55,30,10,45,10,10,10
35240542,female,75,85,10,40,0,10,0
35240542,male,55,35,10,40,0,10,0
35240543,female,45,60,10,65,0,20,10
35240543,male,80,50,10,45,10,0,10
35240544,female,50,60,0,35,0,30,10
35240544,male,35,40,10,40,0,0,0
35240545,female,70,130,15,105,0,15,0
35240545,male,80,100,0,90,0,10,10
35240546,female,60,95,15,40,0,20,0
35240546,male,75,75,20,15,0,0,0
35240590,female,105,145,10,115,0,50,10
35240590,male,90,85,0,85,0,30,15
35240591,female,115,120,25,95,0,15,0
35240591,male,140,90,25,35,10,15,0
35240592,female,285,230,15,95,10,30,0
35240592,male,220,185,0,95,0,35,0
35240593,female,150,145,0,105,0,25,0
35240593,male,170,145,15,100,0,20,10
35240594,female,95,100,0,35,0,15,0
35240594,male,135,70,10,20,0,0,0
35240595,female,145,110,25,70,0,20,0
35240595,male,120,115,0,45,0,10,0
35240596,female,265,185,15,115,15,35,0
35240596,male,180,100,15,55,15,25,10
35240598,female,345,280,35,190,15,65,15
35240598,male,195,180,10,140,10,110,15
35240641,female,45,30,10,45,10,20,10
35240641,male,65,40,10,25,15,15,0
35240642,female,55,55,0,50,0,15,0
35240642,male,25,55,0,55,10,15,0
35240643,female,65,50,10,50,0,20,0
35240643,male,85,30,20,55,0,15,0
35240644,female,75,65,0,60,15,0,0
35240644,male,70,50,0,15,10,25,0
35240645,female,60,25,10,35,0,0,0
35240645,male,55,35,10,35,0,10,0
35240647,female,80,90,10,45,10,10,0
35240647,male,50,60,10,60,10,15,0
35240648,female,85,130,0,60,0,20,0
35240648,male,90,70,15,30,0,0,0
35240649,female,95,90,15,45,0,25,0
35240649,male,60,70,10,50,0,10,0
35240650,female,95,75,0,70,0,40,0
35240650,male,75,85,10,95,0,25,20
35240651,female,40,50,0,70,0,15,0
35240651,male,40,50,0,35,0,25,0
35240654,female,70,40,0,75,10,10,0
35240654,male,90,45,0,55,0,20,0
35240655,female,155,145,35,120,0,45,0
35240655,male,110,105,25,175,15,50,0
35240656,female,25,25,0,65,0,10,0
35240656,male,40,20,0,45,0,15,0
35240659,female,135,80,10,85,0,25,0
35240659,male,65,35,0,55,0,25,0
35240660,female,50,85,0,65,10,20,0
35240660,male,60,55,10,40,0,15,0
35240661,female,35,50,0,65,0,15,0
35240661,male,55,60,0,50,0,25,0
35240662,female,220,290,15,190,10,35,10
35240662,male,185,145,15,210,10,65,10
35240663,female,60,35,10,90,0,20,0
35240663,male,45,40,15,75,0,10,0
35240664,female,65,50,0,75,0,10,10
35240664,male,55,35,10,60,0,30,0
35240665,female,60,50,0,50,10,20,10
35240665,male,45,30,0,80,0,10,10
35240666,female,110,160,0,95,0,20,0
35240666,male,105,70,10,65,0,15,10
35240667,female,60,50,10,90,0,25,0
35240667,male,50,45,0,75,0,10,0
35240668,female,40,45,0,55,0,25,0
35240668,male,70,40,0,35,0,15,10
35240669,female,60,90,10,115,0,40,0
35240669,male,110,85,10,70,10,15,15
35240670,female,30,60,0,95,10,20,0
35240670,male,65,35,0,95,0,25,0
35240671,female,25,55,0,90,10,10,0
35240671,male,50,35,15,60,0,10,10
35240672,female,80,95,10,60,0,30,0
35240672,male,45,75,20,80,0,15,0
35240673,female,20,40,0,70,0,10,0
35240673,male,35,25,0,35,0,10,10
35240674,female,55,60,0,85,0,25,0
35240674,male,45,30,10,90,0,15,0
35240675,female,75,75,10,155,0,40,10
35240675,male,100,90,0,115,0,45,10
35240676,female,70,100,0,100,10,40,15
35240676,male,45,75,15,105,10,30,10
35240677,female,20,35,10,55,0,10,0
35240677,male,50,30,10,60,0,10,10
35240678,female,190,180,10,155,0,50,10
35240678,male,130,115,0,110,10,55,0
35240679,female,50,50,10,85,0,15,10
35240679,male,75,60,0,65,0,25,0
35240680,female,110,100,10,155,10,30,0
35240680,male,135,105,10,90,0,30,0
35240681,female,70,70,0,50,0,30,0
35240681,male,55,55,0,40,0,20,0
35240682,female,85,70,10,60,0,15,0
35240682,male,80,40,10,65,0,10,0
35240683,female,60,95,0,60,0,15,10
35240683,male,60,65,20,35,0,15,0
35240684,female,80,80,0,80,0,25,0
35240684,male,55,70,0,35,0,25,0
35240685,female,80,100,10,145,0,50,0
35240685,male,100,75,15,115,10,40,10
35240686,female,95,70,0,130,0,55,0
35240686,male,75,80,0,115,10,65,10
35240756,female,60,55,0,90,10,20,0
35240756,male,60,45,10,70,0,30,0
35240757,female,30,55,0,80,0,20,0
35240757,male,40,50,10,65,0,0,0
35240758,female,140,65,20,120,0,35,0
35240758,male,85,70,15,105,10,40,0
35240759,female,80,85,10,45,0,10,0
35240759,male,75,50,20,65,0,15,0
35240780,female,90,100,10,150,0,30,0
35240780,male,115,60,0,80,0,35,15
35240782,female,70,65,10,90,0,15,0
35240782,male,75,65,0,80,0,20,0
35240783,female,30,35,10,45,0,10,10
35240783,male,25,45,0,35,0,20,0
35240785,female,75,65,0,100,10,30,10
35240785,male,65,55,10,120,10,35,0
35240807,female,115,130,15,60,0,20,10
35240807,male,80,75,10,50,10,15,0
35240808,female,155,150,10,75,10,20,0
35240808,male,65,90,10,50,0,35,15
35240809,female,10,20,0,0,0,0,0
35240809,male,10,20,0,0,0,0,0
35240898,female,225,275,0,350,0,70,15
35240898,male,260,295,25,245,0,55,10
35240903,female,x,x,x,x,x,x,x
35240903,male,x,x,x,x,x,x,x
35240904,female,155,135,0,130,10,55,10
35240904,male,165,130,15,110,0,70,10
35250030,female,55,30,0,40,0,10,0
35250030,male,40,60,0,20,0,0,10
35250031,female,30,65,0,25,0,20,10
35250031,male,45,40,0,15,0,10,15
35250032,female,75,45,0,55,10,25,10
35250032,male,75,60,0,40,15,35,0
35250033,female,45,35,10,65,10,15,10
35250033,male,45,50,0,45,15,25,10
35250034,female,90,95,0,35,0,20,10
35250034,male,75,45,0,45,0,10,0
35250035,female,25,45,0,50,0,35,0
35250035,male,65,25,0,15,0,15,0
35250036,female,35,45,20,55,0,25,10
35250036,male,50,40,0,35,10,0,20
35250037,female,40,45,0,50,10,10,10
35250037,male,45,40,0,35,10,15,20
35250038,female,125,80,0,50,20,15,10
35250038,male,70,50,0,40,10,10,0
35250039,female,75,60,20,30,0,0,0
35250039,male,40,20,0,10,0,0,0
35250040,female,70,55,10,25,0,15,10
35250040,male,35,10,20,30,10,15,0
35250041,female,60,80,0,25,0,15,0
35250041,male,50,70,0,10,0,10,0
35250042,female,20,35,0,0,0,0,0
35250042,male,25,20,0,0,0,0,0
35250043,female,100,55,10,60,0,25,0
35250043,male,85,45,0,25,10,15,0
35250044,female,40,50,0,15,0,35,0
35250044,male,35,40,10,50,0,10,10
35250045,female,45,50,15,15,0,30,10
35250045,male,35,50,0,35,0,15,0
35250046,female,50,40,0,50,0,25,0
35250046,male,45,30,0,60,0,10,15
35250047,female,70,40,0,70,0,65,10
35250047,male,50,40,10,45,10,15,25
35250048,female,15,30,0,35,0,20,0
35250048,male,20,10,0,55,0,0,15
35250049,female,60,20,10,35,0,10,10
35250049,male,55,25,0,15,0,15,0
35250050,female,40,90,0,50,0,0,0
35250050,male,35,20,0,45,0,10,0
35250051,female,145,130,30,160,0,55,20
35250051,male,115,90,10,130,15,50,25
35250052,female,35,35,0,30,0,15,0
35250052,male,20,25,0,35,0,15,0
35250053,female,60,50,10,70,10,40,0
35250053,male,45,35,0,70,15,45,20
35250054,female,35,70,0,25,0,20,0
35250054,male,45,15,0,15,0,30,10
35250055,female,55,60,10,105,10,30,15
35250055,male,70,50,15,65,0,10,10
35250056,female,25,20,0,15,0,15,0
35250056,male,30,30,0,20,0,10,0
35250059,female,135,70,15,145,0,25,10
35250059,male,105,80,15,85,10,45,15
35250060,female,55,55,0,80,15,50,0
35250060,male,65,35,15,55,0,30,0
35250061,female,55,45,0,55,10,10,0
35250061,male,30,30,0,50,0,20,15
35250062,female,50,60,0,70,10,15,0
35250062,male,65,30,0,60,0,35,0
35250064,female,70,65,10,90,10,30,15
35250064,male,90,50,20,80,10,15,10
35250065,female,40,30,0,90,10,30,10
35250065,male,35,45,10,60,15,35,10
35250066,female,55,25,10,55,0,20,10
35250066,male,40,15,10,30,0,35,0
35250067,female,65,75,10,60,0,25,10
35250067,male,40,75,10,60,0,20,10
35250070,female,60,45,0,40,0,15,0
35250070,male,50,40,0,25,0,20,0
35250073,female,40,80,10,40,0,0,0
35250073,male,40,40,0,20,0,10,0
35250074,female,25,30,0,35,0,0,10
35250074,male,40,25,0,25,0,0,10
35250075,female,55,60,10,20,10,10,0
35250075,male,70,55,0,10,0,10,0
35250077,female,125,50,10,40,0,15,0
35250077,male,60,30,0,25,0,10,0
35250078,female,55,40,10,10,0,25,10
35250078,male,35,35,0,20,0,20,0
35250079,female,30,25,10,0,0,0,0
35250079,male,30,35,10,0,0,0,0
35250080,female,90,45,10,45,0,10,0
35250080,male,65,50,10,15,0,20,0
35250081,female,135,120,10,50,10,10,0
35250081,male,135,60,10,45,0,0,10
35250082,female,20,30,10,15,0,10,0
35250082,male,10,25,10,10,0,10,0
35250083,female,55,65,20,50,0,15,0
35250083,male,50,30,10,55,0,10,0
35250084,female,45,25,0,15,0,0,0
35250084,male,45,25,10,0,0,10,0
35250085,female,40,40,0,20,10,0,0
35250085,male,30,25,0,10,0,0,0
35250086,female,60,55,10,30,0,10,0
35250086,male,40,25,0,20,0,0,0
35250087,female,55,60,20,45,0,0,0
35250087,male,65,30,10,30,0,20,10
35250088,female,50,55,0,30,0,10,0
35250088,male,35,30,0,60,0,15,0
35250089,female,100,80,10,20,0,0,0
35250089,male,50,45,10,20,0,0,0
35250093,female,75,70,10,10,0,10,0
35250093,male,75,60,0,10,0,15,0
35250094,female,55,65,0,20,0,0,0
35250094,male,30,50,10,10,0,0,0
35250095,female,40,40,15,50,0,10,0
35250095,male,55,70,10,30,0,10,10
35250096,female,75,80,0,40,0,0,0
35250096,male,65,60,10,25,0,0,0
35250097,female,30,55,0,35,0,0,0
35250097,male,25,20,0,55,0,10,0
35250098,female,30,10,10,35,0,10,0
35250098,male,35,15,0,35,0,15,0
35250099,female,60,120,10,60,10,25,0
35250099,male,95,80,10,65,0,20,10
35250100,female,55,75,0,55,0,10,0
35250100,male,50,60,10,20,0,0,10
35250101,female,45,45,10,50,0,25,0
35250101,male,55,35,0,30,0,15,0
35250102,female,20,25,0,15,0,15,0
35250102,male,25,15,10,30,0,10,10
35250105,female,60,40,15,35,0,35,0
35250105,male,65,75,10,30,10,0,0
35250106,female,55,65,10,35,10,0,0
35250106,male,35,50,0,15,0,10,0
35250107,female,65,50,0,45,0,20,0
35250107,male,55,55,0,30,0,10,0
35250108,female,55,45,20,20,0,15,0
35250108,male,50,60,10,15,0,15,10
35250109,female,60,70,15,65,0,25,10
35250109,male,65,65,0,45,10,20,0
35250110,female,55,70,0,45,0,15,0
35250110,male,70,60,0,20,0,0,10
35250111,female,115,75,0,30,0,0,10
35250111,male,55,15,0,20,0,15,0
35250112,female,55,60,0,0,0,0,0
35250112,male,30,45,10,10,0,0,0
35250113,female,40,25,0,25,0,0,0
35250113,male,40,30,15,15,0,10,0
35250114,female,15,35,0,30,0,10,0
35250114,male,40,45,0,15,0,10,0
35250115,female,195,200,20,90,0,20,0
35250115,male,150,135,0,70,0,10,0
35250116,female,130,90,10,35,0,0,0
35250116,male,100,70,0,25,0,0,0
35250117,female,20,30,0,10,0,0,0
35250117,male,25,15,0,10,0,0,0
35250118,female,65,50,0,25,0,0,0
