,geo_code,married,common_law,not_married_or_common_law,never_married,separated,divorced,widowed
510,35250330,120,30,220,140,20,35,35
511,35250331,105,40,185,135,20,15,20
512,35250332,205,55,235,140,15,40,40
513,35250333,210,70,255,160,15,40,45
514,35250334,170,60,235,125,25,50,40
515,35250335,145,40,185,125,5,25,35
516,35250336,215,50,185,125,15,20,30
517,35250337,220,85,405,200,50,70,80
518,35250338,145,110,390,210,50,85,45
519,35250339,210,50,210,125,15,40,30
520,35250340,95,30,110,75,5,20,15
521,35250341,170,70,340,195,20,80,40
522,35250342,160,55,210,135,15,30,25
523,35250343,215,40,180,110,15,20,35
524,35250344,210,50,175,110,10,20,40
525,35250345,150,45,135,90,10,10,25
526,35250346,180,35,150,100,10,15,25
527,35250347,175,45,170,100,15,30,30
528,35250348,265,25,195,140,10,15,30
529,35250349,190,40,155,95,10,25,20
530,35250350,180,40,310,180,30,70,35
531,35250351,125,20,195,80,15,40,60
532,35250352,175,50,245,165,20,35,30
533,35250353,165,50,270,130,30,65,45
534,35250354,280,45,160,105,15,25,20
535,35250355,240,65,200,110,15,30,50
536,35250356,265,50,220,140,15,35,35
537,35250357,200,45,175,105,20,25,25
538,35250358,220,55,215,115,20,40,35
539,35250359,170,50,180,115,10,25,25
540,35250360,200,60,175,115,10,15,30
541,35250361,185,55,180,115,15,25,35
542,35250362,160,55,200,120,25,35,25
543,35250363,105,55,200,125,20,40,10
544,35250364,50,15,150,90,20,30,10
545,35250365,220,105,515,260,45,140,75
546,35250366,135,120,395,235,35,90,35
547,35250367,180,55,205,140,20,35,10
548,35250368,135,70,240,145,25,45,25
549,35250369,180,40,200,120,20,30,30
550,35250370,120,45,185,110,25,40,15
551,35250371,175,65,185,115,10,35,20
552,35250372,200,60,200,135,10,20,25
553,35250373,165,40,175,105,25,30,20
554,35250374,185,45,190,120,15,25,25
555,35250375,190,55,185,100,20,40,25
556,35250376,175,50,175,115,10,30,20
557,35250377,225,35,230,155,20,25,35
558,35250378,155,50,200,125,20,40,20
559,35250379,120,35,160,90,5,30,30
560,35250380,190,45,150,100,10,25,10
561,35250381,190,35,175,105,10,30,25
562,35250382,195,40,185,120,10,30,25
563,35250383,160,45,325,185,35,55,50
564,35250384,125,25,235,180,15,25,10
565,35250385,170,35,200,140,10,30,20
566,35250387,215,25,135,105,5,15,10
567,35250388,240,40,135,95,5,20,10
568,35250389,165,45,125,95,10,20,5
569,35250390,160,60,220,160,20,30,10
570,35250391,140,75,245,160,25,40,15
571,35250392,175,45,240,165,15,45,15
572,35250393,85,70,255,175,30,45,5
573,35250394,135,140,385,290,30,60,10
574,35250395,170,90,365,205,25,75,55
575,35250396,150,60,325,195,30,45,50
576,35250397,115,100,285,235,15,30,5
577,35250398,10,10,250,165,20,60,5
578,35250399,60,15,650,320,60,180,90
579,35250400,150,60,395,280,35,50,30
580,35250401,125,90,350,250,30,55,10
581,35250402,120,80,245,185,20,25,15
582,35250403,150,100,350,230,20,75,25
583,35250404,150,50,175,120,15,20,25
584,35250405,125,55,180,130,10,25,20
585,35250406,95,100,420,310,25,55,25
586,35250407,140,60,375,230,20,65,55
587,35250408,110,45,250,175,10,30,25
588,35250409,90,40,205,125,20,30,30
589,35250410,110,40,225,140,20,45,20
590,35250411,170,45,205,135,20,40,15
