,geo_code,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2010,2011 to 2016
157,35240494,0,165,0,0,0,0,0
158,35240495,30,225,40,10,0,0,0
159,35240496,20,140,0,0,0,0,0
160,35240497,0,55,75,20,0,0,0
161,35240498,0,135,0,0,0,0,0
162,35240499,20,85,0,0,0,0,0
163,35240501,10,85,0,0,0,0,0
164,35240503,15,145,10,0,0,0,0
165,35240504,25,140,0,0,0,0,0
166,35240505,75,110,15,10,0,0,10
167,35240506,25,145,0,0,0,0,0
168,35240507,85,105,0,0,0,0,0
169,35240508,130,80,10,0,25,10,10
170,35240509,85,125,20,15,0,10,0
171,35240512,20,100,15,10,15,20,0
172,35240513,0,125,55,10,0,10,0
173,35240516,60,160,0,0,0,15,0
174,35240517,15,160,0,0,0,0,0
175,35240518,45,215,0,0,0,0,0
176,35240519,30,110,10,0,0,0,0
177,35240520,40,190,15,0,10,0,15
178,35240521,50,145,10,0,10,20,0
179,35240522,35,120,10,0,0,0,0
180,35240523,80,55,10,0,0,0,10
181,35240524,65,70,10,10,10,15,10
182,35240525,80,90,25,0,0,0,0
183,35240526,0,95,0,0,0,0,0
184,35240528,0,110,30,0,0,0,0
185,35240529,0,15,135,10,0,0,0
186,35240530,0,75,70,0,0,0,0
187,35240531,0,75,60,0,0,0,0
188,35240532,10,40,155,175,155,20,0
189,35240533,0,110,0,0,0,0,0
190,35240534,45,45,40,25,0,0,0
191,35240535,90,70,0,10,0,0,0
192,35240536,55,165,80,45,0,0,0
193,35240537,40,40,25,20,0,10,105
194,35240538,75,75,80,105,25,40,0
195,35240539,0,45,180,95,65,15,10
196,35240540,0,0,110,40,0,0,0
197,35240541,30,10,85,15,0,0,0
198,35240542,0,10,175,50,0,0,0
199,35240543,15,0,20,145,10,10,0
200,35240544,35,10,65,80,10,0,0
201,35240545,10,275,40,10,0,0,0
202,35240546,15,260,25,20,0,0,0
203,35240590,185,280,100,15,0,0,0
204,35240591,200,220,50,45,0,0,15
205,35240592,55,565,160,90,20,0,10
206,35240593,160,195,35,45,25,15,15
207,35240594,30,220,40,0,0,0,0
208,35240595,55,420,35,10,0,0,0
209,35240596,140,435,140,75,20,10,0
210,35240598,55,470,260,325,15,20,150
211,35240641,45,80,25,0,10,0,10
212,35240642,40,75,20,20,10,0,0
213,35240643,65,90,25,25,10,15,0
214,35240644,40,100,15,0,0,15,0
215,35240645,25,70,10,10,15,20,15
216,35240647,50,90,25,15,0,10,30
217,35240648,0,10,70,235,20,0,10
218,35240649,0,10,90,125,0,0,0
219,35240650,10,20,100,125,10,0,0
220,35240651,0,0,10,115,50,20,0
221,35240654,0,0,0,30,120,15,0
222,35240655,0,10,15,270,120,75,0
223,35240656,0,0,0,110,10,0,0
224,35240659,0,30,85,205,35,15,15
225,35240660,0,10,10,25,150,45,10
226,35240661,0,0,0,140,15,0,0
227,35240662,0,10,15,315,200,280,120
228,35240663,0,0,15,150,15,0,0
229,35240664,0,10,70,40,95,10,10
230,35240665,0,0,10,135,20,0,0
231,35240666,0,0,0,125,195,135,10
232,35240667,0,0,10,155,55,10,0
233,35240668,0,0,0,110,50,10,0
234,35240669,0,0,0,260,50,10,0
235,35240670,0,0,0,40,125,45,10
236,35240671,0,0,0,20,105,85,0
