,geo_code,owner,renter,band housing
878,35250733,205,25,0
879,35250734,120,145,0
880,35250735,160,25,0
881,35250736,205,10,0
882,35250737,180,15,0
883,35250738,165,35,0
884,35250739,155,75,0
885,35250740,195,45,0
886,35250741,225,10,0
887,35250742,195,35,0
888,35250743,170,20,0
889,35250744,250,60,0
890,35250745,150,30,0
891,35250746,160,10,0
892,35250747,95,60,0
893,35250748,160,25,0
894,35250749,145,30,0
895,35250750,170,55,0
896,35250753,170,20,0
897,35250754,150,25,0
898,35250755,135,45,0
899,35250756,180,25,0
900,35250757,190,40,0
901,35250758,145,25,0
902,35250759,165,35,0
903,35250760,130,65,0
904,35250761,155,60,0
905,35250762,140,125,0
906,35250763,200,30,0
907,35250764,150,45,0
908,35250765,155,60,0
909,35250766,165,65,0
910,35250767,125,50,0
911,35250768,145,40,0
912,35250769,175,40,0
913,35250770,50,210,0
914,35250771,140,80,0
915,35250772,95,95,0
916,35250773,140,90,0
917,35250774,160,35,0
918,35250775,120,95,0
919,35250776,140,45,0
920,35250777,160,70,0
921,35250778,170,20,0
922,35250779,135,30,0
923,35250780,140,45,0
924,35250781,150,55,0
925,35250782,130,55,0
926,35250783,140,95,0
927,35250784,165,35,0
928,35250785,175,40,0
929,35250786,180,20,0
930,35250787,250,80,0
931,35250788,175,55,0
932,35250789,200,25,0
933,35250790,210,20,0
934,35250791,155,30,0
935,35250792,125,80,0
936,35250793,175,0,0
937,35250798,50,75,0
938,35250799,70,90,0
939,35250800,150,50,0
940,35250801,250,205,0
941,35250802,135,65,0
942,35250803,145,35,0
943,35250804,835,70,0
944,35250805,350,70,0
945,35250806,115,20,0
946,35250807,335,25,0
947,35250810,320,20,0
948,35250812,130,30,0
949,35250813,190,10,0
950,35250814,160,0,0
951,35250815,535,35,0
952,35250826,280,55,0
953,35250827,120,10,0
954,35250828,100,25,0
955,35250829,155,100,0
956,35250830,165,80,0
957,35250831,360,250,0
958,35250832,0,175,0
959,35250833,120,10,0
960,35250834,155,0,0
961,35250835,145,30,0
962,35250836,140,35,0
963,35250843,275,95,0
964,35250845,80,890,0
965,35250846,35,650,0
966,35250847,20,250,0
967,35250848,200,220,0
968,35250849,400,10,0
969,35250850,180,325,0
970,35250851,90,975,0
971,35250852,145,725,0
972,35250853,55,415,0
973,35250854,0,520,0
974,35250855,40,425,0
975,35250857,185,25,0
976,35250859,175,115,0
977,35250860,445,155,0
978,35250861,135,10,0
979,35250862,195,10,0
980,35250863,120,0,0
981,35250864,145,65,0
982,35250865,195,20,0
983,35250866,165,20,0
984,35250867,170,0,0
985,35250868,115,10,0
986,35250869,175,10,0
987,35250870,250,30,0
988,35250871,175,10,0
989,35250872,220,15,0
990,35250873,235,10,0
991,35250874,215,15,0
992,35250875,215,30,0
993,35250876,120,15,0
994,35250877,160,10,0
995,35250878,165,15,0
996,35250879,175,115,0
997,35250880,110,125,0
998,35250881,80,220,0
999,35250882,275,60,0
1000,35250883,190,10,0
1001,35250884,175,10,0
1002,35250885,170,0,0
1003,35250886,155,15,0
1004,35250887,210,20,0
1005,35250888,170,10,0
1006,35250889,175,10,0
1007,35250890,140,0,0
1008,35250891,140,0,0
1009,35250892,830,115,0
1010,35250893,175,10,0
1011,35250894,160,15,0
1012,35250895,195,15,0
1013,35250896,145,15,0
1014,35250897,200,0,0
1015,35250898,125,30,0
1016,35250899,135,25,0
1017,35250900,125,10,0
1018,35250901,180,15,0
1019,35250902,170,10,0
1020,35250903,215,20,0
1021,35250904,195,10,0
1022,35250905,200,15,0
1023,35250906,165,10,0
1024,35250907,115,25,0
1025,35250908,155,20,0
1026,35250909,510,40,0
1027,35250910,425,0,0
1028,35250911,185,0,0
1029,35250912,195,10,0
1030,35250913,240,20,0
1031,35250914,175,20,0
1032,35250918,1080,25,0
1033,35250919,205,10,0
1034,35250920,410,15,0
1035,35250921,250,40,0
1036,35250922,210,25,0
1037,35250923,135,30,0
1038,35250924,135,20,0
1039,35250925,190,15,0
1040,35250928,155,10,0
1041,35250929,210,20,0
1042,35250930,195,20,0
1043,35250931,205,10,0
1044,35250932,230,10,0
1045,35250933,155,10,0
1046,35250934,135,20,0
1047,35250935,525,10,0
1048,35250936,145,15,0
1049,35250937,355,15,0
1050,35250938,260,10,0
1051,35250939,210,10,0
1052,35250940,165,0,0
1053,35250941,245,30,0
1054,35250942,145,30,0
1055,35250943,320,15,0
1056,35250944,160,10,0
1057,35250945,205,20,0
1058,35250946,210,10,0
1059,35250947,175,65,0
1060,35250948,345,65,0
1061,35250949,165,0,0
1062,35250950,145,10,0
1063,35250951,175,0,0
1064,35250952,700,40,0
1065,35250953,50,95,0
1066,35250954,95,75,0
1067,35250955,0,135,0
1068,35250956,35,465,0
1069,35250957,85,155,0
1070,35250958,75,150,0
1071,35250959,60,150,0
1072,35250960,70,115,0
1073,35250961,80,100,0
1074,35250962,85,210,0
1075,35250963,320,1240,0
1076,35250964,205,90,0
1077,35250965,95,90,0
1078,35250966,x,x,x
1079,35250967,180,0,0
1080,35250968,90,70,0
1081,35250969,125,65,0
1082,35250970,30,205,0
1083,35250971,155,15,0
1084,35250972,140,20,0
1085,35250973,135,30,0
1086,35250974,115,10,0
1087,35250975,145,10,0
1088,35250976,110,10,0
1089,35250978,705,30,0
1090,35250980,110,15,0
1091,35250981,650,20,0
1092,35250982,110,120,0
1093,35250983,145,10,0
1094,35250985,345,10,0
1095,35250986,410,15,0
1096,35250987,215,75,0
1097,35250988,285,55,0
1098,35250989,325,35,0
1099,35250990,95,135,0
1100,35250991,205,40,0
1101,35250992,135,10,0
1102,35250993,65,0,0
1103,35250994,350,30,0
1104,35250995,135,730,0
1105,35250996,410,10,0
1106,35250997,550,15,0
1107,35250998,220,10,0
1108,35250999,335,15,0
1109,35251000,100,0,0
1110,35251001,165,0,0
1111,35251002,185,0,0
1112,35251003,125,25,0
1113,35251004,180,15,0
1114,35251005,280,10,0
1115,35251006,305,0,0
1116,35251007,290,40,0
1117,35251008,155,0,0
1118,35251009,310,10,0
1119,35251010,195,0,0
1120,35251011,185,15,0
1121,35251012,165,0,0
1122,35251013,260,15,0
1123,35251014,105,10,0
1124,35251015,215,10,0
1125,35251016,155,10,0
1126,35251017,140,0,0
1127,35251018,150,105,0
1128,35251019,115,10,0
1129,35251020,260,45,0
1130,35251021,240,0,0
1131,35251022,560,25,0
1132,35251023,275,20,0
1133,35251024,340,30,0
1134,35251025,60,245,0
1135,35251026,210,30,0
1136,35260307,270,20,0
1137,35260309,460,30,0
1138,35260310,145,10,0
1139,35260311,350,30,0
1140,35260313,200,20,0
1141,35260314,185,10,0
1142,35260315,155,10,0
1143,35260316,170,65,0
1144,35260317,155,10,0
1145,35260318,175,10,0
1146,35260319,130,30,0
1147,35260320,155,0,0
