,geo_code,median total income of lone-parent economic families in 2015 ($),average family size of lone-parent economic families
1088,35250976,0,2.0
1089,35250978,66816,2.7
1090,35250980,0,3.0
1091,35250981,80384,2.8
1092,35250982,0,2.0
1093,35250983,62208,3.0
1094,35250985,73472,3.0
1095,35250986,107520,2.9
1096,35250987,51328,3.0
1097,35250988,58752,2.8
1098,35250989,67200,2.8
1099,35250990,41088,2.9
1100,35250991,53504,2.2
1101,35250992,0,3.0
1102,35250993,x,3.0
1103,35250994,78848,2.6
1104,35250995,58816,2.6
1105,35250996,82688,2.8
1106,35250997,72448,2.8
1107,35250998,0,2.5
1108,35250999,111616,2.5
1109,35251000,0,2.5
1110,35251001,0,2.7
1111,35251002,76544,3.0
1112,35251003,87808,2.5
1113,35251004,61056,2.9
1114,35251005,101632,2.8
1115,35251006,75008,3.0
1116,35251007,85888,2.6
1117,35251008,0,2.5
1118,35251009,80128,2.5
1119,35251010,85760,3.0
1120,35251011,78336,3.0
1121,35251012,0,2.5
1122,35251013,0,2.8
1123,35251014,0,3.5
1124,35251015,83712,2.8
1125,35251016,0,3.0
1126,35251017,0,3.5
1127,35251018,38016,3.1
1128,35251019,0,2.0
1129,35251020,77568,3.0
1130,35251021,69632,2.8
1131,35251022,74752,2.7
1132,35251023,0,3.3
1133,35251024,60800,3.2
1134,35251025,22912,2.4
1135,35251026,68864,3.4
1136,35260307,0,2.5
1137,35260309,84736,2.6
1138,35260310,0,2.0
1139,35260311,79360,2.6
1140,35260313,0,2.5
1141,35260314,0,2.0
1142,35260315,0,3.3
1143,35260316,58240,2.3
1144,35260317,0,3.0
1145,35260318,92928,2.6
1146,35260319,0,2.7
1147,35260320,65792,2.2
1148,35260321,35840,2.5
1149,35260322,50432,2.6
1150,35260323,72448,2.3
1151,35260324,80128,2.7
1152,35260325,0,2.2
1153,35260326,0,2.2
1154,35260327,0,5.0
1155,35260328,0,4.0
1156,35260330,78592,2.7
1157,35260332,0,2.5
1158,35260333,0,2.3
1159,35260334,0,2.3
1160,35260335,66560,2.8
1161,35260336,75264,2.7
1162,35260337,0,2.0
1163,35260338,62080,2.7
1164,35260339,73472,2.6
1165,35260340,0,2.2
1166,35260341,57216,2.4
1167,35260342,0,2.0
1168,35260734,72448,3.0
1169,35260828,0,3.0
1170,35260829,55936,2.6
1171,35260830,0,3.7
1172,35260831,0,3.0
1173,35260832,0,3.3
1174,35260833,0,3.5
