,geo_code,median total income of lone-parent economic families in 2015 ($),average family size of lone-parent economic families
252,35240756,0,2.7
253,35240757,0,3.3
254,35240758,90368,2.8
255,35240759,0,2.5
256,35240780,110848,3.0
257,35240782,87296,2.9
258,35240783,0,3.0
259,35240785,96000,2.8
260,35240807,52352,2.5
261,35240808,70912,2.0
262,35240809,x,2.0
263,35240898,81664,2.5
264,35240903,x,x
265,35240904,89344,2.5
266,35250030,0,2.7
267,35250031,0,3.5
268,35250032,0,2.0
269,35250033,0,3.3
270,35250034,54912,2.7
271,35250035,0,2.7
272,35250036,0,3.0
273,35250037,47680,2.8
274,35250038,49792,2.2
275,35250039,62592,2.3
276,35250040,26816,2.6
277,35250041,49792,2.0
278,35250042,x,2.5
279,35250043,0,2.2
280,35250044,0,3.5
281,35250045,48896,2.0
282,35250046,0,2.7
283,35250047,0,2.2
284,35250048,0,2.0
285,35250049,0,3.5
286,35250050,0,2.7
287,35250051,79104,2.5
288,35250052,0,2.5
289,35250053,125184,2.6
290,35250054,0,2.3
291,35250055,81024,2.5
292,35250056,x,2.0
293,35250059,108288,2.9
294,35250060,98048,2.9
295,35250061,0,3.0
296,35250062,0,2.0
297,35250064,65792,2.0
298,35250065,0,3.0
299,35250066,0,2.0
300,35250067,0,3.7
301,35250070,0,2.3
302,35250073,60416,3.0
303,35250074,0,3.0
304,35250075,0,3.0
305,35250077,60544,3.1
306,35250078,0,3.3
307,35250079,0,2.7
308,35250080,35712,3.3
309,35250081,48384,2.8
310,35250082,x,2.0
311,35250083,31424,3.2
312,35250084,0,3.5
313,35250085,0,2.2
314,35250086,59392,3.0
315,35250087,78592,2.5
316,35250088,83712,2.7
317,35250089,52864,2.4
318,35250093,68224,2.6
319,35250094,51328,2.8
320,35250095,0,3.5
321,35250096,75520,2.9
322,35250097,0,2.0
323,35250098,x,3.0
324,35250099,40576,2.7
325,35250100,88832,2.4
326,35250101,0,2.7
327,35250102,0,2.0
328,35250105,89856,3.0
329,35250106,0,3.5
330,35250107,0,2.7
331,35250108,56960,2.4
332,35250109,83456,2.7
333,35250110,66816,2.6
334,35250111,0,2.0
335,35250112,0,2.2
336,35250113,0,2.2
337,35250114,0,2.7
338,35250115,45696,2.5
339,35250116,67328,2.6
340,35250117,46592,2.8
341,35250118,72832,2.8
342,35250119,65408,2.7
343,35250120,59776,2.5
344,35250121,56704,3.2
345,35250122,0,2.8
346,35250123,0,2.7
347,35250124,65408,2.5
348,35250125,0,3.3
349,35250126,50048,2.8
350,35250127,68864,2.8
351,35250128,0,4.0
352,35250129,0,2.3
353,35250130,0,3.0
354,35250133,0,2.0
355,35250134,67840,2.8
356,35250135,66816,3.0
357,35250136,0,2.0
358,35250137,0,3.0
359,35250144,92160,3.1
360,35250145,0,3.0
361,35250146,68352,2.2
362,35250147,0,2.7
363,35250148,0,3.0
364,35250149,0,2.5
365,35250150,0,3.0
366,35250151,0,2.5
367,35250152,78080,2.8
368,35250153,0,2.3
369,35250156,0,2.0
370,35250158,0,2.5
371,35250159,0,2.5
372,35250160,0,4.0
373,35250161,0,2.7
374,35250162,0,3.0
375,35250163,0,3.0
376,35250164,0,2.2
377,35250172,0,2.5
378,35250173,81664,2.4
379,35250175,44672,3.1
380,35250176,95744,3.0
381,35250177,45440,2.8
382,35250178,0,5.0
383,35250179,95232,2.8
384,35250180,67840,3.1
385,35250181,73984,2.6
386,35250183,x,2.0
387,35250184,0,3.0
388,35250185,50432,3.2
389,35250186,0,2.0
390,35250188,64128,2.8
391,35250189,0,2.0
