,geo_code,In Labour Force (F),Not in Labour Force (F),Employed (F),Unemployed (F)
946,35250289,140,95,135,10
948,35250290,165,95,160,0
950,35250291,285,140,275,10
952,35250293,195,220,185,10
954,35250294,145,40,140,10
956,35250295,100,80,100,0
958,35250296,150,90,140,10
960,35250297,130,140,125,10
962,35250298,135,65,140,0
964,35250299,120,135,105,10
966,35250300,210,135,205,10
968,35250302,85,95,85,0
970,35250303,95,125,90,10
972,35250304,130,145,130,0
974,35250305,130,115,115,15
976,35250306,100,65,90,20
978,35250307,115,85,110,0
980,35250308,300,120,280,20
982,35250309,110,55,95,15
984,35250310,110,65,100,10
986,35250311,185,75,175,10
988,35250312,125,50,115,10
990,35250313,185,115,170,15
992,35250315,170,245,155,15
994,35250316,215,80,200,0
996,35250317,145,70,140,0
998,35250318,15,20,15,0
1000,35250319,150,60,135,15
1002,35250320,115,95,110,0
1004,35250321,70,65,60,0
1006,35250322,105,50,105,10
1008,35250323,115,110,105,10
1010,35250324,120,240,110,10
1012,35250326,100,65,85,15
1014,35250327,165,175,130,35
1016,35250328,125,80,110,15
1018,35250329,110,80,110,0
1020,35250330,95,95,90,0
1022,35250331,80,100,80,0
1024,35250332,140,90,130,0
1026,35250333,170,95,165,10
1028,35250334,165,75,170,0
1030,35250335,85,115,75,15
1032,35250336,100,100,100,0
1034,35250337,225,175,205,20
1036,35250338,175,165,155,20
1038,35250339,135,85,130,10
1040,35250340,90,30,85,0
1042,35250341,165,125,130,30
1044,35250342,140,75,125,20
1046,35250343,120,95,120,0
1048,35250344,120,105,105,15
1050,35250345,135,40,130,10
1052,35250346,140,70,130,10
1054,35250347,110,70,115,0
1056,35250348,160,100,160,0
1058,35250349,150,50,140,10
1060,35250350,180,115,165,15
1062,35250351,80,120,75,10
1064,35250352,160,105,155,10
1066,35250353,140,135,115,20
1068,35250354,150,80,150,0
1070,35250355,115,120,105,10
1072,35250356,165,95,155,10
1074,35250357,170,60,170,0
1076,35250358,120,125,115,10
1078,35250359,130,90,125,10
1080,35250360,145,75,140,0
1082,35250361,105,95,95,10
1084,35250362,145,75,140,0
1086,35250363,95,85,90,0
1088,35250364,80,45,80,0
1090,35250365,275,220,265,15
1092,35250366,140,175,125,15
1094,35250367,130,85,115,10
1096,35250368,170,85,150,20
1098,35250369,135,85,135,0
1100,35250370,145,25,135,15
1102,35250371,140,95,135,0
1104,35250372,135,85,135,0
1106,35250373,90,55,95,0
1108,35250374,135,75,125,10
1110,35250375,140,85,120,20
1112,35250376,130,70,130,10
1114,35250377,135,115,140,0
1116,35250378,160,70,155,10
1118,35250379,85,100,85,0
1120,35250380,135,70,125,10
1122,35250381,120,95,115,10
1124,35250382,140,60,135,0
1126,35250383,90,160,75,15
1128,35250384,80,80,75,0
1130,35250385,135,55,125,10
1132,35250387,140,40,135,0
1134,35250388,140,80,135,0
1136,35250389,130,35,130,0
1138,35250390,185,55,185,0
1140,35250391,170,50,165,10
1142,35250392,210,45,205,10
1144,35250393,150,70,140,10
1146,35250394,195,125,175,25
1148,35250395,135,170,120,15
1150,35250396,170,110,165,0
1152,35250397,215,55,190,25
1154,35250398,20,45,15,0
1156,35250399,30,300,20,10
1158,35250400,220,100,190,30
1160,35250401,210,65,205,0
1162,35250402,125,65,110,10
1164,35250403,180,140,170,15
1166,35250404,140,35,125,10
1168,35250405,130,60,120,10
1170,35250406,210,105,200,10
1172,35250407,140,95,140,0
1174,35250408,115,70,105,10
1176,35250409,95,70,95,0
1178,35250410,110,85,105,0
1180,35250411,155,75,145,10
1182,35250412,85,245,75,10
1184,35250413,175,85,155,20
1186,35250416,145,50,140,10
1188,35250417,130,65,105,25
1190,35250418,165,85,150,15
1192,35250419,125,95,105,15
1194,35250420,230,155,215,15
1196,35250421,185,115,180,0
1198,35250422,80,220,70,15
1200,35250423,190,145,180,10
1202,35250424,160,120,145,20
1204,35250425,235,185,215,20
1206,35250426,150,70,140,10
1208,35250427,150,25,145,10
1210,35250428,145,75,115,30
1212,35250429,75,45,70,10
1214,35250430,140,50,125,10
1216,35250431,155,65,145,15
1218,35250434,340,275,310,35
1220,35250435,75,80,80,0
1222,35250436,105,110,90,20
1224,35250437,115,80,115,0
1226,35250438,95,45,60,35
1228,35250439,180,85,175,10
1230,35250440,140,105,145,0
1232,35250441,220,30,210,10
1234,35250442,175,85,155,20
1236,35250443,125,70,120,10
1238,35250444,130,135,115,15
1240,35250445,90,95,85,10
1242,35250446,130,80,125,0
1244,35250447,75,35,80,0
1246,35250448,225,80,195,30
1248,35250449,110,55,90,15
1250,35250450,130,75,105,25
1252,35250451,35,70,35,0
1254,35250452,95,55,85,0
1256,35250453,100,65,100,0
1258,35250454,175,130,150,25
1260,35250455,105,105,90,15
1262,35250456,85,170,90,0
1264,35250457,0,0,0,0
1266,35250458,70,135,60,10
1268,35250459,140,135,135,10
1270,35250460,65,65,60,10
1272,35250461,130,70,105,25
1274,35250462,95,70,80,20
1276,35250463,90,70,85,10
1278,35250464,85,50,75,10
1280,35250465,100,105,90,15
1282,35250466,105,65,90,10
1284,35250467,95,265,75,25
1286,35250468,80,30,75,10
1288,35250471,65,50,50,10
1290,35250472,120,85,115,10
1292,35250473,110,55,100,10
1294,35250474,95,155,75,20
1296,35250475,85,70,90,0
1298,35250476,80,80,60,15
1300,35250477,100,100,95,10
1302,35250478,90,75,85,10
1304,35250479,120,135,105,10
1306,35250480,140,75,125,15
1308,35250481,55,80,55,0
1310,35250482,85,70,75,10
1312,35250483,85,55,70,10
1314,35250484,50,95,45,0
1316,35250485,95,90,90,10
1318,35250486,125,155,120,0
1320,35250487,80,95,75,10
1322,35250488,110,75,95,10
1324,35250489,80,60,80,0
1326,35250490,110,75,105,10
1328,35250491,50,95,45,0
1330,35250492,95,75,95,0
1332,35250493,105,65,105,0
1334,35250494,85,50,75,10
1336,35250495,125,90,105,15
1338,35250496,40,60,45,0
1340,35250497,170,90,165,10
1342,35250498,155,100,130,20
1344,35250499,120,90,115,10
1346,35250501,140,85,135,0
1348,35250502,145,55,140,10
1350,35250503,130,65,120,10
1352,35250504,135,155,125,10
1354,35250506,165,60,160,10
1356,35250507,150,70,140,0
1358,35250508,150,70,140,15
1360,35250509,205,55,205,0
1362,35250510,165,65,160,10
1364,35250511,170,120,170,0
1366,35250512,160,50,150,10
1368,35250513,170,50,160,10
1370,35250514,265,120,255,10
1372,35250515,90,85,85,0
1374,35250516,220,155,210,15
1376,35250517,105,65,105,0
1378,35250518,65,60,55,10
1380,35250519,145,105,145,0
1382,35250520,170,115,165,0
1384,35250521,120,90,120,0
1386,35250522,65,40,60,0
1388,35250523,95,105,95,0
1390,35250524,80,80,85,0
1392,35250525,115,80,105,10
1394,35250526,255,355,210,50
1396,35250527,110,110,85,25
1398,35250528,65,115,65,0
1400,35250529,95,110,95,10
1402,35250530,95,100,75,15
1404,35250531,125,105,110,15
1406,35250532,120,85,115,10
1408,35250533,190,190,185,10
1410,35250534,115,110,110,0
1412,35250535,120,100,110,15
1414,35250536,115,70,100,15
1416,35250537,165,90,165,0
1418,35250538,130,105,130,0
1420,35250539,210,115,190,15
1422,35250540,135,135,130,0
1424,35250541,115,100,105,10
1426,35250542,100,85,100,10
1428,35250545,100,75,100,10
1430,35250546,105,75,80,25
1432,35250547,105,100,90,10
1434,35250548,160,155,145,15
1436,35250549,105,115,105,0
1438,35250550,120,70,115,0
1440,35250551,115,110,115,0
1442,35250552,110,85,105,0
1444,35250553,175,105,150,20
1446,35250554,140,95,125,15
1448,35250555,155,65,150,0
1450,35250556,130,90,120,10
1452,35250557,185,120,175,15
1454,35250558,110,60,105,0
1456,35250559,130,75,130,0
1458,35250560,110,175,115,0
1460,35250561,85,80,90,0
1462,35250562,135,90,140,0
1464,35250563,175,130,150,20
1466,35250564,100,115,100,0
1468,35250565,205,120,180,25
1470,35250566,115,50,105,10
1472,35250567,115,130,115,0
1474,35250568,210,105,195,15
1476,35250569,85,115,75,0
1478,35250570,115,110,105,10
1480,35250571,85,160,85,10
1482,35250572,135,70,125,10
1484,35250573,315,190,295,20
1486,35250574,125,55,120,0
1488,35250578,210,125,185,25
1490,35250579,120,60,110,10
1492,35250580,75,35,75,10
1494,35250581,215,85,210,10
1496,35250582,170,80,165,10
1498,35250583,205,70,195,10
1500,35250585,160,95,155,0
1502,35250586,355,190,330,25
1504,35250587,125,35,125,0
1506,35250588,120,75,105,15
1508,35250589,175,115,170,10
1510,35250590,115,60,100,10
1512,35250591,220,85,210,10
1514,35250592,170,80,165,10
1516,35250593,95,85,95,0
1518,35250594,125,110,130,0
1520,35250595,155,75,150,0
1522,35250596,190,95,185,10
1524,35250597,70,95,60,10
1526,35250598,135,90,125,0
1528,35250599,85,165,90,0
1530,35250600,80,60,80,0
1532,35250601,90,280,75,15
1534,35250602,65,170,65,0
1536,35250603,210,105,210,10
1538,35250604,85,85,90,0
1540,35250605,90,95,85,10
1542,35250606,130,115,125,10
1544,35250607,150,75,140,10
1546,35250608,85,80,75,0
1548,35250609,175,50,155,15
1550,35250610,135,90,120,10
1552,35250611,90,110,85,15
1554,35250612,180,85,165,10
1556,35250613,330,165,320,10
1558,35250614,55,60,55,0
1560,35250615,85,100,85,0
1562,35250616,40,50,35,10
1564,35250617,115,100,110,10
1566,35250618,50,50,50,0
1568,35250619,135,100,105,30
1570,35250620,110,50,95,0
1572,35250621,260,140,250,15
1574,35250622,95,70,85,10
1576,35250623,105,85,100,0
1578,35250624,90,140,85,0
1580,35250625,75,105,70,10
1582,35250626,125,120,115,0
1584,35250627,145,90,130,15
1586,35250628,55,190,55,0
1588,35250629,175,280,155,15
1590,35250630,145,80,135,10
1592,35250631,105,105,105,0
1594,35250632,155,110,140,15
1596,35250633,55,55,55,0
1598,35250634,155,120,125,35
1600,35250635,95,75,100,0
1602,35250636,225,175,220,0
1604,35250637,290,300,275,15
1606,35250638,95,40,80,15
1608,35250639,210,105,200,15
1610,35250640,160,140,140,15
1612,35250641,125,60,120,10
1614,35250642,175,75,150,30
1616,35250643,120,70,120,0
1618,35250644,95,55,95,0
1620,35250645,140,105,135,0
1622,35250646,255,100,245,15
1624,35250647,260,110,265,0
1626,35250648,295,130,270,30
1628,35250649,170,125,160,10
1630,35250650,110,125,105,10
1632,35250651,95,35,95,0
1634,35250652,185,85,185,0
1636,35250655,460,205,450,10
1638,35250656,135,125,125,10
1640,35250657,195,110,185,10
1642,35250658,85,40,75,0
1644,35250659,190,100,175,15
1646,35250661,345,190,315,30
1648,35250662,490,215,470,25
1650,35250663,200,90,205,0
1652,35250664,125,70,115,0
1654,35250665,140,95,120,20
1656,35250666,110,100,100,10
1658,35250667,50,40,45,10
1660,35250668,75,80,55,20
1662,35250669,65,65,65,10
1664,35250670,55,35,40,15
1666,35250671,70,60,65,0
1668,35250672,75,55,55,20
1670,35250675,105,105,90,20
1672,35250676,70,80,65,10
1674,35250677,140,65,140,0
1676,35250678,165,80,160,0
1678,35250679,125,115,110,15
1680,35250680,140,105,120,15
1682,35250681,160,210,155,10
1684,35250692,90,90,85,0
1686,35250693,105,55,90,20
1688,35250694,100,50,75,20
1690,35250695,50,70,50,0
1692,35250696,30,105,30,0
1694,35250700,105,75,85,20
1696,35250701,140,95,125,10
1698,35250702,185,80,165,25
1700,35250703,100,65,85,15
1702,35250704,100,110,100,0
1704,35250705,140,105,115,20
1706,35250706,115,70,110,10
1708,35250707,120,55,110,10
1710,35250708,140,145,120,25
1712,35250709,145,80,140,0
1714,35250710,105,85,100,0
1716,35250711,90,60,85,0
1718,35250712,95,45,95,0
1720,35250713,75,60,65,10
1722,35250714,140,55,130,10
1724,35250715,135,50,110,20
1726,35250716,115,60,105,0
1728,35250717,140,80,115,30
1730,35250718,115,80,110,10
1732,35250719,100,60,85,10
1734,35250720,145,120,140,10
1736,35250721,120,85,95,20
1738,35250724,95,75,95,0
1740,35250725,110,65,105,0
1742,35250726,165,65,145,20
1744,35250727,50,55,45,0
1746,35250728,140,70,110,25
1748,35250729,130,70,125,0
1750,35250730,125,165,100,20
1752,35250731,135,155,125,10
1754,35250732,120,50,115,0
1756,35250733,215,75,185,25
1758,35250734,185,85,175,15
1760,35250735,135,45,120,15
1762,35250736,140,105,115,25
1764,35250737,155,70,145,0
1766,35250738,155,50,140,15
1768,35250739,165,55,150,10
1770,35250740,135,110,125,10
1772,35250741,145,95,135,10
1774,35250742,155,70,130,20
1776,35250743,115,75,115,0
1778,35250744,210,130,210,10
1780,35250745,100,80,90,10
1782,35250746,105,65,105,0
1784,35250747,100,55,100,0
1786,35250748,115,65,110,0
1788,35250749,115,75,110,10
1790,35250750,130,80,120,10
1792,35250753,130,80,110,15
1794,35250754,75,85,70,0
1796,35250755,120,60,100,20
1798,35250756,155,95,150,0
1800,35250757,140,95,120,20
1802,35250758,120,70,100,20
1804,35250759,120,70,115,0
1806,35250760,110,70,95,15
1808,35250761,90,95,85,0
1810,35250762,115,80,95,20
1812,35250763,155,80,150,0
1814,35250764,130,80,120,10
1816,35250765,110,115,105,10
1818,35250766,110,100,95,15
1820,35250767,75,80,55,20
1822,35250768,115,65,105,0
1824,35250769,125,85,115,10
1826,35250770,110,115,95,10
1828,35250771,110,110,105,0
1830,35250772,95,75,90,10
1832,35250773,140,100,130,10
1834,35250774,105,115,95,15
1836,35250775,70,115,55,15
1838,35250776,50,95,45,0
1840,35250777,150,75,140,15
1842,35250778,110,85,105,0
1844,35250779,100,60,85,10
1846,35250780,105,60,90,15
1848,35250781,110,45,100,10
1850,35250782,120,55,115,0
1852,35250783,125,95,115,10
1854,35250784,125,70,115,0
1856,35250785,150,110,140,10
1858,35250786,130,80,125,10
1860,35250787,230,105,210,20
1862,35250788,150,90,140,10
1864,35250789,150,85,140,15
1866,35250790,185,50,185,10
1868,35250791,155,55,155,0
1870,35250792,135,65,125,10
1872,35250793,115,90,110,10
1874,35250798,45,45,45,0
1876,35250799,100,95,85,10
1878,35250800,110,90,105,0
1880,35250801,205,225,200,0
1882,35250802,125,55,120,10
1884,35250803,105,65,100,10
1886,35250804,680,305,650,30
1888,35250805,270,180,250,20
1890,35250806,120,50,110,10
1892,35250807,265,165,255,10
1894,35250810,220,165,200,20
1896,35250812,85,85,85,0
1898,35250813,155,90,150,10
1900,35250814,135,85,125,15
1902,35250815,390,260,385,10
1904,35250826,260,100,225,35
1906,35250827,95,55,95,0
1908,35250828,100,20,90,10
1910,35250829,145,60,140,0
1912,35250830,165,85,145,15
1914,35250831,180,415,180,10
