geo_code,1 person,2 persons,3 persons,4 persons,5 or more persons
35240661,10,55,40,60,10
35240662,355,410,90,75,10
35240663,10,50,25,50,20
35240664,35,75,50,40,25
35240665,5,60,25,40,25
35240666,210,145,40,50,25
35240667,5,50,45,85,30
35240668,30,45,40,40,20
35240669,30,60,80,135,25
35240670,20,45,50,70,25
35240671,25,50,55,55,30
35240672,10,50,45,110,35
35240673,25,40,35,40,20
35240674,15,35,50,90,45
35240675,45,65,70,115,60
35240676,105,85,50,85,40
35240677,5,25,30,55,15
35240678,285,245,85,65,35
35240679,45,60,70,55,20
35240680,230,165,85,40,25
35240681,75,60,45,45,20
35240682,65,75,60,40,30
35240683,20,65,40,75,25
35240684,250,125,20,5,5
35240685,85,85,70,145,45
35240686,15,35,80,145,65
35240756,20,30,40,75,35
35240757,10,45,50,60,30
35240758,35,95,60,85,50
35240759,20,105,25,35,20
35240780,45,100,70,105,45
35240782,35,90,45,75,30
35240783,15,60,20,30,15
35240785,35,75,50,95,35
35240807,145,180,55,45,15
35240808,305,235,25,5,0
35240809,15,10,5,0,0
35240898,115,245,195,290,100
35240903,x,x,x,x,x
35240904,115,210,110,105,35
35250030,30,50,30,25,15
35250031,35,60,30,25,15
35250032,40,75,40,40,25
35250033,20,90,30,60,15
35250034,75,95,50,35,15
35250035,35,70,25,25,10
35250036,45,75,45,45,20
35250037,80,90,35,30,10
35250038,230,125,20,20,5
35250039,195,90,20,10,0
35250040,75,90,35,15,15
35250041,115,90,15,10,5
35250042,50,40,15,10,5
35250043,75,105,25,40,15
35250044,25,60,35,25,20
35250045,135,65,30,5,5
35250046,30,75,30,40,10
35250047,75,95,35,35,10
35250048,15,40,20,20,10
35250049,30,65,30,25,5
35250050,20,65,30,30,15
35250051,110,210,60,95,40
35250052,25,45,20,30,10
35250053,25,120,35,40,15
35250054,20,50,20,30,15
35250055,70,115,50,35,30
35250056,0,20,5,20,10
35250059,65,140,70,75,40
35250060,45,100,45,40,20
35250061,25,50,25,30,15
35250062,55,105,35,35,15
35250064,55,130,40,55,15
35250065,5,65,30,45,20
35250066,20,65,15,35,10
35250067,15,65,35,55,30
35250070,25,75,30,40,10
35250073,15,45,35,40,15
35250074,15,50,30,15,10
35250075,20,55,30,35,10
35250077,25,65,40,25,35
35250078,15,40,25,35,20
35250079,15,55,20,15,10
35250080,30,55,55,35,40
35250081,50,125,80,65,45
35250082,15,35,20,15,10
35250083,25,50,65,50,50
35250084,15,35,30,20,15
35250085,15,50,10,15,20
35250086,35,55,45,20,15
35250087,40,70,35,30,20
35250088,25,70,45,15,20
35250089,155,85,30,15,5
35250093,50,75,35,35,20
35250094,30,45,30,20,10
35250095,30,60,30,20,20
35250096,30,70,20,35,25
35250097,5,40,20,30,15
35250098,10,25,15,10,15
35250099,40,95,70,50,45
35250100,50,65,25,35,20
35250101,20,55,25,35,15
35250102,15,40,15,25,20
35250105,55,95,35,35,10
35250106,45,85,20,30,15
35250107,45,85,25,30,15
35250108,50,75,40,30,15
35250109,45,100,35,55,25
35250110,60,80,40,30,20
35250111,190,75,25,25,10
35250112,40,55,25,35,15
35250113,20,35,25,20,15
35250114,25,60,20,25,15
35250115,130,195,95,75,50
35250116,25,80,45,45,40
35250117,10,30,20,20,10
35250118,15,40,35,20,20
35250119,35,65,30,30,20
35250120,30,30,35,25,10
35250121,40,65,35,20,20
35250122,15,45,30,25,15
35250123,5,50,25,20,20
35250124,30,70,35,35,10
35250125,20,30,30,20,15
35250126,55,55,45,35,30
35250127,45,105,85,140,95
35250128,10,30,20,40,25
35250129,10,40,25,15,20
35250130,10,30,35,20,10
35250133,165,65,5,5,0
35250134,45,110,30,55,30
35250135,85,120,110,125,90
35250136,25,40,25,20,15
35250137,10,55,30,20,15
35250144,55,135,95,140,90
35250145,10,45,25,25,20
35250146,40,125,50,65,20
35250147,30,65,20,35,5
35250148,35,65,30,20,10
35250149,20,70,35,45,30
35250150,70,85,20,25,10
35250151,30,45,40,35,10
35250152,140,205,75,90,60
35250153,40,75,40,45,15
35250156,20,45,20,25,25
35250158,10,60,25,35,25
35250159,15,60,25,35,15
35250160,15,35,20,45,15
35250161,20,75,40,55,35
35250162,20,55,25,25,15
35250163,45,75,25,35,25
35250164,110,90,15,30,15
35250172,15,55,40,45,20
35250173,55,120,70,110,60
35250175,55,100,100,145,90
35250176,15,45,65,65,25
35250177,40,50,55,65,35
35250178,15,50,40,45,25
35250179,10,45,55,60,25
35250180,65,135,105,130,80
35250181,5,45,25,25,15
35250183,5,25,20,20,10
35250184,5,40,35,30,10
35250185,10,45,25,30,15
35250186,10,40,25,25,15
35250188,55,90,50,50,25
35250189,5,55,40,50,30
35250190,15,45,30,25,20
35250191,45,65,60,45,35
35250192,50,145,100,120,60
35250193,20,40,25,25,5
35250194,5,55,45,35,15
35250196,30,60,35,45,20
35250197,30,75,25,40,15
35250199,190,330,185,190,150
35250200,75,90,35,25,15
35250201,25,40,25,10,10
35250202,120,135,90,70,35
35250203,75,130,80,60,45
35250204,110,100,70,65,30
35250205,10,35,20,10,5
35250206,55,70,50,40,20
35250207,15,45,20,10,20
35250208,30,65,30,20,10
35250209,30,45,20,20,10
35250210,35,60,35,25,20
35250211,100,80,5,0,5
35250212,85,95,25,15,5
35250213,30,80,25,15,10
35250216,30,60,25,20,15
35250217,50,75,35,35,35
35250218,50,60,40,40,15
35250221,175,105,40,15,0
35250222,55,70,35,30,25
35250223,50,70,35,20,15
35250224,70,55,35,15,15
35250225,35,55,20,20,15
35250226,215,80,20,5,5
35250227,110,85,40,35,10
35250230,50,65,35,25,20
35250231,60,100,40,35,35
35250232,55,100,65,50,40
35250233,70,55,35,25,25
35250234,15,35,25,20,30
35250238,85,100,50,50,35
35250239,15,40,20,15,35
35250240,65,80,50,25,20
35250241,25,25,20,15,20
35250242,x,x,x,x,x
35250243,140,195,75,55,40
35250248,55,90,60,60,35
35250249,195,85,20,15,5
35250250,45,85,25,25,15
35250251,70,80,25,15,5
35250254,135,100,50,30,15
35250255,130,80,35,20,10
35250256,120,90,35,45,10
35250257,210,105,20,15,5
35250258,225,155,30,15,15
35250259,60,70,25,30,20
35250260,195,80,20,25,15
35250261,145,70,35,10,10
35250262,95,125,35,25,20
35250263,25,105,55,60,40
35250264,10,50,20,30,15
35250265,20,70,30,25,20
35250266,25,55,35,20,5
35250267,40,85,35,25,15
35250269,10,40,20,15,10
35250270,15,45,20,25,10
35250271,20,55,25,25,5
35250272,115,65,25,10,10
35250273,20,55,20,25,15
35250274,105,110,85,60,25
35250275,40,60,30,25,20
35250276,55,90,35,25,30
35250277,50,55,35,25,10
35250278,20,55,25,30,15
35250279,45,80,35,40,40
35250280,25,40,25,30,15
35250281,45,65,35,30,25
35250282,35,55,35,45,25
35250283,35,85,45,50,20
35250284,30,45,30,15,20
35250285,70,100,65,55,25
35250286,15,55,15,15,15
35250287,20,80,45,50,30
35250288,30,55,20,30,20
35250289,50,65,35,30,35
35250290,35,70,40,40,30
35250291,40,95,55,90,60
35250293,105,125,60,60,30
35250294,25,45,30,25,10
35250295,10,40,25,25,15
35250296,20,75,35,25,15
35250297,35,70,30,40,30
35250298,10,55,40,40,30
35250299,20,75,35,35,30
35250300,25,115,65,45,40
35250302,30,75,20,30,10
35250303,30,90,35,25,20
35250304,35,65,30,40,25
35250305,35,80,35,35,25
35250306,40,35,30,20,15
35250307,40,70,35,30,30
35250308,65,115,60,65,30
35250309,5,25,20,20,25
35250310,10,40,20,35,20
35250311,40,65,40,50,20
35250312,10,40,20,25,20
35250313,75,155,35,30,15
35250315,210,195,20,10,5
35250316,100,110,50,35,15
35250317,50,80,45,30,15
35250318,15,20,10,5,5
35250319,70,45,35,20,15
35250320,40,65,40,25,25
35250321,50,50,20,15,5
35250322,55,60,25,20,10
35250323,60,75,45,30,10
35250324,85,55,55,50,70
35250326,20,50,30,20,15
35250327,35,75,50,45,45
35250328,45,55,25,30,10
35250329,55,70,35,20,30
35250330,55,50,35,25,15
35250331,40,40,30,20,20
35250332,50,80,45,30,15
35250333,70,85,50,25,20
35250334,115,80,35,25,5
35250335,65,60,30,20,10
35250336,45,70,45,30,10
35250337,185,150,55,20,5
35250338,180,150,45,20,10
35250339,70,70,40,30,20
35250340,30,35,20,15,5
35250341,185,95,30,25,10
35250342,30,55,50,30,20
35250343,50,65,40,30,10
35250344,60,75,40,25,10
35250345,40,60,30,25,10
35250346,50,65,25,25,10
35250347,50,65,40,30,5
35250348,30,55,40,40,25
35250349,35,55,45,30,15
35250350,155,105,25,20,10
35250351,120,70,25,5,0
35250352,90,75,45,20,15
35250353,120,110,35,20,5
35250354,30,85,45,35,15
35250355,65,90,45,30,20
35250356,60,90,45,40,15
35250357,50,70,55,25,10
35250358,95,90,30,25,15
35250359,70,60,40,25,10
35250360,55,70,45,30,5
35250361,65,85,35,20,10
35250362,75,75,35,25,10
35250363,90,70,15,20,10
35250364,70,50,15,5,5
35250365,335,155,50,30,5
35250366,190,140,50,10,10
35250367,60,85,50,20,15
35250368,120,70,30,30,15
35250369,60,65,35,25,20
35250370,60,75,20,20,10
35250371,45,75,40,25,15
35250372,60,70,45,30,20
35250373,60,65,35,25,10
35250374,50,65,35,30,10
35250375,60,80,35,30,10
35250376,55,75,40,25,5
35250377,75,70,50,35,15
35250378,60,80,35,20,10
35250379,60,65,15,15,5
35250380,45,50,30,35,15
35250381,55,75,30,30,10
35250382,60,60,35,30,15
35250383,170,95,35,25,5
35250384,45,45,25,25,25
35250385,60,65,30,25,20
35250387,20,55,35,30,10
35250388,35,60,35,40,20
35250389,50,70,20,15,15
35250390,135,80,25,20,5
35250391,160,100,20,15,5
35250392,130,70,30,25,10
35250393,160,90,15,5,5
35250394,230,145,35,20,5
35250395,275,120,25,10,10
35250396,205,85,25,20,5
35250397,190,120,25,10,5
35250398,255,5,0,0,0
35250399,645,35,0,5,0
35250400,275,125,25,5,10
35250401,215,125,20,20,0
35250402,125,95,40,5,0
35250403,225,130,35,10,5
35250404,85,75,25,25,5
35250405,80,70,35,10,5
35250406,230,105,30,20,5
35250407,145,75,25,15,15
35250408,105,50,25,20,15
35250409,140,65,10,10,5
35250410,95,65,35,20,5
35250411,70,80,30,25,15
35250412,300,60,15,10,5
35250413,75,90,35,15,25
35250416,65,75,30,30,15
35250417,155,85,25,5,0
35250418,180,90,25,15,5
35250419,215,105,25,15,5
35250420,330,185,35,15,5
35250421,245,130,25,10,0
35250422,475,80,20,5,5
35250423,275,120,15,15,10
35250424,305,105,5,5,0
35250425,325,135,30,15,10
35250426,135,85,10,15,5
35250427,110,60,10,5,5
35250428,190,70,20,25,15
35250429,95,60,20,15,5
35250430,165,75,25,10,0
35250431,195,90,25,10,5
35250434,425,205,70,35,40
35250435,125,80,25,10,10
35250436,165,85,25,20,0
35250437,155,85,25,5,5
35250438,130,45,20,5,5
35250439,110,110,40,25,15
35250440,280,115,20,5,0
35250441,170,110,25,15,5
35250442,120,105,40,15,15
35250443,60,55,45,20,10
35250444,195,85,25,10,5
35250445,45,50,45,20,10
35250446,80,90,35,25,15
35250447,60,35,25,15,10
35250448,170,110,45,25,15
35250449,95,60,25,10,5
35250450,85,80,35,15,10
35250451,65,30,15,10,0
35250452,90,65,15,10,0
35250453,75,75,25,15,10
35250454,185,100,40,20,10
35250455,135,80,20,15,5
35250456,215,75,30,10,15
35250457,x,x,x,x,x
35250458,130,80,20,15,5
35250459,140,95,45,20,20
35250460,55,40,20,20,10
35250461,35,55,25,25,25
35250462,55,55,25,15,15
35250463,100,65,20,10,10
35250464,75,45,25,15,10
35250465,100,95,35,10,25
35250466,60,45,25,15,20
35250467,365,85,30,15,20
35250468,160,70,5,5,5
35250471,55,60,25,15,15
35250472,120,65,30,10,10
35250473,55,40,20,5,5
35250474,135,85,45,30,25
35250475,100,70,25,20,10
35250476,50,55,30,15,15
35250477,70,60,30,35,25
35250478,55,45,20,10,25
35250479,60,85,45,15,25
35250480,80,75,30,25,10
35250481,35,45,30,25,15
35250482,45,50,40,25,20
35250483,45,40,30,30,25
35250484,35,45,25,25,20
35250485,55,65,40,25,25
35250486,100,115,45,15,25
35250487,55,55,25,20,15
35250488,45,65,30,20,25
35250489,40,45,35,15,15
35250490,25,45,30,30,15
35250491,10,10,25,20,30
35250492,35,50,30,25,15
35250493,55,65,20,25,10
35250494,90,55,20,10,5
35250495,40,55,30,25,20
35250496,90,35,10,5,5
35250497,110,80,35,25,10
35250498,85,75,35,20,20
35250499,85,80,35,20,15
35250501,45,85,40,35,15
35250502,45,65,40,40,15
35250503,105,55,30,20,15
35250504,125,90,45,25,10
35250506,55,75,30,35,10
35250507,85,85,30,15,10
35250508,40,60,35,40,10
35250509,80,75,45,35,15
35250510,60,60,35,45,15
35250511,105,105,55,35,15
35250512,100,65,25,25,5
35250513,105,95,35,25,0
35250514,75,130,60,60,25
35250515,25,70,20,25,15
35250516,60,105,55,50,30
35250517,35,45,20,30,15
35250518,30,45,20,25,5
35250519,55,90,50,35,20
35250520,65,95,45,35,30
35250521,40,70,35,35,20
35250522,15,45,15,10,10
35250523,25,65,45,25,20
35250524,15,55,25,20,15
35250525,30,50,25,20,15
35250526,180,140,85,75,50
35250527,40,65,30,25,15
35250528,50,70,25,15,10
35250529,35,50,40,30,20
35250530,35,45,30,30,20
35250531,30,50,30,35,15
35250532,30,60,30,25,15
35250533,160,140,45,30,15
35250534,110,70,25,20,10
35250535,25,75,45,40,30
35250536,90,70,30,15,10
35250537,85,90,55,25,15
35250538,55,90,30,35,20
35250539,60,80,40,35,30
35250540,75,90,45,30,15
35250541,50,65,40,30,20
35250542,70,75,45,20,10
35250545,35,55,30,20,15
35250546,135,80,20,5,5
35250547,35,50,20,25,15
35250548,105,85,50,30,25
35250549,85,85,35,20,15
35250550,45,85,30,25,10
35250551,55,65,45,20,15
35250552,25,35,45,30,25
35250553,45,55,30,30,25
35250554,50,65,30,40,10
35250555,40,65,35,15,10
35250556,55,85,40,20,15
35250557,70,85,60,40,25
35250558,50,65,35,30,15
35250559,45,70,35,25,15
35250560,195,95,25,15,5
35250561,40,65,30,25,5
35250562,65,100,45,20,5
35250563,95,90,40,25,15
35250564,55,90,35,25,10
35250565,55,95,45,35,30
35250566,40,50,25,40,15
35250567,85,90,35,35,10
35250568,130,120,30,30,10
35250569,35,55,35,20,15
35250570,30,65,40,25,25
35250571,150,85,10,10,10
35250572,65,75,25,35,20
35250573,60,110,75,90,50
35250574,20,35,30,30,20
35250578,10,55,60,60,50
35250579,15,40,25,40,20
35250580,20,35,40,25,10
35250581,40,60,60,60,40
35250582,50,55,50,45,25
35250583,20,45,45,55,20
35250585,10,50,45,40,30
35250586,30,115,90,120,85
35250587,5,30,35,20,15
35250588,25,50,30,30,20
35250589,25,65,50,60,30
35250590,20,40,20,25,20
35250591,20,60,35,65,40
35250592,30,55,45,20,30
35250593,15,35,30,25,30
35250594,25,65,50,35,30
35250595,20,45,40,30,20
35250596,25,75,35,35,30
35250597,30,45,20,20,25
35250598,25,45,30,30,20
35250599,140,105,20,10,5
35250600,45,45,30,25,15
35250601,275,65,15,25,10
35250602,150,65,30,15,15
35250603,35,90,40,50,25
35250604,75,80,25,30,10
35250605,25,45,35,25,25
35250606,60,85,35,30,20
35250607,25,65,35,25,20
35250608,5,40,35,30,20
35250609,15,70,35,30,25
35250610,20,70,35,30,30
35250611,20,55,35,30,25
35250612,30,60,45,45,35
35250613,75,100,80,80,45
35250614,20,35,20,15,25
35250615,10,60,30,25,15
35250616,10,25,15,20,15
35250617,40,40,45,25,25
35250618,10,25,20,15,15
35250619,15,50,40,30,20
35250620,15,30,25,35,30
35250621,80,80,40,60,25
35250622,15,50,40,30,20
35250623,15,55,30,20,20
35250624,140,55,25,25,10
35250625,35,60,25,30,15
35250626,50,75,40,30,15
35250627,20,50,35,30,30
35250628,170,45,10,15,15
35250629,165,115,55,50,25
35250630,15,50,30,30,20
35250631,45,60,35,25,25
35250632,125,115,25,25,15
35250633,10,35,15,5,15
35250634,65,95,50,45,35
35250635,20,35,35,30,15
35250636,35,85,60,65,55
35250637,120,145,80,75,55
35250638,25,25,20,20,10
35250639,10,60,50,55,30
35250640,40,60,20,40,30
35250641,10,40,35,40,15
35250642,30,50,60,30,30
35250643,15,35,35,45,35
35250644,0,35,20,20,15
35250645,15,60,40,45,35
35250646,20,55,55,75,55
35250647,30,65,65,65,35
35250648,35,85,80,75,50
35250649,20,50,60,55,40
35250650,10,35,50,45,30
35250651,10,25,20,25,15
35250652,15,55,40,55,40
35250655,55,160,110,130,100
35250656,20,50,45,35,25
35250657,20,60,35,45,40
35250658,10,30,30,15,5
35250659,15,50,35,35,45
35250661,55,100,85,95,65
35250662,45,125,105,160,90
35250663,30,65,50,50,45
35250664,45,70,35,15,15
35250665,35,70,30,30,25
35250666,40,60,30,30,15
35250667,40,30,15,10,10
35250668,75,45,20,10,10
35250669,60,40,25,5,20
35250670,35,35,15,20,15
35250671,65,25,25,10,15
35250672,60,55,15,20,10
35250675,60,55,25,20,15
35250676,50,40,20,30,15
35250677,25,50,25,40,20
35250678,30,45,20,25,30
35250679,90,75,25,25,20
35250680,50,50,30,25,20
35250681,95,95,50,45,35
35250692,45,60,30,30,20
35250693,50,45,30,10,20
35250694,70,45,40,10,15
35250695,30,35,25,20,35
35250696,45,45,30,10,25
35250700,80,75,30,15,15
35250701,60,60,30,30,25
35250702,35,45,35,30,30
35250703,60,80,30,20,20
35250704,65,70,50,20,30
35250705,55,70,40,25,15
35250706,50,65,30,15,20
35250707,50,60,30,15,20
35250708,80,95,45,35,25
35250709,65,65,35,20,15
35250710,50,55,40,15,20
35250711,40,50,20,25,15
35250712,40,50,35,20,10
35250713,50,60,25,15,20
35250714,80,75,35,25,10
35250715,75,65,45,15,20
35250716,110,80,40,30,15
35250717,85,65,45,20,15
35250718,70,60,35,15,15
35250719,85,65,25,15,10
35250720,115,75,40,25,10
35250721,95,85,35,25,20
35250724,70,80,20,20,20
35250725,40,65,30,25,15
35250726,85,80,45,25,10
35250727,25,35,10,15,15
35250728,65,75,30,25,15
35250729,95,65,25,15,15
35250730,215,100,40,20,10
35250731,145,90,45,20,10
35250732,45,65,20,20,15
35250733,55,75,35,40,20
35250734,95,75,30,30,15
35250735,50,65,35,40,15
35250736,45,75,45,30,15
35250737,40,65,35,30,10
35250738,45,60,45,35,10
35250739,80,75,40,30,10
35250740,60,95,35,25,10
35250741,65,100,40,25,10
35250742,55,70,35,35,15
35250743,55,65,35,25,5
35250744,100,90,50,30,25
35250745,40,85,35,15,15
35250746,60,55,25,15,10
35250747,70,55,35,15,10
35250748,60,60,30,25,10
35250749,40,70,40,30,10
35250750,70,80,30,30,15
35250753,50,65,30,15,15
35250754,45,60,35,20,10
35250755,50,70,30,20,10
35250756,45,70,35,20,20
35250757,50,80,30,15,15
35250758,55,60,30,15,10
35250759,60,90,45,15,15
35250760,55,65,35,30,10
35250761,60,70,45,15,15
35250762,105,90,30,25,15
35250763,70,70,35,15,20
35250764,60,70,30,25,10
35250765,70,75,30,25,15
35250766,75,85,40,20,10
35250767,60,60,30,25,15
35250768,40,75,30,30,15
35250769,75,65,35,15,10
35250770,105,65,40,15,20
35250771,75,70,35,25,10
35250772,45,50,35,30,10
35250773,80,65,45,30,15
35250774,70,65,35,25,15
35250775,75,55,40,30,15
35250776,65,55,30,15,10
35250777,85,80,40,15,10
35250778,55,75,20,15,15
35250779,55,55,30,15,10
35250780,55,65,35,15,20
35250781,85,65,30,15,5
35250782,55,55,30,20,10
35250783,115,65,35,25,15
35250784,60,65,25,35,15
35250785,60,70,35,25,15
35250786,60,70,35,15,20
35250787,95,120,45,30,10
35250788,80,95,35,20,10
35250789,60,80,40,25,20
35250790,60,85,35,35,15
35250791,50,70,40,15,10
35250792,70,70,40,40,15
35250793,45,85,30,30,15
35250798,60,35,10,20,15
35250799,55,60,25,25,25
35250800,55,60,40,15,25
35250801,215,130,55,25,15
35250802,75,70,25,25,10
35250803,40,80,30,20,5
35250804,165,315,165,165,75
35250805,55,125,70,90,60
35250806,15,45,30,35,25
35250807,60,95,70,80,55
35250810,50,120,55,55,35
35250812,20,65,30,30,15
35250813,25,55,35,35,25
35250814,20,60,35,25,25
35250815,90,230,85,105,45
35250826,95,95,55,75,30
35250827,45,50,20,15,10
35250828,25,60,20,20,10
35250829,110,70,25,25,5
35250830,85,100,25,15,5
35250831,280,270,50,25,10
35250832,100,70,10,10,0
35250833,25,50,35,20,5
35250834,30,55,20,35,15
35250835,55,65,35,25,10
35250836,40,75,35,25,5
35250843,45,110,80,70,70
35250845,495,255,95,55,35
35250846,480,135,35,10,10
35250847,120,85,25,20,30
35250848,170,135,55,50,30
35250849,55,105,105,100,50
35250850,160,190,80,40,20
35250851,375,345,145,115,100
35250852,310,315,125,80,50
35250853,115,120,75,75,75
35250854,250,160,50,30,20
35250855,160,120,80,50,45
35250857,45,55,55,45,15
35250859,90,65,35,60,35
35250860,50,125,130,165,135
35250861,5,15,25,50,30
35250862,30,80,25,30,30
35250863,15,50,15,30,5
35250864,50,70,20,30,25
35250865,45,90,45,30,20
35250866,20,60,45,30,30
35250867,15,65,35,35,30
35250868,20,55,25,30,20
35250869,10,65,35,45,20
35250870,45,85,35,60,40
35250871,15,80,35,35,15
35250872,20,70,35,65,35
35250873,25,80,35,50,30
35250874,45,95,30,55,30
35250875,45,85,35,70,35
