geo_code,,between 5am and 5:59,between 6am and 6:59,between 7am and 7:59,between 8am and 8:59,between 9am and 11:59,between 12pm and 4:49 am
35240410,male,10,10,20,10,15,10
35240411,female,0,10,30,60,15,15
35240411,male,20,45,55,20,10,25
35240412,female,0,0,15,10,25,30
35240412,male,10,10,20,15,10,20
35240413,female,10,0,35,35,10,35
35240413,male,10,20,25,20,10,15
35240414,female,0,25,20,20,10,15
35240414,male,20,10,25,25,10,20
35240417,female,0,35,50,30,20,10
35240417,male,20,30,25,25,15,40
35240420,female,0,0,30,25,15,25
35240420,male,10,30,30,40,15,25
35240421,female,10,10,40,30,0,0
35240421,male,0,15,15,10,10,0
35240422,female,0,20,20,30,25,15
35240422,male,20,25,15,15,20,25
35240423,female,10,15,40,35,10,40
35240423,male,25,25,15,35,15,25
35240425,female,0,0,35,30,15,30
35240425,male,0,25,30,25,10,15
35240427,female,0,20,70,55,55,25
35240427,male,10,35,65,50,50,30
35240428,female,0,0,50,35,25,25
35240428,male,15,20,30,30,10,40
35240429,female,15,30,30,30,15,15
35240429,male,15,30,15,10,0,45
35240431,female,0,10,15,35,10,10
35240431,male,10,25,15,25,10,15
35240432,female,0,10,15,20,10,15
35240432,male,10,15,25,30,0,10
35240433,female,0,15,20,35,10,10
35240433,male,10,25,60,20,0,30
35240436,female,0,10,20,15,25,20
35240436,male,0,25,10,10,0,20
35240437,female,0,10,30,30,15,10
35240437,male,25,25,30,20,20,0
35240438,female,10,10,40,45,25,25
35240438,male,20,25,25,30,20,10
35240439,female,10,15,25,30,25,15
35240439,male,20,25,50,15,20,25
35240440,female,0,20,50,20,10,30
35240440,male,10,25,45,25,0,30
35240441,female,15,10,55,45,20,25
35240441,male,15,35,45,55,20,25
35240442,female,0,10,25,40,20,10
35240442,male,25,25,30,10,20,15
35240443,female,0,25,40,35,25,20
35240443,male,10,20,40,45,10,25
35240444,female,0,0,20,35,10,25
35240444,male,10,15,30,10,25,35
35240445,female,0,15,25,40,35,35
35240445,male,15,30,55,30,20,30
35240446,female,0,10,15,40,10,30
35240446,male,15,10,40,15,10,25
35240447,female,15,25,65,40,30,50
35240447,male,25,55,35,30,15,20
35240448,female,10,25,20,45,35,15
35240448,male,0,40,65,30,30,10
35240449,female,0,15,25,0,20,20
35240449,male,10,25,35,10,0,10
35240450,female,0,15,50,20,20,25
35240450,male,10,40,35,35,20,35
35240451,female,15,35,60,50,20,20
35240451,male,10,30,45,35,15,25
35240452,female,0,15,45,20,15,10
35240452,male,10,25,35,20,0,30
35240453,female,10,20,20,60,0,15
35240453,male,10,35,55,20,10,15
35240455,female,0,15,40,25,10,20
35240455,male,15,25,15,10,10,25
35240459,female,0,15,10,20,15,0
35240459,male,0,25,30,25,10,10
35240460,female,0,10,20,35,15,30
35240460,male,10,25,35,40,0,10
35240461,female,0,15,15,55,10,15
35240461,male,0,25,45,20,10,0
35240462,female,0,0,35,25,10,10
35240462,male,0,0,15,25,0,15
35240463,female,15,10,55,50,0,25
35240463,male,0,15,60,25,20,40
35240464,female,10,15,15,30,0,10
35240464,male,20,15,20,10,10,0
35240465,female,10,25,60,70,40,30
35240465,male,20,25,45,35,10,35
35240466,female,10,40,60,45,15,40
